campaign,x_beam_mm,side,n_events,n_triggered,npe_mean,npe_sem,sigma_group_ps,sigma_group_error_ps
EndTop,-400,left,2000,2000,691.286,3.9413752805334332,49.96526887992374,0.7902178469786738
EndTop,-400,right,2000,2000,74.5385,0.4685587037661343,219.9378262297738,3.478392079308807
End-only,-400,left,10000,10000,601.461,1.5787096528177686,66.13480240259986,0.4676670564505429
End-only,-400,right,10000,10000,86.9311,0.2448318510304572,248.43591664815173,1.7567950554709169
EndTop,0,left,2000,2000,194.4325,1.0609699439074605,107.45542392340238,1.6994443468921308
EndTop,0,right,2000,2000,195.1665,1.087611092659044,107.20187716104984,1.695434417972582
End-only,0,left,10000,10000,209.0481,0.5348950164649134,131.39695144850901,0.9291632132869792
End-only,0,right,10000,10000,209.1341,0.5361177964953224,129.49463382178075,0.9157111237273826
EndTop,400,left,2000,2000,74.9845,0.4807126271224837,223.77602862005836,3.539094565197715
EndTop,400,right,2000,2000,692.455,3.9979598531626097,51.471509115268184,0.8140395523850223
End-only,400,left,10000,10000,86.4581,0.23523844166929858,247.51713623833973,1.7502979720266287
End-only,400,right,10000,10000,598.8196,1.5000009951943367,65.93565970719663,0.4662588345342529
