run,gun_x_mm,channel,channel_x_mm,npe_mean,npe_rms,npe_sem
existing_x-650,-650.0,16,-692.0,244.1085,63.16683249736368,1.41245331387448
existing_x-650,-650.0,17,-672.0,315.7665,81.23016051781507,1.81636160741054
existing_x-650,-650.0,18,-652.0,351.045,90.07107735005727,2.0140505176136965
existing_x-650,-650.0,19,-632.0,385.647,95.55944427946409,2.136774133009851
existing_x-650,-650.0,20,-612.0,261.9445,66.55006701536821,1.4881047375352987
existing_x-650,-650.0,21,-592.0,210.179,53.54943472157292,1.1974017619412458
existing_x-650,-650.0,22,-572.0,155.6895,41.047120358802275,0.9178415140289744
existing_x-650,-650.0,23,-552.0,122.9235,31.820286732680458,0.7115232419780818
existing_x-650,-650.0,24,-532.0,129.562,33.51750521742333,0.7494742010236243
existing_x-650,-650.0,25,-512.0,87.336,23.84894345668168,0.5332785876068905
existing_x-650,-650.0,26,-492.0,88.1765,23.73312764365455,0.5306888672989098
run_A_x-652,-652.0,16,-692.0,252.9785,60.73284150893979,1.3580276208071027
run_A_x-652,-652.0,17,-672.0,352.5745,84.76281289427575,1.8953541159569627
run_A_x-652,-652.0,18,-652.0,349.3955,84.26990613350651,1.8843323857204701
run_A_x-652,-652.0,19,-632.0,352.251,83.54113956009937,1.8680366697417905
run_A_x-652,-652.0,20,-612.0,251.6795,60.562833320032176,1.354226122135812
run_A_x-652,-652.0,21,-592.0,203.52,49.71453107492818,1.111650709530651
run_A_x-652,-652.0,22,-572.0,166.874,40.028279053689026,0.8950595298637961
run_A_x-652,-652.0,23,-552.0,115.9305,29.65742183248571,0.6631601125482443
run_A_x-652,-652.0,24,-532.0,128.4965,30.62022187623728,0.6846889760139271
run_A_x-652,-652.0,25,-512.0,88.4815,22.729422732440877,0.5082453431906682
run_A_x-652,-652.0,26,-492.0,84.1615,21.938833554908975,0.4905672317582983
run_B_x-642,-642.0,16,-692.0,205.3395,54.58402000356881,1.2205357921318816
run_B_x-642,-642.0,17,-672.0,296.3675,76.30378394123059,1.7062044783304842
run_B_x-642,-642.0,18,-652.0,413.197,105.58204956809656,2.360886400380162
run_B_x-642,-642.0,19,-632.0,412.866,106.44669578714033,2.3802204776028626
run_B_x-642,-642.0,20,-612.0,296.335,75.55720862366476,1.6895105467264773
run_B_x-642,-642.0,21,-592.0,203.2755,53.26145510357373,1.1909623419214397
run_B_x-642,-642.0,22,-572.0,166.7135,44.31018413130327,0.9908058381312657
run_B_x-642,-642.0,23,-552.0,149.2405,39.70038614106921,0.887727621444213
run_B_x-642,-642.0,24,-532.0,110.7115,30.412173019204,0.6800368621442516
run_B_x-642,-642.0,25,-512.0,109.005,28.03913292168643,0.6269740724304315
run_B_x-642,-642.0,26,-492.0,88.6745,24.337205052141876,0.5441964487894054
run_C1_x-648,-648.0,16,-692.0,237.091,61.46868893184561,1.3744816693939572
run_C1_x-648,-648.0,17,-672.0,297.511,78.70717171262095,1.7599458626616897
run_C1_x-648,-648.0,18,-652.0,377.797,99.13549712892956,2.216737105635217
run_C1_x-648,-648.0,19,-632.0,398.878,103.03875540785613,2.3040166140894036
run_C1_x-648,-648.0,20,-612.0,269.3,70.46324573846992,1.5756060738649111
run_C1_x-648,-648.0,21,-592.0,215.437,55.21123102232009,1.2345606568735292
run_C1_x-648,-648.0,22,-572.0,155.282,40.875083804195434,0.9139946597218169
run_C1_x-648,-648.0,23,-552.0,136.8165,36.23426317382485,0.8102227557128964
run_C1_x-648,-648.0,24,-532.0,122.4705,32.930124958007674,0.7363399791366756
run_C1_x-648,-648.0,25,-512.0,91.0035,25.14347803606335,0.5622252607941055
run_C1_x-648,-648.0,26,-492.0,91.9935,24.710229819853964,0.5525375361683584
run_C2_x-654_exact_mirror,-654.0,16,-692.0,262.7965,67.50445235501138,1.509445442497012
run_C2_x-654_exact_mirror,-654.0,17,-672.0,384.0005,96.03315833476476,2.1473667013053452
run_C2_x-654_exact_mirror,-654.0,18,-652.0,349.619,90.63022585760227,2.0265534583375784
run_C2_x-654_exact_mirror,-654.0,19,-632.0,313.299,82.04479629446344,1.834577417145431
run_C2_x-654_exact_mirror,-654.0,20,-612.0,242.7105,62.44978534590812,1.3964196521372076
run_C2_x-654_exact_mirror,-654.0,21,-592.0,197.626,50.98019344804411,1.1399517805591601
run_C2_x-654_exact_mirror,-654.0,22,-572.0,161.668,42.44135690573524,0.9490175909855413
run_C2_x-654_exact_mirror,-654.0,23,-552.0,111.6425,30.398432422577322,0.679729613063165
run_C2_x-654_exact_mirror,-654.0,24,-532.0,109.34,29.990038346090856,0.6705976438968452
run_C2_x-654_exact_mirror,-654.0,25,-512.0,92.779,24.506247346340075,0.5479763493984023
run_C2_x-654_exact_mirror,-654.0,26,-492.0,89.053,23.123995999826676,0.5170682696704566
