x_beam_mm,group,mean_ns_difference,mean_ns_difference_error,mean_ns_difference_sigma,rms_ns_difference,rms_ns_difference_error,rms_ns_difference_sigma,t50_ns_difference,t50_ns_difference_error,t50_ns_difference_sigma,t90_ns_difference,t90_ns_difference_error,t90_ns_difference_sigma,t99_ns_difference,t99_ns_difference_error,t99_ns_difference_sigma,frac_gt10_difference,frac_gt10_difference_error,frac_gt10_difference_sigma,frac_gt20_difference,frac_gt20_difference_error,frac_gt20_difference_sigma
-400,all_end,-0.4582386443897404,0.002175588527342711,-210.62744109495665,-0.25060744391537026,0.0024787780399747575,-101.1012038487812,-0.433101314072208,0.0028130858880861483,-153.95950614464303,-0.8149447039574529,0.005574191465601032,-146.19962536030008,-1.1538754750691602,0.02091528656962007,-55.169001449169265,-0.015412715232215556,0.00011794432266259266,-130.67789007790765,-0.0001328399933536516,1.2842226597771595e-05,-10.344000111063469
-400,end_left_A_SUM4,-0.3502638537974345,0.002855046725477126,-122.68235425775724,-0.18368391758581382,0.0037891189322370646,-48.47668306821088,-0.3178527022292337,0.0028687529350716373,-110.7982142147408,-0.6055161307507726,0.008242757917249892,-73.46038023069791,-0.8871480998940733,0.029079308102537622,-30.507881988315113,-0.00865654048695861,0.0001578090939047951,-54.85450979257905,-7.586716454880645e-05,1.2684544737933964e-05,-5.9810711473089535
-400,end_left_B_SUM4,-0.34024593106553525,0.0027325964672614547,-124.51378574990324,-0.1784760280073301,0.0028729731757616253,-62.12241364210304,-0.310663935308809,0.0027963782180912933,-111.09510626958644,-0.5909549698029828,0.007874393779880582,-75.04767812258747,-0.8424990955854224,0.027278768951105252,-30.884791652274576,-0.008482190176303972,0.00014738534872981611,-57.55110836595674,-7.41161402921985e-05,1.5317457620311185e-05,-4.838671150878156
-400,end_right_A_SUM4,-0.5983410543259273,0.005824839167052561,-102.72233055126483,-0.2765750227414352,0.009099610888239237,-30.39415928200773,-0.5715417253282062,0.006120359598568936,-93.3836837727385,-0.9866501285508775,0.01457463681034186,-67.69637839968479,-1.3973040992334749,0.0703138511659518,-19.872387531947528,-0.0486545322826661,0.0007479247051143792,-65.05271446438638,-0.000592415708235621,8.737384677274934e-05,-6.780240656868813
-400,end_right_B_SUM4,-0.5882414641914959,0.006472893196815733,-90.87767190116386,-0.2591704206895149,0.010059777617496898,-25.763036773172963,-0.5704572506638854,0.00849917095927149,-67.11916413936711,-0.9664473492636922,0.014870462169088276,-64.99107682562003,-1.2906814055465663,0.06491792543434574,-19.881741397480226,-0.04930040734579305,0.0010109125722843173,-48.76822061317426,-0.00031253022425651385,8.312257124834514e-05,-3.7598719525021416
0,all_end,-0.5161901236697437,0.002059770188755449,-250.60568722068712,-0.24724403715211363,0.0029551248344545744,-83.66619043277991,-0.48194904615769474,0.002779148474461092,-173.4160843101951,-0.8832719196681804,0.0062567230332025645,-141.17165087553335,-1.128712980608782,0.0206235187739139,-54.7294083508416,-0.024442214184171057,0.00019376098736083726,-126.14620991093942,-0.00024128498163807237,1.6785980835801016e-05,-14.374196181819864
0,end_left_A_SUM4,-0.527660726834462,0.00587064443210646,-89.88122733999931,-0.24622588347764784,0.005951134423286591,-41.37461296692848,-0.4981869429879948,0.006794214487841664,-73.32517156758989,-0.8991938989311823,0.012428847726055042,-72.34732605550953,-1.1037728301638001,0.03976735102272131,-27.755754451262117,-0.02540813283723123,0.0003605938198812748,-70.4619198565212,-0.00020344751694143488,3.543287165236136e-05,-5.741773315397554
0,end_left_B_SUM4,-0.5028078015966386,0.0059171486922930784,-84.97467745766332,-0.24272253151518264,0.008744916705339011,-27.755842587613657,-0.46688772863047223,0.004565544871456321,-102.2633095886196,-0.8593137896930099,0.016838169464818063,-51.0336822235026,-1.120994314814066,0.05587165749889174,-20.063738306605668,-0.023691037347457776,0.000668452782908343,-35.441601790303636,-0.00024840661776102957,3.9744722850627524e-05,-6.2500528358095595
0,end_right_A_SUM4,-0.5371077021872859,0.004544143094071445,-118.1977968273112,-0.25990193412641593,0.007185269966238547,-36.171491864274834,-0.5012009796819727,0.004677632865559871,-107.14842188068631,-0.9378733446935286,0.010909853328440541,-85.96571525380796,-1.1655329877710017,0.05307461922202597,-21.96027036756027,-0.02479588763858056,0.00043747031254837664,-56.680160749967605,-0.00024589994199683454,3.321471866620061e-05,-7.40334261048741
0,end_right_B_SUM4,-0.49675849845587283,0.00478073385428818,-103.90841941772074,-0.24030711514662917,0.005018458151255671,-47.88465060458894,-0.4593583432410382,0.005052794850835361,-90.9117343572922,-0.8440001864305859,0.01781430323504275,-47.37767036379745,-1.1212525251631504,0.049589107921829405,-22.610862992951095,-0.023858161646177274,0.0004430900631474287,-53.84494853417416,-0.0002674255542598568,3.0857979871911746e-05,-8.666333809598438
400,all_end,-0.45766499588806564,0.0021544301893025933,-212.42971722198877,-0.24896908008094165,0.0025493117081212993,-97.66129394369666,-0.43435643716451944,0.002199958101945832,-197.4385042971215,-0.8061762141223738,0.005406779037040336,-149.10470884781594,-1.1508963642365586,0.018240923443422784,-63.09419409638183,-0.01530442725690423,0.00016281762236365784,-93.99736364360703,-0.0001231661516357457,9.223043730036258e-06,-13.354176261209325
400,end_left_A_SUM4,-0.6118232219059623,0.008865147392173678,-69.01444441251948,-0.28698277199709343,0.00989533765807694,-29.001817008522945,-0.5901683827735082,0.00857320671555873,-68.83869739224478,-1.021285086041015,0.030201072804676984,-33.816185691352565,-1.4336342289662376,0.05050912201310302,-28.3836695596159,-0.05014596919375476,0.001194597207006944,-41.977303227918284,-0.0005000130254258538,9.334382007756864e-05,-5.356680549503367
400,end_left_B_SUM4,-0.5768865151969562,0.010638871492376937,-54.22440863303145,-0.23604898567804966,0.012981949036566248,-18.182861834780788,-0.5684645681818212,0.009763470184921408,-58.22361900175118,-0.9054934484935746,0.02063736443995941,-43.87640927347773,-1.1214619420038563,0.08338293474185425,-13.449537911753733,-0.0440080309986476,0.0012623886629214882,-34.86092064293562,-0.00037567620926381507,0.0001347583653949885,-2.7877765373798904
400,end_right_A_SUM4,-0.3492839444135942,0.0028166731562961414,-124.00584840056287,-0.18166928159088114,0.0022822523668771023,-79.60087334227043,-0.31366469667339025,0.0026502982105542196,-118.35071820381978,-0.5927687389773322,0.007246385302464717,-81.80199012819722,-0.8779783662720568,0.01543915849741682,-56.866983159668614,-0.008780284850159949,0.00018415264510368025,-47.67938492122412,-4.794581612680481e-05,1.143960293461564e-05,-4.1912133140323675
400,end_right_B_SUM4,-0.34293056166683744,0.002924998766993737,-117.24126708583044,-0.179615368667414,0.0036670878848901025,-48.980382882968954,-0.3166487369962643,0.0032792548269649203,-96.5611865209436,-0.5850983045585547,0.006290170353654043,-93.0178789543694,-0.8635575852158279,0.0264016539630176,-32.70846540241249,-0.008571803612841447,0.00019809098663883283,-43.27205269803564,-8.28172087785489e-05,1.1786118890770957e-05,-7.026673457655206
