campaign,x_beam_mm,group,n_photons,mean_ns,mean_ns_error,rms_ns,rms_ns_error,t50_ns,t50_ns_error,t90_ns,t90_ns_error,t99_ns,t99_ns_error,frac_gt10,frac_gt10_error,frac_gt20,frac_gt20_error
EndTop,-400,all_end,1531649,4.289505532173743,0.0019631553344417406,2.186191398895688,0.0021798147558546063,3.7485722970519513,0.002642139494165393,7.180164889928636,0.004736650719019253,11.557965653554353,0.019719199494958192,0.022697106190778697,9.933209759281732e-05,0.00011295016025212043,1.0643282449337429e-05
EndTop,-400,end_left_A_SUM4,717892,4.0100181069046394,0.0024910625004943713,2.013451429472271,0.0032221147302477046,3.5085495691712096,0.002626638227476607,6.6347058630031865,0.006806712302986876,10.966012526836241,0.025635441985205412,0.016629242281568816,0.00013155579714947354,8.636396561042608e-05,1.0581556851564187e-05
EndTop,-400,end_left_B_SUM4,664680,4.022059197901032,0.0024961130761308506,2.0221362367862152,0.002534343239508599,3.515596371603934,0.0026045525323842946,6.659757306868779,0.006519034992663585,11.023875947773734,0.024592856431984632,0.017154119275440815,0.00012456732143180708,7.522416802070169e-05,1.2544364611372087e-05
EndTop,-400,end_right_A_SUM4,78319,6.820551929421678,0.005088533486208651,2.0422394430063826,0.008211638097216764,6.308732808748109,0.005423994046335173,9.490397837180106,0.010933604695043496,13.792601355782537,0.06439285503097888,0.0763543967619607,0.0006044219795800367,0.0002809024630038688,7.147287659803396e-05
EndTop,-400,end_right_B_SUM4,70758,6.835917151773092,0.005327877704125635,2.0638234735852157,0.009339226655805732,6.312954510489515,0.0074983862207800185,9.522873167861711,0.011781711071304449,13.894801381000628,0.05421211957982347,0.0769382967296984,0.0008743079067765909,0.0005511744255066565,7.786362388723706e-05
End-only,-400,all_end,6883921,4.747744176563484,0.000937660158670594,2.4367988428110583,0.0011801475338361828,4.181673611124159,0.0009656868576929464,7.995109593886089,0.0029386647412036936,12.711841128623513,0.006971540975090822,0.03810982142299425,6.359243379639424e-05,0.00024579015360577205,7.186328874476738e-06
End-only,-400,end_left_A_SUM4,3008054,4.360281960702074,0.0013949549896998075,2.1971353470580848,0.0019938402513135596,3.8264022714004433,0.0011534795292681538,7.240221993753959,0.00464884132948769,11.853160626730315,0.013726990709746905,0.025285782768527425,8.71595224597921e-05,0.00016223113015923253,6.99487882709652e-06
End-only,-400,end_left_B_SUM4,3006556,4.362305128966567,0.001111981548434309,2.2006122647935453,0.0013531737556584896,3.8262603069127428,0.001017859147753753,7.250712276671762,0.0044168156136576145,11.866375043359156,0.01180350151453272,0.025636309451744787,7.877451016359526e-05,0.0001493403083129002,8.7899615725545e-06
End-only,-400,end_right_A_SUM4,433977,7.418892983747606,0.002834709558625504,2.318814465747818,0.003920703773265749,6.880274534076316,0.0028353289405491397,10.477047965730984,0.009637236456884036,15.189905455016012,0.028241775559390003,0.1250089290446268,0.00044052858604292717,0.0008733181712394897,5.025750700810864e-05
End-only,-400,end_right_B_SUM4,435334,7.424158615964588,0.0036758761550498877,2.3229938942747306,0.0037387125036540654,6.8834117611534005,0.004001263685254975,10.489320517125403,0.00907314330067523,15.185482786547194,0.03571250667990408,0.12623870407549145,0.0005074740515045384,0.0008637046497631703,2.9096699573716302e-05
