x_beam_mm,side,distance_cm,mean_ns,mean_ns_error,t50_ns,t50_ns_error,fpt_mean_ns,fpt_mean_ns_error,frac_gt10,frac_gt10_error
-690,left,1.0,2.6355833324169975,0.0005687893953327969,2.1262398652722734,0.0005800279767683115,0.25565921090920013,9.605060970727122e-05,0.007345302045551993,2.3204433218882835e-05
-690,right,139.0,7.8176490524116895,0.008764259552320339,7.291419605194038,0.00863616406150636,5.3519167251887705,0.003549246302402866,0.1304109988694796,0.0015291444181357828
-670,left,3.0,2.8005884846172298,0.0009708718748817931,2.296394248939646,0.0010721222050170992,0.34129654150071836,0.00011977976048900144,0.008085821415199623,3.4746944711884454e-05
-670,right,137.0,7.754402771387119,0.00822680228413983,7.230110919319913,0.006962942591919098,5.278337135030149,0.005320112149335956,0.12720632273672097,0.0012422144383207143
-650,left,5.0,2.9292305569790367,0.0008378895793137419,2.427517178745975,0.0007056131266176878,0.4257041319590064,0.00022300604175123025,0.008778124462487264,4.791001455232225e-05
-650,right,135.0,7.668565685945625,0.005235066255822994,7.146331343766464,0.008322080632942557,5.20045666890093,0.004092817272759718,0.12066785577205301,0.0009023557276535251
-600,left,10.0,3.1887372401508536,0.001092775909257336,2.6879062415649324,0.0010763700755448582,0.6320296670093514,0.0005030179651821963,0.010454910342309809,7.031817601427327e-05
-600,right,130.0,7.506139329359863,0.006867112670654328,6.986757459658158,0.008342201197781904,5.01198049291368,0.003254161878263959,0.11191715237302248,0.001212222185390679
-550,left,15.0,3.4218957667549104,0.0015044049447849085,2.921755279091383,0.0011825159671150088,0.8290669630350308,0.0006482546445982819,0.012006187970169028,6.95623702461505e-05
-550,right,125.0,7.331000996385628,0.006515764833040752,6.80136247901979,0.006507231000935839,4.820068595723386,0.0032163200013178577,0.10241761430618278,0.0010136153778210744
-500,left,20.0,3.624104658479352,0.0016192336888265454,3.11916316469204,0.0019900492167280437,1.01806986920572,0.0010421621877332763,0.013503497130860674,9.879479555096833e-05
-500,right,120.0,7.185294652318871,0.00714057335101498,6.659292821518163,0.006784519203590318,4.6428035503379395,0.0031406943903798173,0.09497253413375918,0.0009118410915709164
-450,left,25.0,3.83187418397853,0.0015649124120009769,3.3280610810487365,0.0016309022727701821,1.2043612066073588,0.0013988054823483715,0.015382463487360075,0.00010244747660078654
-450,right,115.0,6.999465401748528,0.0059743375478586115,6.481873914864915,0.006934715622499046,4.469445290801365,0.003272106306814718,0.08470647250174809,0.0007302195293750787
