x_mm,group,N,n_events,frac_excluded,mean_ns,rms_ns,sigma_fit_ns,sigma_fit_err_ns,channels,near_label,far_label
-690,top_nearest,4,2000,0.0,0.36779,0.05221,0.008774,,"(16,)",End-L,End-R
-690,end_near,4,2000,0.0,0.25889,0.0018,,,"(4, 5, 6, 7)",End-L,End-R
-690,end_far,4,2000,0.0,6.18057,0.41418,0.336891,0.012137,"(8, 9, 10, 11)",End-L,End-R
-690,top_nearest,20,2000,0.0,0.71981,0.08104,0.083057,0.00358,"(16,)",End-L,End-R
-690,end_near,20,2000,0.0,0.28391,0.01751,0.015469,,"(4, 5, 6, 7)",End-L,End-R
-690,end_far,20,2000,0.491,9.67673,2.10271,1.404565,0.069433,"(8, 9, 10, 11)",End-L,End-R
-650,top_nearest,4,2000,0.0,0.36958,0.05496,0.008443,,"(18,)",End-L,End-R
-650,end_near,4,2000,0.0,0.43496,0.00704,,,"(0, 1, 2, 3)",End-L,End-R
-650,end_far,4,2000,0.0,5.98584,0.38465,0.331747,0.015549,"(12, 13, 14, 15)",End-L,End-R
-650,top_nearest,20,2000,0.0,0.71825,0.08246,0.081397,0.005007,"(18,)",End-L,End-R
-650,end_near,20,2000,0.0,0.54571,0.04816,0.046123,0.003938,"(0, 1, 2, 3)",End-L,End-R
-650,end_far,20,2000,0.4065,9.4054,2.04111,1.475879,0.065393,"(12, 13, 14, 15)",End-L,End-R
-400,top_nearest,4,2000,0.0,0.37752,0.05813,0.008021,,"(31,)",End-L,End-R
-400,end_near,4,2000,0.0,1.52646,0.04781,0.014869,,"(0, 1, 2, 3)",End-L,End-R
-400,end_far,4,2000,0.0,4.82183,0.22798,0.209638,0.009113,"(8, 9, 10, 11)",End-L,End-R
-400,top_nearest,20,2000,0.0,0.7336,0.0816,0.084674,0.003999,"(31,)",End-L,End-R
-400,end_near,20,2000,0.0,1.82241,0.08607,0.082221,0.003419,"(0, 1, 2, 3)",End-L,End-R
-400,end_far,20,2000,0.004,6.55099,0.84808,0.581136,0.025131,"(8, 9, 10, 11)",End-L,End-R
0,top_nearest,4,2000,0.0,0.38861,0.06243,0.008208,,"(51,)",End-L,End-R
0,end_near,4,2000,0.0,3.16597,0.12508,0.122853,0.006277,"(0, 1, 2, 3)",End-L,End-R
0,end_far,4,2000,0.0,3.16839,0.12757,0.124497,0.006028,"(8, 9, 10, 11)",End-L,End-R
0,top_nearest,20,2000,0.0,0.75461,0.08107,0.079763,0.004208,"(51,)",End-L,End-R
0,end_near,20,2000,0.0,3.86152,0.21611,0.215177,0.005793,"(0, 1, 2, 3)",End-L,End-R
0,end_far,20,2000,0.0,3.85759,0.21432,0.206349,0.008526,"(8, 9, 10, 11)",End-L,End-R
400,top_nearest,4,2000,0.0,0.37815,0.0585,0.008291,,"(70,)",End-R,End-L
400,end_near,4,2000,0.0,1.52743,0.0472,0.014784,,"(8, 9, 10, 11)",End-R,End-L
400,end_far,4,2000,0.0,4.82925,0.24511,0.23128,0.02043,"(0, 1, 2, 3)",End-R,End-L
400,top_nearest,20,2000,0.0,0.73336,0.08367,0.0863,0.004459,"(70,)",End-R,End-L
400,end_near,20,2000,0.0,1.82037,0.08364,0.078533,0.003016,"(8, 9, 10, 11)",End-R,End-L
400,end_far,20,2000,0.0065,6.53882,0.86933,0.60999,0.02848,"(0, 1, 2, 3)",End-R,End-L
650,top_nearest,4,2000,0.0,0.36826,0.05372,0.008683,,"(83,)",End-R,End-L
650,end_near,4,2000,0.0,0.43513,0.00749,,,"(8, 9, 10, 11)",End-R,End-L
650,end_far,4,2000,0.0,5.96411,0.37738,0.312617,0.016289,"(0, 1, 2, 3)",End-R,End-L
650,top_nearest,20,2000,0.0,0.71736,0.08293,0.083679,0.005338,"(83,)",End-R,End-L
650,end_near,20,2000,0.0,0.54611,0.04767,0.045851,0.003749,"(8, 9, 10, 11)",End-R,End-L
650,end_far,20,2000,0.3905,9.30868,1.98503,1.369153,0.085084,"(0, 1, 2, 3)",End-R,End-L
690,top_nearest,4,2000,0.0,0.36981,0.05578,0.00845,,"(85,)",End-R,End-L
690,end_near,4,2000,0.0,0.25883,0.00224,,,"(12, 13, 14, 15)",End-R,End-L
690,end_far,4,2000,0.0,6.15943,0.41001,0.34339,0.018593,"(0, 1, 2, 3)",End-R,End-L
690,top_nearest,20,2000,0.0,0.71764,0.08365,0.086513,0.00574,"(85,)",End-R,End-L
690,end_near,20,2000,0.0,0.28423,0.01786,0.015558,,"(12, 13, 14, 15)",End-R,End-L
690,end_far,20,2000,0.4875,9.68154,2.06332,1.426446,0.078111,"(0, 1, 2, 3)",End-R,End-L
