x_beam_mm,nearest_top_id,nearest_top_3,max_top_id,end_left_npe,end_right_npe,nearest_top_npe,nearest_top_t_mean_ns,nearest_top_fpt_mean_ns
-690,16,16 17 18,17,3363.102,41.1315,350.947,2.786260075841678,0.3427801993009986
-670,17,17 18 16,18,2764.345,42.5765,350.4175,2.7753298528576607,0.3426109318667664
-650,18,18 19 17,19,2366.223,44.291,351.045,2.777909529799614,0.3427029518491926
-600,21,21 20 22,21,1673.6155,48.04,408.036,2.942057667127904,0.34610228518612857
-550,23,23 24 22,24,1323.859,55.137,352.9395,2.7759620574625274,0.34276111478157933
-500,26,26 25 27,26,1042.2115,59.8015,410.9195,2.941927056578891,0.3460700901442434
-450,28,28 29 27,29,832.8965,65.786,345.8175,2.7792722164140695,0.3423660800700587
-400,31,31 30 32,31,691.286,74.5385,411.2795,2.9398839225548397,0.34597429169788074
-350,33,33 34 32,34,575.0115,84.1475,349.2775,2.774832846506603,0.3423433587180491
-300,36,36 35 37,36,482.2985,94.1845,413.7045,2.9387208118321118,0.3459320789952608
-250,38,38 39 37,39,415.7575,105.4555,352.181,2.7757802160431737,0.3422362860155017
-200,41,41 40 42,41,353.509,118.3685,412.4565,2.9407276320224627,0.3457661571485858
-150,43,43 44 42,44,302.0695,134.686,350.7595,2.774929177883552,0.3423167043292327
-100,46,46 45 47,46,256.2585,151.4195,410.976,2.9426088041562517,0.34620356805050656
-50,48,48 49 47,49,226.656,172.652,351.9775,2.7740458059534,0.34227728340360386
0,51,51 50 49,51,194.4325,195.1665,407.2745,3.00298088222259,0.3507456948466807
50,53,53 52 54,52,171.6365,226.4,348.7725,2.7786990095762514,0.34237073666882467
100,55,55 56 54,55,152.2045,258.2705,412.8295,2.942887969963344,0.34580805226707206
150,58,58 57 59,57,135.4705,303.641,352.142,2.7821403186995557,0.3425277587823906
200,60,60 61 59,60,118.5215,354.088,413.3275,2.936663564979708,0.34546614713015117
250,63,63 62 64,62,104.8095,416.9905,352.9655,2.775871353363847,0.34301606060131606
300,65,65 66 64,66,92.4885,477.4895,408.7415,2.935859886443743,0.3456966899761159
350,68,68 67 69,67,84.037,575.5185,349.846,2.7768339891718856,0.34257080466679757
400,70,70 71 69,70,74.9845,692.455,411.3565,2.9432504838876374,0.34598035479202566
450,73,73 72 74,72,67.149,845.0925,352.1785,2.7735136548468944,0.3428941017187215
500,75,75 76 74,75,59.9145,1039.8635,410.5435,2.9404640896514187,0.3462667343214242
550,78,78 77 79,77,55.11,1325.875,352.3465,2.7796262192534043,0.3425074067358519
600,80,80 81 79,80,48.6235,1687.5885,411.6045,2.9382647902767993,0.3458698095039484
650,83,83 82 84,82,44.3725,2357.0915,350.8695,2.7802810073365785,0.3426797835496882
670,84,84 83 85,83,42.1975,2763.472,350.2005,2.783286095575424,0.34230754314246653
690,85,85 84 83,84,41.3695,3383.2055,352.9845,2.7880570222575343,0.3423592562012079
