x_beam_mm,group,var_over_mean,chi2ndf_poisson,chi2ndf_gaussian
-690,nearest_top,21.888336959711864,13.151239601854929,4.836279552067442
-690,nearest_top_3,59.24864045667679,10.739137659087062,
-690,nearest_end_all,194.86629980179012,8.37331167672508,
-690,nearest_end_SUM4,98.77656154128441,9.941379278091196,
-670,nearest_top,23.444717212325298,13.554318670721106,4.939351248341462
-670,nearest_top_3,65.24898326135455,10.7285610115579,
-670,nearest_end_all,162.9047640489881,8.882451145523422,
-670,nearest_end_SUM4,83.78750186490365,10.190012560842224,
-650,nearest_top,23.110424518224157,12.78019279636855,5.184481678473961
-650,nearest_top_3,65.47579052071887,10.439170997929516,
-650,nearest_end_all,144.12494776316518,9.019812874038662,
-650,nearest_end_SUM4,73.75506495416555,10.3755322487102,
-600,nearest_top,24.807391269397797,12.364607811370945,5.540465180663193
-600,nearest_top_3,66.41880240524075,10.198312754947548,
-600,nearest_end_all,100.2718549510028,9.325236206476175,
-600,nearest_end_SUM4,51.149674382980734,9.807275205183746,
-550,nearest_top,23.833019086132325,11.938959722504462,5.323692973318639
-550,nearest_top_3,69.57421807467712,10.705205773697786,
-550,nearest_end_all,86.37537994529629,10.267801056638122,
-550,nearest_end_SUM4,43.795466894014474,11.187523880746435,
-500,nearest_top,25.928684376745316,11.766560072674867,4.564597451482869
-500,nearest_top_3,69.43603883185435,10.291844009714035,
-500,nearest_end_all,66.3941894401952,10.540613990935233,
-500,nearest_end_SUM4,34.013869329594115,11.628314442493865,4.262031325095103
-450,nearest_top,19.14366159535015,12.29027672560827,4.506092181454147
-450,nearest_top_3,53.45246733588826,10.009288076957017,
-450,nearest_end_all,42.68605017280059,10.481299220748614,
-450,nearest_end_SUM4,21.94119314612202,11.39833610808816,4.44008585901188
-400,nearest_top,26.668784560742758,11.8509045964823,5.147648340539632
-400,nearest_top_3,70.76116453269321,10.155800934594971,
-400,nearest_end_all,44.94359527605073,10.735668151695602,
-400,nearest_end_SUM4,23.452951374301424,11.947715934052265,5.169572959839124
-350,nearest_top,20.88400338913901,12.946386412078835,4.520515544795768
-350,nearest_top_3,59.22826823862328,10.514795890032062,
-350,nearest_end_all,33.08335288555099,11.58873489565893,3.075117857273882
-350,nearest_end_SUM4,17.125224429456487,13.747442736935366,4.346907927786033
-300,nearest_top,29.27164480867382,12.781755557119473,5.895388362252239
-300,nearest_top_3,76.92214920130805,10.786667477766539,
-300,nearest_end_all,33.16363081732578,12.25579808097236,6.155129457237678
-300,nearest_end_SUM4,17.081044697771667,16.086242787438664,6.020156887641625
-250,nearest_top,25.328825913379767,12.26909373292591,6.030906673570633
-250,nearest_top_3,72.2178062791286,10.376196279441233,
-250,nearest_end_all,28.58869098873743,11.810094553422461,5.939439998427139
-250,nearest_end_SUM4,14.674757218726711,17.55333161699102,6.461499968940831
-200,nearest_top,25.347548426925016,11.472823478845248,4.990331615544244
-200,nearest_top_3,68.01888350270154,10.171126182708528,
-200,nearest_end_all,22.311686319160188,13.080065763368014,5.0059856139597585
