x_beam_mm,nearest_top_id,second_nearest_top_id,max_top_id,max_minus_nearest_npe,difference_error_npe,relative_difference,window_track_exception,passed,reason
-690,16,17,17,33.281499999999994,2.883675127224806,0.09483340789349957,True,True,known window-track dip <=15%
-670,17,18,18,33.474999999999966,2.9442342924349623,0.0955289048064094,True,True,known window-track dip <=15%
-650,18,19,19,34.601999999999975,2.936358830763025,0.09856855958637774,True,True,known window-track dip <=15%
-600,21,20,21,0.0,3.181557590866461,0.0,False,True,strict maximum at nearest
-550,23,24,24,34.28899999999999,3.0166633162734615,0.09715262814165031,True,True,known window-track dip <=15%
-500,26,25,26,0.0,3.2641387868394935,0.0,False,True,strict maximum at nearest
-450,28,29,29,34.12099999999998,2.6344634094536215,0.09866764984420968,True,True,known window-track dip <=15%
-400,31,30,31,0.0,3.311846068245021,0.0,False,True,strict maximum at nearest
-350,33,34,34,35.113,2.791225403250336,0.10053038057132224,True,True,known window-track dip <=15%
-300,36,35,36,0.0,3.4799153983610003,0.0,False,True,strict maximum at nearest
-250,38,39,39,34.238500000000045,3.084196229064389,0.09721847572697007,True,True,known window-track dip <=15%
-200,41,40,41,0.0,3.233382301514932,0.0,False,True,strict maximum at nearest
-150,43,44,44,34.004999999999995,3.070070577323915,0.09694676836978042,True,True,known window-track dip <=15%
-100,46,45,46,0.0,3.212169893389825,0.0,False,True,strict maximum at nearest
-50,48,49,49,33.68599999999998,3.093817969879611,0.09570498114226045,True,True,known window-track dip <=15%
0,51,50,51,0.0,3.0785589404378793,0.0,False,True,strict maximum at nearest
50,53,52,52,34.13500000000005,2.989297299324709,0.09787182188962734,True,True,known window-track dip <=15%
100,55,56,55,0.0,3.130674277172571,0.0,False,True,strict maximum at nearest
150,58,57,57,33.4015,2.9066232077575864,0.09485236069540129,True,True,known window-track dip <=15%
200,60,61,60,0.0,3.369975703732892,0.0,False,True,strict maximum at nearest
250,63,62,62,33.791499999999985,3.121689146980365,0.09573598552833062,True,True,known window-track dip <=15%
300,65,66,66,0.25600000000002865,3.3088198932172177,0.0006263127184296889,False,True,strict statistical tie <=1 sigma
350,68,67,67,34.10149999999999,2.9811347694921477,0.09747574647130448,True,True,known window-track dip <=15%
400,70,71,70,0.0,3.358484391470355,0.0,False,True,strict maximum at nearest
450,73,72,72,34.23349999999999,3.063520188749374,0.097204968503188,True,True,known window-track dip <=15%
500,75,76,75,0.0,3.319541852085917,0.0,False,True,strict maximum at nearest
550,78,77,77,34.646000000000015,3.0921118900761018,0.09832934341621108,True,True,known window-track dip <=15%
600,80,81,80,0.0,3.286874515364102,0.0,False,True,strict maximum at nearest
650,83,82,82,35.305499999999995,3.4574561345554335,0.10062288115666934,True,True,known window-track dip <=15%
670,84,83,83,32.829499999999996,2.933862846125394,0.09374486901075241,True,True,known window-track dip <=15%
690,85,84,84,34.40849999999995,2.9076838558163436,0.09747878447920502,True,True,known window-track dip <=15%
