x_mm,run_label,global_id,mean_npe,n,mean_tn_ps,rms_tn_ps,stat_floor_ps,cluster_truncated
-690,Run 1,16,318.69,1,342.375,5.544,4.707,True
-690,Run 1,16,318.69,2,345.387,13.902,6.656,True
-690,Run 1,16,318.69,3,351.437,27.532,8.152,True
-690,Run 1,16,318.69,4,363.809,43.998,9.414,True
-690,Run 1,16,318.69,5,383.766,60.380,10.525,True
-690,Run 1,16,318.69,6,408.555,72.320,11.529,True
-690,Run 1,16,318.69,7,436.067,78.984,12.453,True
-690,Run 1,16,318.69,8,463.777,80.729,13.313,True
-690,Run 1,16,318.69,9,489.701,80.027,14.120,True
-690,Run 1,16,318.69,10,512.826,76.964,14.884,True
-690,Run 1,16,318.69,11,534.130,72.803,15.611,True
-690,Run 1,16,318.69,12,552.900,70.568,16.305,True
-690,Run 1,16,318.69,13,569.867,68.449,16.971,True
-690,Run 1,16,318.69,14,585.645,66.519,17.611,True
-690,Run 1,16,318.69,15,599.660,65.985,18.229,True
-690,Run 1,16,318.69,16,613.813,65.822,18.827,True
-690,Run 1,16,318.69,17,626.406,66.327,19.407,True
-690,Run 1,16,318.69,18,639.573,67.174,19.969,True
-690,Run 1,16,318.69,19,652.599,68.195,20.517,True
-690,Run 1,16,318.69,20,665.239,69.147,21.050,True
-690,Run 1,17,343.73,1,362.459,11.925,4.364,True
-690,Run 1,17,343.73,2,371.193,29.034,6.171,True
-690,Run 1,17,343.73,3,386.368,48.779,7.558,True
-690,Run 1,17,343.73,4,408.138,65.023,8.728,True
-690,Run 1,17,343.73,5,437.327,77.713,9.758,True
-690,Run 1,17,343.73,6,469.110,84.152,10.689,True
-690,Run 1,17,343.73,7,500.619,84.628,11.546,True
-690,Run 1,17,343.73,8,529.836,80.827,12.343,True
-690,Run 1,17,343.73,9,556.228,76.961,13.092,True
-690,Run 1,17,343.73,10,578.398,73.005,13.800,True
-690,Run 1,17,343.73,11,598.163,71.031,14.473,True
-690,Run 1,17,343.73,12,616.544,69.776,15.117,True
-690,Run 1,17,343.73,13,634.553,69.468,15.734,True
-690,Run 1,17,343.73,14,650.667,70.224,16.328,True
-690,Run 1,17,343.73,15,666.628,71.216,16.901,True
-690,Run 1,17,343.73,16,682.913,72.713,17.455,True
-690,Run 1,17,343.73,17,698.632,74.030,17.993,True
-690,Run 1,17,343.73,18,713.528,74.641,18.514,True
-690,Run 1,17,343.73,19,727.793,75.302,19.022,True
-690,Run 1,17,343.73,20,742.092,75.944,19.516,True
-690,Run 1,18,232.70,1,427.347,34.742,6.446,True
