x_mm,run_label,global_id,mean_npe,rms_npe
-690,Run 1,16,318.6865,81.8829
-690,Run 1,17,343.7315,84.8184
-690,Run 1,18,232.7025,58.5321
-690,Run 1,19,185.2665,47.3001
-690,Run 1,20,136.3940,36.3843
-690,Run 1,21,107.1735,28.6490
-690,Run 1,22,111.8825,29.5157
-690,Run 1,23,75.5110,20.7966
-690,Run 1,24,75.7360,20.4232
-690,Run 1,25,53.0265,15.6462
-690,Run 1,26,55.5390,15.3484
-690,Run 1,27,49.6420,13.9808
-690,Run 1,28,52.4305,14.9591
-690,Run 1,29,44.3025,12.5692
-690,Run 1,30,27.7700,9.0960
-690,Run 1,31,32.9030,10.0786
-690,Run 1,32,27.2190,8.5295
-690,Run 1,33,27.1620,8.4417
-690,Run 1,34,23.2245,7.5329
-690,Run 1,35,20.0875,6.5773
-690,Run 1,36,20.3330,6.7165
-690,Run 1,37,20.3935,6.7448
-690,Run 1,38,19.7915,6.6269
-690,Run 1,39,15.5775,5.5183
-690,Run 1,40,15.8250,5.6040
-690,Run 1,41,9.8245,4.2274
-690,Run 1,42,10.5575,4.1641
-690,Run 1,43,12.3810,4.7250
-690,Run 1,44,11.4505,4.2579
-690,Run 1,45,8.7585,3.7534
-690,Run 1,46,7.6770,3.4030
-690,Run 1,47,9.7205,3.8467
-690,Run 1,48,8.4930,3.5972
-690,Run 1,49,7.9200,3.3691
-690,Run 1,50,6.0580,2.9224
-690,Run 1,51,5.4780,2.7197
-690,Run 1,52,5.8975,2.8381
-690,Run 1,53,6.3255,3.0013
-690,Run 1,54,5.7925,2.8083
-690,Run 1,55,3.4825,2.1139
-690,Run 1,56,4.4000,2.3548
-690,Run 1,57,4.6175,2.4282
-690,Run 1,58,4.7845,2.4454
-690,Run 1,59,3.7145,2.1957
-690,Run 1,60,2.4575,1.7482
-690,Run 1,61,3.2835,2.0460
-690,Run 1,62,2.9045,1.8391
-690,Run 1,63,3.2005,2.0207
-690,Run 1,64,3.0020,1.8639
-690,Run 1,65,2.2845,1.6669
-690,Run 1,66,1.8345,1.4940
-690,Run 1,67,1.9185,1.5066
-690,Run 1,68,2.1955,1.5781
-690,Run 1,69,1.8700,1.4769
-690,Run 1,70,1.5285,1.3517
-690,Run 1,71,1.6850,1.3917
-690,Run 1,72,2.1145,1.5784
-690,Run 1,73,1.8905,1.4559
-690,Run 1,74,1.5435,1.3286
-690,Run 1,75,1.4185,1.2698
-690,Run 1,76,1.2980,1.1833
-690,Run 1,77,1.3740,1.2313
-690,Run 1,78,1.0795,1.1190
-690,Run 1,79,0.9570,1.0184
-690,Run 1,80,1.1425,1.1394
-690,Run 1,81,0.7995,0.9404
-690,Run 1,82,1.0925,1.1050
-690,Run 1,83,1.0835,1.0856
-690,Run 1,84,0.8700,1.0035
-690,Run 1,85,0.8650,0.9792
-400,Run 3,16,35.7345,10.7805
-400,Run 3,17,31.1440,10.0986
-400,Run 3,18,38.4945,11.3908
-400,Run 3,19,50.3215,14.5440
-400,Run 3,20,55.2260,15.4307
-400,Run 3,21,60.9225,16.8738
-400,Run 3,22,52.9450,16.3325
-400,Run 3,23,74.7380,21.1884
-400,Run 3,24,91.0425,24.6157
-400,Run 3,25,101.5670,27.9182
-400,Run 3,26,129.0545,34.2843
-400,Run 3,27,133.0375,36.7145
-400,Run 3,28,174.4675,46.6975
-400,Run 3,29,253.7210,66.1265
-400,Run 3,30,365.6930,94.4925
-400,Run 3,31,367.1865,94.3996
-400,Run 3,32,256.0845,67.1989
-400,Run 3,33,180.7875,48.9332
-400,Run 3,34,147.2635,39.0215
-400,Run 3,35,129.8125,35.0516
-400,Run 3,36,101.3840,27.0446
-400,Run 3,37,81.8655,23.3066
-400,Run 3,38,79.1040,21.2964
-400,Run 3,39,71.8175,19.5138
-400,Run 3,40,62.9310,17.6625
-400,Run 3,41,58.4275,16.4960
-400,Run 3,42,37.7060,11.8655
-400,Run 3,43,32.2810,10.3412
-400,Run 3,44,39.6400,11.4780
-400,Run 3,45,39.7800,11.2608
-400,Run 3,46,34.2850,10.0803
-400,Run 3,47,26.4930,8.8521
-400,Run 3,48,23.0410,7.8299
-400,Run 3,49,26.0115,8.2447
-400,Run 3,50,20.2105,6.7317
-400,Run 3,51,22.4465,7.1658
-400,Run 3,52,14.1210,5.5655
-400,Run 3,53,14.3245,5.4083
-400,Run 3,54,16.8995,5.7647
-400,Run 3,55,14.0850,5.3251
-400,Run 3,56,15.1580,5.3778
-400,Run 3,57,8.9870,3.9758
-400,Run 3,58,10.0600,4.2966
-400,Run 3,59,10.8925,4.2577
-400,Run 3,60,9.7530,3.9633
-400,Run 3,61,7.8960,3.4592
-400,Run 3,62,6.3540,3.0878
-400,Run 3,63,7.0640,3.2303
-400,Run 3,64,6.7325,3.1553
-400,Run 3,65,7.0475,3.0946
-400,Run 3,66,6.3920,3.1052
-400,Run 3,67,6.0870,2.9002
-400,Run 3,68,4.6180,2.5269
-400,Run 3,69,4.4030,2.4404
-400,Run 3,70,5.2380,2.6764
-400,Run 3,71,3.8465,2.2895
-400,Run 3,72,3.5325,2.1109
-400,Run 3,73,2.7100,1.8934
-400,Run 3,74,4.2755,2.2879
-400,Run 3,75,3.8675,2.2454
-400,Run 3,76,3.2765,2.0347
-400,Run 3,77,2.5855,1.8071
-400,Run 3,78,2.6280,1.8007
-400,Run 3,79,2.3820,1.7035
-400,Run 3,80,2.7445,1.8355
-400,Run 3,81,2.4840,1.6735
-400,Run 3,82,2.2775,1.6714
-400,Run 3,83,1.7750,1.3919
-400,Run 3,84,2.4825,1.6693
-400,Run 3,85,2.1305,1.5826
0,Run 4,16,7.5155,3.2560
0,Run 4,17,5.5810,2.7643
0,Run 4,18,6.3845,2.9583
0,Run 4,19,6.5825,3.1145
0,Run 4,20,10.4175,4.0514
0,Run 4,21,9.1050,3.7723
0,Run 4,22,10.4115,4.1441
0,Run 4,23,9.4440,3.8954
0,Run 4,24,13.0885,4.7531
0,Run 4,25,16.2285,5.4191
0,Run 4,26,11.2235,4.4802
0,Run 4,27,13.6055,5.1056
0,Run 4,28,11.1560,4.5660
0,Run 4,29,20.6135,6.5140
0,Run 4,30,18.9370,6.3286
0,Run 4,31,23.3520,7.2896
0,Run 4,32,22.9980,7.6368
0,Run 4,33,22.3580,7.3510
0,Run 4,34,29.9975,8.8526
0,Run 4,35,28.4245,8.9523
0,Run 4,36,35.7190,9.8608
0,Run 4,37,30.6910,9.7703
0,Run 4,38,38.6535,11.3184
0,Run 4,39,50.4525,13.7986
0,Run 4,40,54.5495,15.1295
0,Run 4,41,60.4560,16.6614
0,Run 4,42,52.8425,15.5384
0,Run 4,43,74.9755,20.1911
0,Run 4,44,90.4435,23.6685
0,Run 4,45,101.6420,26.2612
0,Run 4,46,128.6045,32.6089
0,Run 4,47,133.0545,34.6896
0,Run 4,48,174.3470,44.6174
0,Run 4,49,253.4490,63.7268
0,Run 4,50,365.9995,90.5171
0,Run 4,51,365.4540,91.5597
0,Run 4,52,252.8520,62.6339
0,Run 4,53,174.1260,44.7451
0,Run 4,54,132.0155,34.6368
0,Run 4,55,128.7735,32.4571
0,Run 4,56,101.7250,26.3744
0,Run 4,57,91.0970,23.3297
0,Run 4,58,74.7510,20.3800
0,Run 4,59,52.8735,15.3967
0,Run 4,60,60.3785,16.3048
0,Run 4,61,54.5740,15.2645
0,Run 4,62,50.2225,13.5619
