x_mm,run_label,global_id,threshold_pe,mean_t_ps,rms_t_ps,eff,included
-690,Run 1,16,4,363.809,43.998,1.000000,True
-690,Run 1,17,4,408.138,65.023,1.000000,True
-690,Run 1,18,4,549.119,91.490,1.000000,True
-690,Run 1,19,4,692.190,94.688,1.000000,True
-690,Run 1,20,4,824.395,112.257,1.000000,True
-690,Run 1,21,4,956.206,129.883,1.000000,True
-690,Run 1,22,4,1063.303,123.102,1.000000,True
-690,Run 1,23,4,1178.756,138.178,1.000000,True
-690,Run 1,24,4,1285.533,140.799,1.000000,True
-690,Run 1,25,4,1476.289,200.314,1.000000,True
-690,Run 1,26,4,1549.966,168.568,1.000000,True
-690,Run 1,27,4,1622.301,175.494,1.000000,True
-690,Run 1,28,4,1724.549,183.829,1.000000,True
-690,Run 1,29,4,1825.591,182.231,1.000000,True
-690,Run 1,30,4,2119.808,291.792,1.000000,True
-690,Run 1,31,4,2123.258,249.755,1.000000,True
-690,Run 1,32,4,2283.375,292.225,1.000000,True
-690,Run 1,33,4,2302.118,274.525,1.000000,True
-690,Run 1,34,4,2506.752,346.816,1.000000,True
-690,Run 1,35,4,2645.232,361.062,1.000000,True
-690,Run 1,36,4,2743.253,371.453,1.000000,True
-690,Run 1,37,4,2824.476,375.103,1.000000,True
-690,Run 1,38,4,2889.227,400.452,1.000000,True
-690,Run 1,39,4,3162.688,518.378,0.999500,True
-690,Run 1,40,4,3244.015,541.856,0.999000,True
-690,Run 1,41,4,nan,nan,0.971000,False
-690,Run 1,42,4,3819.122,972.724,0.990000,True
-690,Run 1,43,4,3700.341,706.257,0.992500,True
-690,Run 1,44,4,3882.973,786.123,0.993000,True
-690,Run 1,45,4,nan,nan,0.960500,False
-690,Run 1,46,4,nan,nan,0.918000,False
-690,Run 1,47,4,nan,nan,0.977500,False
-690,Run 1,48,4,nan,nan,0.951500,False
-690,Run 1,49,4,nan,nan,0.934000,False
-690,Run 1,50,4,nan,nan,0.817500,False
-690,Run 1,51,4,nan,nan,0.756500,False
-690,Run 1,52,4,nan,nan,0.800500,False
-690,Run 1,53,4,nan,nan,0.850000,False
-690,Run 1,54,4,nan,nan,0.791000,False
-690,Run 1,55,4,nan,nan,0.447500,False
-690,Run 1,56,4,nan,nan,0.610500,False
-690,Run 1,57,4,nan,nan,0.643000,False
-690,Run 1,58,4,nan,nan,0.677500,False
-690,Run 1,59,4,nan,nan,0.490000,False
-690,Run 1,60,4,nan,nan,0.230000,False
-690,Run 1,61,4,nan,nan,0.402000,False
-690,Run 1,62,4,nan,nan,0.322000,False
-690,Run 1,63,4,nan,nan,0.389500,False
-690,Run 1,64,4,nan,nan,0.344500,False
-690,Run 1,65,4,nan,nan,0.198000,False
-690,Run 1,66,4,nan,nan,0.129000,False
-690,Run 1,67,4,nan,nan,0.146500,False
-690,Run 1,68,4,nan,nan,0.192500,False
