x_mm,run_label,threshold_pe,nearest_id,bin_center_ps,counts,counts_norm,mean_ps,rms_ps,frac_excl,frac_overflow,n_in_range,n_overflow,n_below
-690,Run 1,4,16,5.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,15.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,25.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,35.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,45.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,55.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,65.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,75.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,85.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,95.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,105.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,115.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,125.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,135.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,145.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,155.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,165.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,175.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,185.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,195.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,205.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,215.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,225.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,235.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,245.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,255.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,265.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,275.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,285.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,295.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,305.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,315.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,325.0,2,0.100000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,335.0,15,0.750000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,345.0,1560,78.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,355.0,9,0.450000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,365.0,10,0.500000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,375.0,19,0.950000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,385.0,20,1.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,395.0,23,1.150000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,405.0,30,1.500000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,415.0,33,1.650000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,425.0,24,1.200000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,435.0,30,1.500000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,445.0,23,1.150000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,455.0,26,1.300000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,465.0,27,1.350000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,475.0,20,1.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,485.0,20,1.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,495.0,11,0.550000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,505.0,20,1.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,515.0,14,0.700000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,525.0,12,0.600000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,535.0,13,0.650000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,545.0,11,0.550000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,555.0,4,0.200000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,565.0,6,0.300000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,575.0,5,0.250000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,585.0,3,0.150000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,595.0,2,0.100000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,605.0,8,0.400000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,615.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,625.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,635.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,645.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,655.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,665.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,675.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,685.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,695.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,705.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,715.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,725.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,735.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,745.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,755.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,765.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,775.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,785.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,795.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,805.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,815.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,825.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,835.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,845.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,855.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,865.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,875.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,885.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,895.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,905.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,915.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,925.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,935.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,945.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,955.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,965.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,975.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,985.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,995.0,0,0.000000,367.786,52.192,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,5.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,15.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,25.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,35.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,45.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,55.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,65.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,75.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,85.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,95.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,105.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,115.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,125.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,135.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,145.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,155.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,165.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,175.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,185.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,195.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,205.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,215.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,225.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,235.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,245.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,255.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,265.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,275.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,285.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,295.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,305.0,1,0.050000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,315.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
