x_mm,run_label,global_id,mean_npe,n,mean_tn_ps,rms_tn_ps,stat_floor_ps
-690,Run 1,16,350.95,1,342.780,10.084,5.129
-690,Run 1,16,350.95,2,346.274,17.986,7.253
-690,Run 1,16,350.95,3,354.349,35.827,8.884
-690,Run 1,16,350.95,4,367.786,52.192,10.258
-690,Run 1,16,350.95,5,391.805,70.715,11.469
-690,Run 1,16,350.95,6,420.281,84.447,12.563
-690,Run 1,16,350.95,7,452.442,92.199,13.570
-690,Run 1,16,350.95,8,482.821,94.000,14.507
-690,Run 1,16,350.95,9,513.152,90.655,15.387
-690,Run 1,16,350.95,10,539.689,87.258,16.219
-690,Run 1,16,350.95,11,562.615,82.779,17.011
-690,Run 1,16,350.95,12,585.220,78.878,17.767
-690,Run 1,16,350.95,13,605.166,77.328,18.493
-690,Run 1,16,350.95,14,623.105,76.636,19.191
-690,Run 1,16,350.95,15,641.644,76.777,19.864
-690,Run 1,16,350.95,16,657.766,76.988,20.516
-690,Run 1,16,350.95,17,673.780,77.592,21.147
-690,Run 1,16,350.95,18,689.220,78.626,21.760
-690,Run 1,16,350.95,19,704.714,80.255,22.357
-690,Run 1,16,350.95,20,719.814,81.016,22.937
-690,Run 1,17,384.23,1,362.838,13.779,4.685
-690,Run 1,17,384.23,2,371.926,32.074,6.625
-690,Run 1,17,384.23,3,388.648,52.862,8.114
-690,Run 1,17,384.23,4,418.182,75.087,9.369
-690,Run 1,17,384.23,5,452.848,89.526,10.475
-690,Run 1,17,384.23,6,490.836,94.309,11.475
-690,Run 1,17,384.23,7,527.310,92.647,12.395
-690,Run 1,17,384.23,8,560.078,86.149,13.250
-690,Run 1,17,384.23,9,587.995,81.751,14.054
-690,Run 1,17,384.23,10,612.059,79.271,14.814
-690,Run 1,17,384.23,11,634.573,77.231,15.537
-690,Run 1,17,384.23,12,656.156,76.908,16.228
-690,Run 1,17,384.23,13,677.163,77.763,16.891
-690,Run 1,17,384.23,14,696.438,79.060,17.529
-690,Run 1,17,384.23,15,715.148,80.894,18.144
-690,Run 1,17,384.23,16,733.447,82.962,18.739
-690,Run 1,17,384.23,17,752.073,84.124,19.316
-690,Run 1,17,384.23,18,768.787,84.637,19.876
-690,Run 1,17,384.23,19,785.375,84.495,20.420
-690,Run 1,17,384.23,20,801.013,84.874,20.951
-690,Run 1,18,261.74,1,427.046,36.203,6.877
-690,Run 1,18,261.74,2,459.763,71.136,9.725
-690,Run 1,18,261.74,3,506.716,94.784,11.911
-690,Run 1,18,261.74,4,557.981,102.914,13.754
