x_mm,run_label,global_id,threshold_pe,mean_t_ps,rms_t_ps,eff,included
-690,Run 1,16,4,367.786,52.192,1.000000,True
-690,Run 1,17,4,418.182,75.087,1.000000,True
-690,Run 1,18,4,557.981,102.914,1.000000,True
-690,Run 1,19,4,712.298,108.783,1.000000,True
-690,Run 1,20,4,855.641,128.108,1.000000,True
-690,Run 1,21,4,1000.542,145.145,1.000000,True
-690,Run 1,22,4,1091.054,135.865,1.000000,True
-690,Run 1,23,4,1228.406,161.712,1.000000,True
-690,Run 1,24,4,1324.919,153.220,1.000000,True
-690,Run 1,25,4,1547.463,216.031,1.000000,True
-690,Run 1,26,4,1607.477,184.500,1.000000,True
-690,Run 1,27,4,1677.804,198.554,1.000000,True
-690,Run 1,28,4,1780.619,193.902,1.000000,True
-690,Run 1,29,4,1881.736,203.200,1.000000,True
-690,Run 1,30,4,2185.759,315.759,1.000000,True
-690,Run 1,31,4,2184.770,261.780,1.000000,True
-690,Run 1,32,4,2346.112,310.244,1.000000,True
-690,Run 1,33,4,2361.782,288.563,1.000000,True
-690,Run 1,34,4,2570.640,342.375,1.000000,True
-690,Run 1,35,4,2706.609,369.230,1.000000,True
-690,Run 1,36,4,2788.561,352.427,1.000000,True
-690,Run 1,37,4,2856.371,354.933,1.000000,True
-690,Run 1,38,4,2930.797,376.503,1.000000,True
-690,Run 1,39,4,3172.553,485.533,0.999000,True
-690,Run 1,40,4,3245.734,444.756,0.999500,True
-690,Run 1,41,4,3845.658,838.880,0.996000,True
-690,Run 1,42,4,3751.256,762.001,0.995500,True
-690,Run 1,43,4,3676.615,593.027,0.999500,True
-690,Run 1,44,4,3847.600,626.623,0.999500,True
-690,Run 1,45,4,nan,nan,0.988500,False
-690,Run 1,46,4,nan,nan,0.981500,False
-690,Run 1,47,4,4209.361,911.940,0.995500,True
-690,Run 1,48,4,nan,nan,0.986000,False
-690,Run 1,49,4,nan,nan,0.987500,False
-690,Run 1,50,4,nan,nan,0.941500,False
-690,Run 1,51,4,nan,nan,0.902500,False
-690,Run 1,52,4,nan,nan,0.930500,False
-690,Run 1,53,4,nan,nan,0.943500,False
-690,Run 1,54,4,nan,nan,0.912500,False
-690,Run 1,55,4,nan,nan,0.650500,False
-690,Run 1,56,4,nan,nan,0.828500,False
-690,Run 1,57,4,nan,nan,0.829500,False
-690,Run 1,58,4,nan,nan,0.839000,False
-690,Run 1,59,4,nan,nan,0.694000,False
-690,Run 1,60,4,nan,nan,0.417000,False
-690,Run 1,61,4,nan,nan,0.624500,False
-690,Run 1,62,4,nan,nan,0.543000,False
-690,Run 1,63,4,nan,nan,0.635500,False
-690,Run 1,64,4,nan,nan,0.560500,False
-690,Run 1,65,4,nan,nan,0.372000,False
-690,Run 1,66,4,nan,nan,0.258500,False
-690,Run 1,67,4,nan,nan,0.278000,False
-690,Run 1,68,4,nan,nan,0.361500,False
-690,Run 1,69,4,nan,nan,0.269000,False
-690,Run 1,70,4,nan,nan,0.188500,False
-690,Run 1,71,4,nan,nan,0.227500,False
-690,Run 1,72,4,nan,nan,0.355000,False
-690,Run 1,73,4,nan,nan,0.288000,False
-690,Run 1,74,4,nan,nan,0.204000,False
-690,Run 1,75,4,nan,nan,0.153500,False
-690,Run 1,76,4,nan,nan,0.132000,False
-690,Run 1,77,4,nan,nan,0.140500,False
-690,Run 1,78,4,nan,nan,0.094000,False
-690,Run 1,79,4,nan,nan,0.075000,False
-690,Run 1,80,4,nan,nan,0.091500,False
-690,Run 1,81,4,nan,nan,0.039500,False
-690,Run 1,82,4,nan,nan,0.088000,False
-690,Run 1,83,4,nan,nan,0.090500,False
-690,Run 1,84,4,nan,nan,0.053000,False
-690,Run 1,85,4,nan,nan,0.045000,False
-400,Run 3,16,4,2097.136,237.732,1.000000,True
-400,Run 3,17,4,2123.115,293.911,1.000000,True
-400,Run 3,18,4,1937.837,232.400,1.000000,True
-400,Run 3,19,4,1744.513,199.301,1.000000,True
-400,Run 3,20,4,1663.171,196.777,1.000000,True
-400,Run 3,21,4,1518.983,169.573,1.000000,True
-400,Run 3,22,4,1499.358,201.944,1.000000,True
-400,Run 3,23,4,1345.638,170.600,1.000000,True
-400,Run 3,24,4,1177.621,144.212,1.000000,True
-400,Run 3,25,4,1058.154,133.975,1.000000,True
-400,Run 3,26,4,938.172,125.812,1.000000,True
-400,Run 3,27,4,814.800,123.152,1.000000,True
-400,Run 3,28,4,669.308,104.521,1.000000,True
-400,Run 3,29,4,515.547,98.090,1.000000,True
-400,Run 3,30,4,389.652,64.318,1.000000,True
-400,Run 3,31,4,377.524,58.119,1.000000,True
-400,Run 3,32,4,484.472,95.563,1.000000,True
-400,Run 3,33,4,638.567,104.936,1.000000,True
-400,Run 3,34,4,785.778,112.108,1.000000,True
-400,Run 3,35,4,915.564,124.297,1.000000,True
-400,Run 3,36,4,1037.685,134.041,1.000000,True
-400,Run 3,37,4,1202.154,159.710,1.000000,True
-400,Run 3,38,4,1322.863,169.065,1.000000,True
-400,Run 3,39,4,1387.218,163.478,1.000000,True
-400,Run 3,40,4,1493.628,172.483,1.000000,True
-400,Run 3,41,4,1644.095,192.641,1.000000,True
-400,Run 3,42,4,1826.594,235.406,1.000000,True
-400,Run 3,43,4,2008.699,281.575,1.000000,True
-400,Run 3,44,4,1966.235,231.884,1.000000,True
-400,Run 3,45,4,2051.721,223.773,1.000000,True
-400,Run 3,46,4,2194.759,255.180,1.000000,True
-400,Run 3,47,4,2393.814,316.210,1.000000,True
-400,Run 3,48,4,2547.178,327.717,1.000000,True
-400,Run 3,49,4,2513.338,291.416,1.000000,True
-400,Run 3,50,4,2763.708,374.838,1.000000,True
-400,Run 3,51,4,2804.192,328.574,1.000000,True
-400,Run 3,52,4,3194.289,565.187,1.000000,True
-400,Run 3,53,4,3281.454,531.378,1.000000,True
-400,Run 3,54,4,3165.237,410.150,0.999500,True
-400,Run 3,55,4,3369.549,534.528,0.999500,True
-400,Run 3,56,4,3389.214,469.547,1.000000,True
-400,Run 3,57,4,nan,nan,0.988000,False
-400,Run 3,58,4,3985.265,764.849,0.996500,True
-400,Run 3,59,4,3928.783,731.497,0.997500,True
-400,Run 3,60,4,4187.719,880.094,0.996500,True
-400,Run 3,61,4,nan,nan,0.978500,False
-400,Run 3,62,4,nan,nan,0.951000,False
-400,Run 3,63,4,nan,nan,0.957000,False
-400,Run 3,64,4,nan,nan,0.960500,False
-400,Run 3,65,4,nan,nan,0.971000,False
-400,Run 3,66,4,nan,nan,0.946500,False
-400,Run 3,67,4,nan,nan,0.947000,False
-400,Run 3,68,4,nan,nan,0.829000,False
-400,Run 3,69,4,nan,nan,0.818000,False
-400,Run 3,70,4,nan,nan,0.884500,False
-400,Run 3,71,4,nan,nan,0.735500,False
-400,Run 3,72,4,nan,nan,0.660500,False
-400,Run 3,73,4,nan,nan,0.446500,False
-400,Run 3,74,4,nan,nan,0.793000,False
-400,Run 3,75,4,nan,nan,0.746000,False
-400,Run 3,76,4,nan,nan,0.626500,False
-400,Run 3,77,4,nan,nan,0.456500,False
-400,Run 3,78,4,nan,nan,0.475000,False
-400,Run 3,79,4,nan,nan,0.414000,False
-400,Run 3,80,4,nan,nan,0.509000,False
