w,sigma_iqr_ps
0.00000,15.19938
0.00500,15.26353
0.01000,15.25555
0.01500,15.18244
0.02000,15.19610
0.02500,15.25629
0.03000,15.26134
0.03500,15.22779
0.04000,15.18823
0.04500,15.17838
0.05000,15.16008
0.05500,15.11458
0.06000,15.09430
0.06500,15.10621
0.07000,15.06413
0.07500,15.03135
0.08000,15.00622
0.08500,15.04355
0.09000,15.05904
0.09500,15.00764
0.10000,15.06708
0.10500,15.15374
0.11000,15.23086
0.11500,15.35389
0.12000,15.48093
0.12500,15.60817
0.13000,15.67126
0.13500,15.77276
0.14000,15.91983
0.14500,16.13996
0.15000,16.25979
0.15500,16.39417
0.16000,16.52866
0.16500,16.66945
0.17000,16.80594
0.17500,16.83944
0.18000,16.97883
0.18500,17.13019
0.19000,17.26994
0.19500,17.42180
0.20000,17.64267
0.20500,17.70153
0.21000,17.88682
0.21500,18.02179
0.22000,18.04937
0.22500,18.14928
0.23000,18.34825
0.23500,18.52616
0.24000,18.66870
0.24500,18.82469
0.25000,19.00039
0.25500,19.20226
0.26000,19.38354
0.26500,19.53854
0.27000,19.66067
0.27500,19.84431
0.28000,19.89454
0.28500,20.10346
0.29000,20.31096
0.29500,20.53211
0.30000,20.74564
0.30500,20.93895
0.31000,21.08526
0.31500,21.24170
0.32000,21.46843
0.32500,21.63131
0.33000,21.82506
0.33500,22.02520
0.34000,22.22748
0.34500,22.44873
0.35000,22.71759
0.35500,22.98468
0.36000,23.20994
0.36500,23.35461
0.37000,23.53488
0.37500,23.71089
0.38000,23.98951
0.38500,24.17635
0.39000,24.40577
0.39500,24.58607
0.40000,24.80099
