event_id,produced_scint,produced_optical,detected_left,detected_right,detected_top,edep_total_MeV,edep_nonionizing_MeV,edep_ionizing_MeV,edep_optical_MeV,gun_x_mm
0,35988,37856,684,745,8669,3.4511547416955013,0.0,3.4511547416955013,0.05485373385965784,0.0
1,23563,24847,474,470,5645,2.2809273029650177,0.0,2.2809273029650177,0.036152064690547464,0.0
2,17175,18209,317,353,4045,1.6606892699545048,0.0,1.6606892699545048,0.026217294958344683,0.0
3,18068,19126,389,342,4291,1.7520544398042186,0.0,1.7520544398042186,0.028012145747558385,0.0
4,16282,17285,311,338,3910,1.5632572304184298,0.0,1.5632572304184298,0.02523105721039161,0.0
5,17004,17987,356,356,4031,1.6234680835812818,0.0,1.6234680835812818,0.025895803586692922,0.0
6,20027,21048,407,405,4802,1.9315453267407716,0.0,1.9315453267407716,0.030464030712092364,0.0
7,17679,18720,367,338,4111,1.7129017605686416,0.0,1.7129017605686416,0.026656420885223252,0.0
8,18548,19632,381,390,4434,1.7741014751212119,0.0,1.7741014751212119,0.028374686280183217,0.0
9,23703,24799,455,456,5486,2.2924247765052055,0.0,2.2924247765052055,0.03575977723985022,0.0
10,21768,23105,484,417,5186,2.0931084410607417,0.0,2.0931084410607417,0.033542773333635624,0.0
11,19792,20839,422,408,4718,1.8922666825921344,0.0,1.8922666825921344,0.03025094532948036,0.0
12,44447,46743,885,852,10328,4.268568150152992,0.0,4.268568150152992,0.06654625005802253,0.0
13,15686,16762,338,338,3778,1.5182807065012005,0.0,1.5182807065012005,0.02434091524247594,0.0
14,15610,16610,320,331,3728,1.5174557669080186,0.0,1.5174557669080186,0.024031090565424105,0.0
15,15295,16333,307,281,3677,1.4646559689977043,0.0,1.4646559689977043,0.023332944303608,0.0
16,28897,30004,579,617,6830,2.7650835618948757,0.0,2.7650835618948757,0.04350049782927092,0.0
17,19457,20483,394,430,4584,1.8787841570120767,0.0,1.8787841570120767,0.02948051965622357,0.0
18,24726,25777,475,512,5683,2.3487604809154883,0.0,2.3487604809154883,0.03684691905772805,0.0
19,17834,18852,394,342,4250,1.7204290717572828,0.0,1.7204290717572828,0.027333296085118457,0.0
20,17427,18478,319,325,4135,1.6611136985948687,0.0,1.6611136985948687,0.02607437366277181,0.0
21,19535,20536,375,381,4667,1.8752730516570086,0.0,1.8752730516570086,0.02975154870975029,0.0
22,17569,18607,336,335,4151,1.7050448516622236,0.0,1.7050448516622236,0.026663171414305954,0.0
23,20595,21638,434,387,4772,1.9856045324729195,0.0,1.9856045324729195,0.03080581922040369,0.0
24,20532,21538,439,422,4814,1.9733828102092443,0.0,1.9733828102092443,0.031031006099603582,0.0
25,21314,22369,405,451,5037,2.064486601685915,0.0,2.064486601685915,0.03234206948268636,0.0
26,17283,18323,356,298,4132,1.661600848022097,0.0,1.661600848022097,0.02618137063305194,0.0
27,19211,20251,393,380,4560,1.8499770432461742,0.0,1.8499770432461742,0.029243765864583934,0.0
28,25032,26157,475,503,5906,2.420648760111283,0.0,2.420648760111283,0.03776368888276453,0.0
29,16972,18066,417,345,4139,1.6438660754014611,0.0,1.6438660754014611,0.026306782515772557,0.0
30,24986,25967,478,479,5813,2.4103757812222737,0.0,2.4103757812222737,0.03739029380492867,0.0
31,21360,22421,413,394,5155,2.0508503360732986,0.0,2.0508503360732986,0.032264566943595835,0.0
32,17006,18069,380,349,3993,1.6431297123223971,0.0,1.6431297123223971,0.02608014880622387,0.0
