event_id,new_left,new_right,new_top,D1_left,D1_right,D1_top,delta_left,delta_right,delta_top
0,684,745,8669,684,745,8669,0,0,0
1,474,470,5645,474,470,5645,0,0,0
2,317,353,4045,317,353,4045,0,0,0
3,389,342,4291,389,342,4291,0,0,0
4,311,338,3910,311,338,3910,0,0,0
5,356,356,4031,356,356,4031,0,0,0
6,407,405,4802,407,405,4802,0,0,0
7,367,338,4111,367,338,4111,0,0,0
8,381,390,4434,381,390,4434,0,0,0
9,455,456,5486,455,456,5486,0,0,0
10,484,417,5186,484,417,5186,0,0,0
11,422,408,4718,422,408,4718,0,0,0
12,885,852,10328,885,852,10328,0,0,0
13,338,338,3778,338,338,3778,0,0,0
14,320,331,3728,320,331,3728,0,0,0
15,307,281,3677,307,281,3677,0,0,0
16,579,617,6830,579,617,6830,0,0,0
17,394,430,4584,394,430,4584,0,0,0
18,475,512,5683,475,512,5683,0,0,0
19,394,342,4250,394,342,4250,0,0,0
20,319,325,4135,319,325,4135,0,0,0
21,375,381,4667,375,381,4667,0,0,0
22,336,335,4151,336,335,4151,0,0,0
23,434,387,4772,434,387,4772,0,0,0
24,439,422,4814,439,422,4814,0,0,0
25,405,451,5037,405,451,5037,0,0,0
26,356,298,4132,356,298,4132,0,0,0
27,393,380,4560,393,380,4560,0,0,0
28,475,503,5906,475,503,5906,0,0,0
29,417,345,4139,417,345,4139,0,0,0
30,478,479,5813,478,479,5813,0,0,0
31,413,394,5155,413,394,5155,0,0,0
32,380,349,3993,380,349,3993,0,0,0
33,286,334,4080,286,334,4080,0,0,0
34,433,424,5541,433,424,5541,0,0,0
35,418,388,4552,418,388,4552,0,0,0
36,494,478,5650,494,478,5650,0,0,0
37,443,440,5082,443,440,5082,0,0,0
38,367,334,4080,367,334,4080,0,0,0
39,419,410,4671,419,410,4671,0,0,0
40,373,410,4709,373,410,4709,0,0,0
41,384,350,4305,384,350,4305,0,0,0
42,333,337,3961,333,337,3961,0,0,0
43,508,464,5492,508,464,5492,0,0,0
44,317,306,4041,317,306,4041,0,0,0
45,351,368,4255,351,368,4255,0,0,0
46,372,403,4427,372,403,4427,0,0,0
47,320,330,3948,320,330,3948,0,0,0
48,300,306,3902,300,306,3902,0,0,0
49,315,361,3698,315,361,3698,0,0,0
50,321,346,3990,321,346,3990,0,0,0
51,349,372,4029,349,372,4029,0,0,0
52,390,388,5058,390,388,5058,0,0,0
53,429,385,4910,429,385,4910,0,0,0
54,557,573,6546,557,573,6546,0,0,0
55,382,398,4405,382,398,4405,0,0,0
56,519,472,5753,519,472,5753,0,0,0
57,396,369,4650,396,369,4650,0,0,0
58,357,354,4383,357,354,4383,0,0,0
59,345,289,3850,345,289,3850,0,0,0
60,494,440,5389,494,440,5389,0,0,0
61,446,458,5451,446,458,5451,0,0,0
62,414,375,4824,414,375,4824,0,0,0
63,371,388,4507,371,388,4507,0,0,0
64,323,364,4099,323,364,4099,0,0,0
65,315,361,4048,315,361,4048,0,0,0
66,363,392,4803,363,392,4803,0,0,0
67,326,331,4104,326,331,4104,0,0,0
68,456,475,5337,456,475,5337,0,0,0
69,306,354,4013,306,354,4013,0,0,0
70,463,440,4951,463,440,4951,0,0,0
71,791,732,9013,791,732,9013,0,0,0
72,361,367,4056,361,367,4056,0,0,0
73,386,395,5070,386,395,5070,0,0,0
74,391,350,4187,391,350,4187,0,0,0
75,413,433,5030,413,433,5030,0,0,0
76,496,454,5858,496,454,5858,0,0,0
77,430,361,4646,430,361,4646,0,0,0
78,327,308,3822,327,308,3822,0,0,0
79,371,375,4178,371,375,4178,0,0,0
80,517,519,6382,517,519,6382,0,0,0
81,339,330,3847,339,330,3847,0,0,0
82,349,373,4161,349,373,4161,0,0,0
83,333,331,4029,333,331,4029,0,0,0
84,339,356,4487,339,356,4487,0,0,0
85,355,321,3981,355,321,3981,0,0,0
86,396,372,4816,396,372,4816,0,0,0
87,341,352,4149,341,352,4149,0,0,0
88,320,357,3839,320,357,3839,0,0,0
89,360,355,4407,360,355,4407,0,0,0
90,405,372,4544,405,372,4544,0,0,0
91,392,403,4640,392,403,4640,0,0,0
92,332,341,4154,332,341,4154,0,0,0
93,397,375,4805,397,375,4805,0,0,0
94,346,361,4627,346,361,4627,0,0,0
95,458,502,5742,458,502,5742,0,0,0
96,442,425,5067,442,425,5067,0,0,0
97,380,388,4699,380,388,4699,0,0,0
98,493,461,5299,493,461,5299,0,0,0
99,329,347,4286,329,347,4286,0,0,0
100,305,315,3795,305,315,3795,0,0,0
101,329,361,4021,329,361,4021,0,0,0
102,402,430,4950,402,430,4950,0,0,0
103,408,367,4634,408,367,4634,0,0,0
104,748,797,9288,748,797,9288,0,0,0
105,309,304,3702,309,304,3702,0,0,0
106,429,458,5328,429,458,5328,0,0,0
107,299,311,3677,299,311,3677,0,0,0
108,328,347,3903,328,347,3903,0,0,0
109,391,405,4859,391,405,4859,0,0,0
110,286,315,3661,286,315,3661,0,0,0
111,350,353,3878,350,353,3878,0,0,0
112,665,697,8203,665,697,8203,0,0,0
113,314,332,3992,314,332,3992,0,0,0
114,462,410,5009,462,410,5009,0,0,0
115,529,524,6151,529,524,6151,0,0,0
116,357,350,4092,357,350,4092,0,0,0
117,375,408,4608,375,408,4608,0,0,0
118,325,292,3710,325,292,3710,0,0,0
119,338,360,4018,338,360,4018,0,0,0
120,379,368,4280,379,368,4280,0,0,0
121,388,362,4152,388,362,4152,0,0,0
122,417,372,4536,417,372,4536,0,0,0
123,372,383,4407,372,383,4407,0,0,0
124,331,305,4018,331,305,4018,0,0,0
125,348,341,4102,348,341,4102,0,0,0
126,620,619,7337,620,619,7337,0,0,0
127,482,457,5445,482,457,5445,0,0,0
128,331,337,3898,331,337,3898,0,0,0
129,398,436,4997,398,436,4997,0,0,0
130,317,342,3987,317,342,3987,0,0,0
131,360,355,4121,360,355,4121,0,0,0
132,447,409,4819,447,409,4819,0,0,0
133,332,336,4036,332,336,4036,0,0,0
134,367,360,4376,367,360,4376,0,0,0
135,318,336,4315,318,336,4315,0,0,0
136,399,366,4816,399,366,4816,0,0,0
137,434,404,5179,434,404,5179,0,0,0
138,372,331,4300,372,331,4300,0,0,0
139,319,344,4345,319,344,4345,0,0,0
140,320,318,3747,320,318,3747,0,0,0
141,335,336,3829,335,336,3829,0,0,0
142,392,436,4958,392,436,4958,0,0,0
143,315,354,4211,315,354,4211,0,0,0
144,381,419,4601,381,419,4601,0,0,0
145,840,793,9492,840,793,9492,0,0,0
146,475,511,6117,475,511,6117,0,0,0
147,379,397,4095,379,397,4095,0,0,0
148,494,484,6010,494,484,6010,0,0,0
149,390,394,4585,390,394,4585,0,0,0
150,512,591,6854,512,591,6854,0,0,0
151,461,408,4996,461,408,4996,0,0,0
152,690,772,8481,690,772,8481,0,0,0
153,457,417,5252,457,417,5252,0,0,0
154,331,297,3603,331,297,3603,0,0,0
155,348,337,4196,348,337,4196,0,0,0
156,384,337,4515,384,337,4515,0,0,0
157,385,398,4544,385,398,4544,0,0,0
158,498,480,5723,498,480,5723,0,0,0
159,546,604,6479,546,604,6479,0,0,0
160,375,319,4197,375,319,4197,0,0,0
161,418,457,5215,418,457,5215,0,0,0
162,431,412,5027,431,412,5027,0,0,0
163,394,399,4390,394,399,4390,0,0,0
164,366,390,4494,366,390,4494,0,0,0
165,332,301,3719,332,301,3719,0,0,0
166,343,366,4143,343,366,4143,0,0,0
167,305,305,3569,305,305,3569,0,0,0
168,402,390,4440,402,390,4440,0,0,0
169,374,369,4494,374,369,4494,0,0,0
170,457,416,5454,457,416,5454,0,0,0
171,339,347,4286,339,347,4286,0,0,0
172,755,755,9059,755,755,9059,0,0,0
173,321,313,4074,321,313,4074,0,0,0
174,435,365,4880,435,365,4880,0,0,0
175,391,391,4691,391,391,4691,0,0,0
176,354,360,4358,354,360,4358,0,0,0
177,418,425,4762,418,425,4762,0,0,0
178,524,562,6378,524,562,6378,0,0,0
179,566,565,7090,566,565,7090,0,0,0
180,365,389,4620,365,389,4620,0,0,0
181,308,325,3798,308,325,3798,0,0,0
182,407,418,5131,407,418,5131,0,0,0
183,355,354,4333,355,354,4333,0,0,0
184,328,324,3912,328,324,3912,0,0,0
185,421,391,4821,421,391,4821,0,0,0
186,607,592,7477,607,592,7477,0,0,0
187,313,343,3928,313,343,3928,0,0,0
188,969,929,11319,969,929,11319,0,0,0
189,365,374,4644,365,374,4644,0,0,0
190,492,504,5975,492,504,5975,0,0,0
191,343,289,3869,343,289,3869,0,0,0
192,319,363,4207,319,363,4207,0,0,0
193,336,365,4205,336,365,4205,0,0,0
194,323,354,4385,323,354,4385,0,0,0
195,459,416,5020,459,416,5020,0,0,0
196,584,590,7514,584,590,7514,0,0,0
197,519,459,5583,519,459,5583,0,0,0
198,431,431,5680,431,431,5680,0,0,0
199,366,357,4093,366,357,4093,0,0,0
200,600,606,7242,600,606,7242,0,0,0
201,348,333,4159,348,333,4159,0,0,0
202,317,334,4178,317,334,4178,0,0,0
203,380,339,4304,380,339,4304,0,0,0
204,375,405,4716,375,405,4716,0,0,0
205,394,423,4958,394,423,4958,0,0,0
206,364,342,4296,364,342,4296,0,0,0
207,403,432,4836,403,432,4836,0,0,0
208,399,408,4860,399,408,4860,0,0,0
209,330,328,4050,330,328,4050,0,0,0
210,383,370,4456,383,370,4456,0,0,0
211,329,337,3966,329,337,3966,0,0,0
212,440,401,4850,440,401,4850,0,0,0
213,557,619,6755,557,619,6755,0,0,0
214,370,386,4621,370,386,4621,0,0,0
215,475,518,6036,475,518,6036,0,0,0
216,636,642,7517,636,642,7517,0,0,0
217,305,327,3767,305,327,3767,0,0,0
218,474,409,5185,474,409,5185,0,0,0
219,429,399,4750,429,399,4750,0,0,0
220,424,472,5186,424,472,5186,0,0,0
221,362,340,4183,362,340,4183,0,0,0
222,310,320,3670,310,320,3670,0,0,0
223,370,332,4118,370,332,4118,0,0,0
224,352,355,4142,352,355,4142,0,0,0
225,454,469,5606,454,469,5606,0,0,0
226,345,345,4069,345,345,4069,0,0,0
227,384,392,4305,384,392,4305,0,0,0
228,382,388,4365,382,388,4365,0,0,0
229,333,347,3838,333,347,3838,0,0,0
230,355,349,4223,355,349,4223,0,0,0
231,343,282,3775,343,282,3775,0,0,0
232,394,362,4435,394,362,4435,0,0,0
233,362,362,4462,362,362,4462,0,0,0
234,493,528,6101,493,528,6101,0,0,0
235,526,522,6312,526,522,6312,0,0,0
236,385,363,4614,385,363,4614,0,0,0
237,337,337,4127,337,337,4127,0,0,0
238,457,406,5430,457,406,5430,0,0,0
239,363,310,3949,363,310,3949,0,0,0
240,351,349,4002,351,349,4002,0,0,0
241,478,493,5661,478,493,5661,0,0,0
242,350,355,4182,350,355,4182,0,0,0
243,374,364,4420,374,364,4420,0,0,0
244,512,479,6144,512,479,6144,0,0,0
245,343,357,4044,343,357,4044,0,0,0
246,444,444,5112,444,444,5112,0,0,0
247,292,318,3668,292,318,3668,0,0,0
248,354,302,4069,354,302,4069,0,0,0
249,294,325,3563,294,325,3563,0,0,0
250,364,377,4322,364,377,4322,0,0,0
251,386,381,4522,386,381,4522,0,0,0
252,623,655,7834,623,655,7834,0,0,0
253,345,348,3972,345,348,3972,0,0,0
254,309,347,4114,309,347,4114,0,0,0
255,385,366,4269,385,366,4269,0,0,0
256,376,364,4719,376,364,4719,0,0,0
257,355,377,4490,355,377,4490,0,0,0
258,337,335,4030,337,335,4030,0,0,0
259,424,458,5150,424,458,5150,0,0,0
260,394,417,4856,394,417,4856,0,0,0
261,358,350,4234,358,350,4234,0,0,0
262,352,362,4519,352,362,4519,0,0,0
263,428,452,5152,428,452,5152,0,0,0
264,341,306,3968,341,306,3968,0,0,0
265,371,371,4510,371,371,4510,0,0,0
266,346,330,4179,346,330,4179,0,0,0
267,394,423,5184,394,423,5184,0,0,0
268,476,498,5589,476,498,5589,0,0,0
269,376,387,4556,376,387,4556,0,0,0
270,495,470,5724,495,470,5724,0,0,0
271,532,511,6171,532,511,6171,0,0,0
272,689,683,8438,689,683,8438,0,0,0
273,324,279,3880,324,279,3880,0,0,0
274,403,386,4670,403,386,4670,0,0,0
275,346,329,4024,346,329,4024,0,0,0
276,351,292,3887,351,292,3887,0,0,0
277,340,326,3876,340,326,3876,0,0,0
278,330,372,4194,330,372,4194,0,0,0
279,421,373,4313,421,373,4313,0,0,0
280,329,344,3979,329,344,3979,0,0,0
281,331,328,4190,331,328,4190,0,0,0
282,418,388,5178,418,388,5178,0,0,0
283,420,409,4701,420,409,4701,0,0,0
284,343,301,3976,343,301,3976,0,0,0
285,388,411,4617,388,411,4617,0,0,0
286,319,304,4079,319,304,4079,0,0,0
287,349,344,4044,349,344,4044,0,0,0
288,465,489,5915,465,489,5915,0,0,0
289,406,397,4875,406,397,4875,0,0,0
290,465,452,5183,465,452,5183,0,0,0
291,655,622,7503,655,622,7503,0,0,0
292,488,488,5969,488,488,5969,0,0,0
293,406,399,4830,406,399,4830,0,0,0
294,343,337,4262,343,337,4262,0,0,0
295,381,415,4362,381,415,4362,0,0,0
296,361,361,4563,361,361,4563,0,0,0
297,375,387,4630,375,387,4630,0,0,0
298,422,445,5170,422,445,5170,0,0,0
299,328,357,4484,328,357,4484,0,0,0
300,335,336,3889,335,336,3889,0,0,0
301,361,379,4456,361,379,4456,0,0,0
302,320,308,3821,320,308,3821,0,0,0
303,881,924,10659,881,924,10659,0,0,0
304,440,407,5036,440,407,5036,0,0,0
305,453,399,4962,453,399,4962,0,0,0
306,339,354,4369,339,354,4369,0,0,0
307,440,449,5113,440,449,5113,0,0,0
308,381,390,4895,381,390,4895,0,0,0
309,387,393,4581,387,393,4581,0,0,0
310,296,316,3776,296,316,3776,0,0,0
311,323,324,4021,323,324,4021,0,0,0
312,310,361,4204,310,361,4204,0,0,0
313,747,772,9504,747,772,9504,0,0,0
314,392,430,5089,392,430,5089,0,0,0
315,451,478,5349,451,478,5349,0,0,0
316,392,399,4583,392,399,4583,0,0,0
317,440,382,5110,440,382,5110,0,0,0
318,401,414,5231,401,414,5231,0,0,0
319,500,519,5967,500,519,5967,0,0,0
320,370,373,4464,370,373,4464,0,0,0
321,373,348,4394,373,348,4394,0,0,0
322,407,393,4837,407,393,4837,0,0,0
323,358,366,4204,358,366,4204,0,0,0
324,535,549,6453,535,549,6453,0,0,0
325,327,332,4372,327,332,4372,0,0,0
326,318,326,4093,318,326,4093,0,0,0
327,374,324,3937,374,324,3937,0,0,0
328,309,364,4407,309,364,4407,0,0,0
329,423,429,5288,423,429,5288,0,0,0
330,439,448,5516,439,448,5516,0,0,0
331,372,374,4658,372,374,4658,0,0,0
332,352,324,4058,352,324,4058,0,0,0
333,696,717,8424,696,717,8424,0,0,0
334,312,313,3885,312,313,3885,0,0,0
335,330,336,4072,330,336,4072,0,0,0
336,334,333,4185,334,333,4185,0,0,0
337,345,322,4203,345,322,4203,0,0,0
338,392,392,4504,392,392,4504,0,0,0
339,543,535,6163,543,535,6163,0,0,0
340,410,399,4824,410,399,4824,0,0,0
341,308,312,3928,308,312,3928,0,0,0
342,384,363,4474,384,363,4474,0,0,0
343,350,352,4197,350,352,4197,0,0,0
344,344,357,4463,344,357,4463,0,0,0
345,382,330,4316,382,330,4316,0,0,0
346,361,377,4313,361,377,4313,0,0,0
347,340,318,3873,340,318,3873,0,0,0
348,579,612,6866,579,612,6866,0,0,0
349,354,344,4357,354,344,4357,0,0,0
350,344,355,4179,344,355,4179,0,0,0
351,364,376,4590,364,376,4590,0,0,0
352,354,369,4188,354,369,4188,0,0,0
353,360,357,4419,360,357,4419,0,0,0
354,381,383,4554,381,383,4554,0,0,0
355,349,350,4271,349,350,4271,0,0,0
356,798,790,9559,798,790,9559,0,0,0
357,511,533,6475,511,533,6475,0,0,0
358,396,393,4509,396,393,4509,0,0,0
359,389,419,4826,389,419,4826,0,0,0
360,338,329,3906,338,329,3906,0,0,0
361,415,360,4457,415,360,4457,0,0,0
362,378,394,4420,378,394,4420,0,0,0
363,589,560,6885,589,560,6885,0,0,0
364,343,303,4019,343,303,4019,0,0,0
365,420,409,4853,420,409,4853,0,0,0
366,302,359,3983,302,359,3983,0,0,0
367,391,340,4236,391,340,4236,0,0,0
368,351,351,4058,351,351,4058,0,0,0
369,312,307,3812,312,307,3812,0,0,0
370,354,306,4118,354,306,4118,0,0,0
371,356,336,4301,356,336,4301,0,0,0
372,488,422,5260,488,422,5260,0,0,0
373,457,433,5520,457,433,5520,0,0,0
374,373,306,3998,373,306,3998,0,0,0
375,455,475,5903,455,475,5903,0,0,0
376,323,361,4052,323,361,4052,0,0,0
377,402,400,4952,402,400,4952,0,0,0
378,352,375,4308,352,375,4308,0,0,0
379,387,434,4920,387,434,4920,0,0,0
380,351,353,4524,351,353,4524,0,0,0
381,369,320,4228,369,320,4228,0,0,0
382,373,360,4406,373,360,4406,0,0,0
383,470,420,5335,470,420,5335,0,0,0
384,356,397,4724,356,397,4724,0,0,0
385,476,522,6007,476,522,6007,0,0,0
386,700,716,8409,700,716,8409,0,0,0
387,444,416,5366,444,416,5366,0,0,0
388,333,336,3986,333,336,3986,0,0,0
389,475,475,6032,475,475,6032,0,0,0
390,461,430,4964,461,430,4964,0,0,0
