pair_source_status,photons
BarPV|AirGapYMinusPV|1|2,1170199
BarPV|AirGapYMinusPV|1|3,102394
BarPV|AirGapYMinusPV|1|4,754399
BarPV|AirGapYMinusPV|2|2,3266
BarPV|AirGapYMinusPV|2|3,377
BarPV|AirGapYMinusPV|2|4,2395
BarPV|AirGapZMinusPV|1|2,3996317
BarPV|AirGapZMinusPV|1|3,488664
BarPV|AirGapZMinusPV|1|4,13243840
BarPV|AirGapZMinusPV|2|2,26617
BarPV|AirGapZMinusPV|2|3,3012
BarPV|AirGapZMinusPV|2|4,2105951
BarPV|AirGapZPlusPV|1|2,3991875
BarPV|AirGapZPlusPV|1|3,487073
BarPV|AirGapZPlusPV|1|4,13184704
BarPV|AirGapZPlusPV|2|2,1865
BarPV|AirGapZPlusPV|2|3,269
BarPV|AirGapZPlusPV|2|4,12904
BarPV|EndSiPMLeft_PV|1|10,916
BarPV|EndSiPMLeft_PV|1|9,549
BarPV|EndSiPMRight_PV|1|10,882
BarPV|EndSiPMRight_PV|1|9,588
BarPV|TopSiPMPV|1|10,232445
BarPV|TopSiPMPV|1|9,142559
BarPV|TopSiPMPV|2|10,369
BarPV|TopSiPMPV|2|9,849
BarPV|WorldPV|1|2,981713
BarPV|WorldPV|1|3,92125
BarPV|WorldPV|1|4,600045
BarPV|WorldPV|2|2,2854
BarPV|WorldPV|2|3,309
BarPV|WorldPV|2|4,2004
EndSiPMLeft_PV|BarPV|1|2,3883
EndSiPMRight_PV|BarPV|1|2,3991
TopSiPMPV|BarPV|1|2,53248
BarPV|EndSiPMRight_PV|2|9,1
BarPV|EndSiPMLeft_PV|2|10,1
BarPV|EndSiPMLeft_PV|2|9,2
