tree,branch,compressed_bytes,uncompressed_bytes
sipm_hits,event_id,14021275,89039776
sipm_hits,face_type,19088288,89042553
sipm_hits,global_id,31571889,89042553
sipm_hits,local_id,31523677,89039776
sipm_hits,time_ns,99687591,133434699
sipm_hits,energy_eV,97562716,133440253
sipm_hits,wl_nm,97646199,133429145
sipm_hits,pde,66010627,133423591
sipm_hits,x_mm,86510442,133426368
sipm_hits,y_mm,56250685,133426368
sipm_hits,z_mm,94374894,133426368
sipm_hits,gun_x_mm,13347378,133437476
event_observables,event_id,6760,16384
event_observables,produced_scint,8582,16408
event_observables,produced_optical,8589,16416
event_observables,detected_left,6912,16404
event_observables,detected_right,6920,16408
event_observables,detected_top,8072,16400
event_observables,edep_total_MeV,19124,24408
event_observables,edep_nonionizing_MeV,3023,24432
event_observables,edep_ionizing_MeV,19127,24420
event_observables,edep_optical_MeV,18991,24416
event_observables,gun_x_mm,2962,24384
first_bar_encounters,event_id,52767374,334595806
first_bar_encounters,track_id,116951469,334595806
first_bar_encounters,source,53196839,334574954
first_bar_encounters,pre_copy,53061414,334595806
first_bar_encounters,post_copy,82760599,334606232
first_bar_encounters,boundary_status,77731634,334668788
first_bar_encounters,outcome,75412850,334585380
first_bar_encounters,exiting_bar,53182678,334627084
first_bar_encounters,normal_valid,52755584,334637510
first_bar_encounters,normal_orientation_valid,52880701,334762622
first_bar_encounters,pre_volume,63303875,418295415
first_bar_encounters,post_volume,136310698,761415301
first_bar_encounters,cos_incidence,372030088,501429752
first_bar_encounters,normal_norm,51087747,501408900
first_bar_encounters,energy_eV,367278117,501388048
sipm_event_counts,event_id,226158,1380224
sipm_event_counts,global_id,222464,1380268
sipm_event_counts,face_type,224258,1380268
sipm_event_counts,incident,517864,1380224
sipm_event_counts,detected,507954,1380224
sipm_event_counts,detected_unique,505620,1380532
sipm_event_counts,matched_detected,507508,1380576
sipm_event_counts,unmatched_detected,366677,1380664
sipm_event_counts,incident_scint,514366,1380488
sipm_event_counts,reflected_encounters_excluded,218262,1381148
sipm_event_counts,duplicate_incident,217697,1380664
sipm_event_counts,surface_detection,504281,1380620
sipm_event_counts,surface_absorption,490177,1380664
sipm_event_counts,transmitted,217383,1380356
sipm_event_counts,unknown_surface_pde,217735,1380708
sipm_event_counts,expected_surface_pde_sum,1534943,2068928
sipm_event_counts,surface_pde_variance_sum,1537091,2068928
sipm_event_counts,incident_wavelength_nm_sum,1543114,2069016
