global_id,incident,detected,detected_unique,matched_detected,unmatched_detected,incident_scint,reflected_encounters_excluded,duplicate_incident,surface_detection,surface_absorption,transmitted,unknown_surface_pde,expected_surface_pde_sum,surface_pde_variance_sum,incident_wavelength_nm_sum,detection_ratio,ratio_se
0,160596,100245,100245,98668,1577,154876,0,0,98668,61928,0,0,98550.09742728893,37783.09249507546,67372585.00800152,0.6242060823432714,0.0012947371899021895
1,167497,104443,104443,102861,1582,161382,0,0,102861,64636,0,0,102783.42400626202,39398.84796050871,70282676.93646584,0.6235514665934315,0.0012335156148231285
2,159276,98917,98917,97458,1459,153582,0,0,97458,61818,0,0,97748.12757617437,37468.28850008992,66823427.449078776,0.621041462618348,0.001302909175598987
3,151554,94605,94605,93228,1377,146254,0,0,93228,58326,0,0,93032.84219457718,35652.47882116099,63570122.65292093,0.6242329466724732,0.001257200995221986
4,161242,100461,100461,99043,1418,155595,0,0,99043,62199,0,0,98964.22821063048,37932.93432348301,67639765.59096289,0.6230448642413267,0.001316809622868465
5,172469,107763,107763,106078,1685,166163,0,0,106078,66391,0,0,105826.9545347145,40571.752909343304,72348915.69542104,0.6248253309290365,0.001226324889438916
6,163583,101804,101804,100310,1494,157542,0,0,100310,63273,0,0,100367.56809027793,38481.485568343094,68640325.13732807,0.6223385070575793,0.0012101829662733371
7,138898,86491,86491,85150,1341,133602,0,0,85150,53748,0,0,85199.2785069529,32673.93893436209,58299213.617961444,0.6226943512505579,0.0013111241279080293
8,160641,100065,100065,98543,1522,154983,0,0,98543,62098,0,0,98603.75037498094,37787.811462955935,67376938.18556269,0.6229107139522289,0.0012105890116444452
9,167489,104239,104239,102733,1506,161518,0,0,102733,64756,0,0,102807.2212324742,39399.79846035431,70252162.56254268,0.6223632596767549,0.0013108447543819703
10,159268,99165,99165,97684,1481,153660,0,0,97684,61584,0,0,97753.42583601426,37466.27087829999,66804029.67846366,0.6226297812492152,0.0012274508606769086
11,151131,94247,94247,92852,1395,145952,0,0,92852,58279,0,0,92785.52306249771,35553.83709857911,63388444.6998875,0.6236113041004162,0.0012356253448884537
12,161944,100644,100644,99115,1529,156226,0,0,99115,62829,0,0,99377.18780066555,38097.50502590596,67951448.45136248,0.6214740898088228,0.0012703073946360379
13,172558,107080,107080,105391,1689,166400,0,0,105391,67167,0,0,105899.79326369692,40597.905906806365,72396792.52911636,0.6205449761819214,0.0012105249097912186
14,162878,101492,101492,99965,1527,156904,0,0,99965,62913,0,0,99928.03657934345,38314.1103382751,68345260.53035782,0.623116688564447,0.0012741668230690346
15,139464,86949,86949,85579,1370,134162,0,0,85579,53885,0,0,85513.58789410836,32806.885225283724,58552539.12802543,0.6234512132163139,0.0013436289270950072
