event_id,global_id,face_type,incident,detected,detected_unique,matched_detected,unmatched_detected,incident_scint,reflected_encounters_excluded,duplicate_incident,surface_detection,surface_absorption,transmitted,unknown_surface_pde,expected_surface_pde_sum,surface_pde_variance_sum,incident_wavelength_nm_sum
0,0,0,135,70,70,68,2,131,0,0,68,67,0,0,82.53587502480521,31.72166631477949,57193.550390407196
0,1,0,155,82,82,81,1,152,0,0,81,74,0,0,94.82679197047813,36.5422676827161,65356.99113631069
0,2,0,164,105,105,104,1,154,0,0,104,60,0,0,100.15820485949287,38.58296908543884,68659.91304378126
0,3,0,117,82,82,80,2,116,0,0,80,37,0,0,72.05601057857841,27.62737512624238,48713.57968624423
0,4,0,152,90,90,89,1,144,0,0,89,63,0,0,93.16049988914197,35.71545546058903,63782.4961915966
0,5,0,154,93,93,92,1,148,0,0,92,62,0,0,94.4878160963963,36.36238575225844,64139.004911627744
0,6,0,157,89,89,89,0,151,0,0,89,68,0,0,96.57438053987639,36.901899434214904,65799.68020764094
0,7,0,115,73,73,72,1,111,0,0,72,43,0,0,71.1031582508145,27.07756828259731,48104.277569242535
0,8,1,149,90,90,88,2,145,0,0,88,61,0,0,92.01339969113995,35.07966737363587,62216.76689968935
0,9,1,171,96,96,94,2,165,0,0,94,77,0,0,105.37791888035477,40.21046034712819,71668.8206100514
0,10,1,156,104,104,103,1,152,0,0,103,53,0,0,96.27443447180842,36.6009512675738,65117.16252851085
0,11,1,120,85,85,82,3,119,0,0,82,38,0,0,74.28663887316306,28.265920369459607,50162.02285629852
0,12,1,160,91,91,91,0,154,0,0,91,69,0,0,98.00664039318139,37.53746750005388,67736.14394738649
0,13,1,142,99,99,98,1,137,0,0,98,44,0,0,86.77746530052625,33.434640888842345,59910.16109499102
0,14,1,152,88,88,84,4,147,0,0,84,68,0,0,93.14185228725096,35.85304098057502,63876.32774567303
0,15,1,133,92,92,89,3,130,0,0,89,44,0,0,81.97517085865097,31.20296267358053,55785.5389199658
0,16,2,56,33,33,33,0,53,0,0,33,23,0,0,34.528711132043966,13.190563674409136,23357.928753734435
0,17,2,58,35,35,35,0,55,0,0,35,23,0,0,35.36131813352106,13.728401332085532,24479.998963835795
0,18,2,51,33,33,32,1,49,0,0,32,19,0,0,31.45037074151547,12.033634747208279,21450.176465250086
0,19,2,56,38,38,36,2,56,0,0,36,20,0,0,34.92414378790681,13.138599085326817,23160.90259425697
0,20,2,92,58,58,58,0,87,0,0,58,34,0,0,56.514130760939025,21.648200603090494,38358.071900383904
0,21,2,57,44,44,43,1,54,0,0,43,14,0,0,34.95952050733737,13.451773767603889,23610.095077114976
0,22,2,72,46,46,46,0,71,0,0,46,26,0,0,44.39466766016531,16.954409870986602,30135.314583362007
0,23,2,67,44,44,43,1,66,0,0,43,24,0,0,41.443448998122456,15.781039838304999,27939.54421881945
0,24,2,109,70,70,69,1,106,0,0,69,40,0,0,67.17042364340837,25.732344406518617,45755.28852903321
0,25,2,108,67,67,67,0,104,0,0,67,41,0,0,66.21684009410625,25.428082586717522,45653.044000819755
0,26,2,83,59,59,59,0,76,0,0,59,24,0,0,49.773532421565015,19.326670629538935,35760.51161657223
0,27,2,83,56,56,53,3,80,0,0,53,30,0,0,51.17207509844105,19.54794483168198,34412.35280913445
0,28,2,79,44,44,44,0,76,0,0,44,35,0,0,48.78801268651023,18.613356540126023,33025.0552491222
0,29,2,117,77,77,76,1,115,0,0,76,41,0,0,72.08688642650318,27.517114238506352,48989.50892845696
0,30,2,113,75,75,74,1,106,0,0,74,39,0,0,69.03763862323648,26.44942436780606,47632.63196364595
