event_id,detected,matched_boundary_detection,orphan_standard_SD,orphan_fraction_of_detected
0,10098,9937,161,0.015943751237868883
1,6589,6480,109,0.016542722719684322
2,4715,4650,65,0.013785790031813362
3,5022,4944,78,0.015531660692951015
4,4559,4488,71,0.01557359069971485
5,4743,4659,84,0.017710309930423784
6,5614,5535,79,0.014071962949768436
7,4816,4753,63,0.01308139534883721
8,5205,5123,82,0.015754082612872238
9,6397,6297,100,0.01563232765358762
10,6087,5983,104,0.017085592245769672
11,5548,5453,95,0.017123287671232876
12,12065,11870,195,0.016162453377538334
13,4454,4376,78,0.017512348450830714
14,4379,4328,51,0.011646494633477963
15,4265,4190,75,0.017584994138335287
16,8026,7909,117,0.014577622726140044
17,5408,5334,74,0.013683431952662722
18,6670,6553,117,0.017541229385307347
19,4986,4910,76,0.0152426795026073
20,4779,4694,85,0.017786147729650554
21,5423,5331,92,0.01696477964226443
22,4822,4754,68,0.014102032351721278
23,5593,5516,77,0.01376720901126408
24,5675,5594,81,0.014273127753303964
25,5893,5794,99,0.016799592737145767
26,4786,4708,78,0.0162975344755537
27,5333,5263,70,0.013125820363772736
28,6884,6776,108,0.01568855316676351
29,4901,4824,77,0.015711079371556826
30,6770,6647,123,0.018168389955686853
31,5962,5892,70,0.011741026501174102
32,4722,4639,83,0.01757729775518848
33,4700,4622,78,0.016595744680851062
34,6398,6308,90,0.014066895904970303
35,5358,5269,89,0.016610675625233298
36,6622,6540,82,0.012382965871337965
37,5965,5871,94,0.01575859178541492
38,4781,4712,69,0.014432127170048107
39,5500,5418,82,0.014909090909090908
40,5492,5417,75,0.013656227239621267
41,5039,4964,75,0.01488390553681286
42,4631,4571,60,0.01295616497516735
43,6464,6348,116,0.017945544554455444
44,4664,4595,69,0.014794168096054888
45,4974,4900,74,0.014877362283876157
46,5202,5139,63,0.012110726643598616
47,4598,4536,62,0.013484123531970421
48,4508,4427,81,0.017968056787932566
49,4374,4318,56,0.012802926383173296
50,4657,4585,72,0.015460596950826713
51,4750,4675,75,0.015789473684210527
52,5836,5753,83,0.014222069910897875
53,5724,5642,82,0.0143256464011181
54,7676,7541,135,0.017587285044293903
55,5185,5103,82,0.015814850530376085
