bin_low,bin_high,photons,observed_probability,probability_se,uniform_probability,old_flux_probability
0.0,0.05,365808,0.009267698821170943,2.7395482484432752e-05,0.05,0.0025000000000000005
0.05,0.1,891714,0.02259145996430266,3.0352335239526253e-05,0.05,0.0075000000000000015
0.1,0.15000000000000002,1270513,0.03218828410636826,2.8955862584182667e-05,0.05,0.012500000000000004
0.15000000000000002,0.2,1560525,0.039535700976763184,3.4487266517048696e-05,0.05,0.0175
0.2,0.25,1792343,0.045408780311622474,3.8333569221605005e-05,0.05,0.022499999999999992
0.25,0.30000000000000004,1961616,0.04969729008329523,3.496491766112684e-05,0.05,0.027500000000000024
0.30000000000000004,0.35000000000000003,2038375,0.051641969515714044,3.781244004592415e-05,0.05,0.0325
0.35000000000000003,0.4,2052832,0.052008235758818806,3.398296067093244e-05,0.05,0.037500000000000006
0.4,0.45,2073190,0.052524003081024444,3.447512097245237e-05,0.05,0.04249999999999998
0.45,0.5,2092216,0.05300602435385499,3.3605955056578325e-05,0.05,0.04749999999999999
0.5,0.55,2103293,0.0532866587299269,3.5414389704438475e-05,0.05,0.05250000000000005
0.55,0.6000000000000001,2125210,0.05384192311742964,3.564221721777207e-05,0.05,0.05750000000000005
0.6000000000000001,0.65,2148640,0.054435519166121944,3.6844669534903195e-05,0.05,0.062499999999999944
0.65,0.7000000000000001,2181779,0.05527509148612256,3.551839294416849e-05,0.05,0.06750000000000006
0.7000000000000001,0.75,2200490,0.055749132274303594,3.536042390878735e-05,0.05,0.0724999999999999
0.75,0.8,2243334,0.056834579526124904,3.5725594285745866e-05,0.05,0.07750000000000012
0.8,0.8500000000000001,2295806,0.05816395092463035,3.6666611429247596e-05,0.05,0.08250000000000002
0.8500000000000001,0.9,2380512,0.060309966584064005,3.6523196374909175e-05,0.05,0.08749999999999991
0.9,0.9500000000000001,2545022,0.06447780636086176,4.170497124954292e-05,0.05,0.09250000000000003
0.9500000000000001,1.0,3148069,0.07975592485747932,4.229751321051472e-05,0.05,0.09749999999999992
