x_mm,material_a,material_b,cell_a,cell_b,escape_a,escape_b,difference,paired_se,abs_difference_over_se,status
-650,EJ-200,EJ-204,EJ200_xm650,EJ204_xm650,0.2627308979643827,0.26305157743232066,-0.00032067946793795654,4.5623393771038556e-05,7.028838528481454,FAIL
-650,EJ-200,EJ-230,EJ200_xm650,EJ230_xm650,0.2627308979643827,0.2632247150178266,-0.0004938170534439235,4.2851817706115046e-05,11.523829790152746,FAIL
-650,EJ-204,EJ-230,EJ204_xm650,EJ230_xm650,0.26305157743232066,0.2632247150178266,-0.00017313758550596692,4.5692135859072773e-05,3.7892206667679376,FAIL
-500,EJ-200,EJ-204,EJ200_xm500,EJ204_xm500,0.25661686908740156,0.25702876190090224,-0.0004118928135006805,4.083809511297806e-05,10.085994764476267,FAIL
-500,EJ-200,EJ-230,EJ200_xm500,EJ230_xm500,0.25661686908740156,0.2573075534688619,-0.0006906843814603603,4.3638027137572616e-05,15.827580364321205,FAIL
-500,EJ-204,EJ-230,EJ204_xm500,EJ230_xm500,0.25702876190090224,0.2573075534688619,-0.00027879156795967974,4.3217148969425476e-05,6.450947704970414,FAIL
-200,EJ-200,EJ-204,EJ200_xm200,EJ204_xm200,0.25619167935149184,0.25662547345124803,-0.00043379409975619065,4.225382215998959e-05,10.266387218502402,FAIL
-200,EJ-200,EJ-230,EJ200_xm200,EJ230_xm200,0.25619167935149184,0.2568583933564215,-0.0006667140049296805,4.329022958802652e-05,15.401027235810371,FAIL
-200,EJ-204,EJ-230,EJ204_xm200,EJ230_xm200,0.25662547345124803,0.2568583933564215,-0.00023291990517348982,4.238351150663434e-05,5.495531089655716,FAIL
0,EJ-200,EJ-204,EJ200_xp0,EJ204_xp0,0.25642678462877533,0.2569143528671191,-0.00048756823834378293,4.1948651633602e-05,11.622977601340292,FAIL
0,EJ-200,EJ-230,EJ200_xp0,EJ230_xp0,0.25642678462877533,0.2570995020724978,-0.0006727174437224925,4.459661012646965e-05,15.084497270414982,FAIL
0,EJ-204,EJ-230,EJ204_xp0,EJ230_xp0,0.2569143528671191,0.2570995020724978,-0.0001851492053787096,4.506295633458787e-05,4.108678622946874,FAIL
200,EJ-200,EJ-204,EJ200_xp200,EJ204_xp200,0.256163013561464,0.25658881117702614,-0.00042579761556216233,4.14905697164924e-05,10.26251551790355,FAIL
200,EJ-200,EJ-230,EJ200_xp200,EJ230_xp200,0.256163013561464,0.2569033886944369,-0.0007403751329729258,4.326661498492019e-05,17.111926440997763,FAIL
200,EJ-204,EJ-230,EJ204_xp200,EJ230_xp200,0.25658881117702614,0.2569033886944369,-0.00031457751741076345,4.2882750665728024e-05,7.335758843057948,FAIL
500,EJ-200,EJ-204,EJ200_xp500,EJ204_xp500,0.25659896473864685,0.2570307665154506,-0.0004318017768037419,4.4968274684144964e-05,9.602364774648287,FAIL
500,EJ-200,EJ-230,EJ200_xp500,EJ230_xp500,0.25659896473864685,0.25725508380384177,-0.0006561190651949156,4.2924520391223776e-05,15.285414006141435,FAIL
500,EJ-204,EJ-230,EJ204_xp500,EJ230_xp500,0.2570307665154506,0.25725508380384177,-0.0002243172883911737,4.577274324779182e-05,4.900673904922561,FAIL
650,EJ-200,EJ-204,EJ200_xp650,EJ204_xp650,0.2627059775805072,0.26309471456232686,-0.00038873698181968175,4.197366984018332e-05,9.261448505689774,FAIL
650,EJ-200,EJ-230,EJ200_xp650,EJ230_xp650,0.2627059775805072,0.26324082768920615,-0.0005348501086989699,4.4113713569583585e-05,12.124350126527302,FAIL
650,EJ-204,EJ-230,EJ204_xp650,EJ230_xp650,0.26309471456232686,0.26324082768920615,-0.00014611312687928812,4.41036355490537e-05,3.3129497162830415,FAIL
