event_id,produced_scint,edep_total_MeV,edep_optical_MeV,edep_nonoptical_MeV,V2_encounters,V2_escaped,V5_incident,V5_matched,V5_expected_PDE_sum,SD_detected,SD_orphan,npe_left,npe_right
0,17081.0,1.6430633000655,0.02616659998976816,1.6168967000757317,16842,4265,7707.0,4722.0,4712.751920982888,4802.0,80.0,516,248
1,24429.0,2.3684446389942098,0.03667721036540022,2.3317674286288095,24089,6098,11078.0,6767.0,6789.461028617497,6882.0,115.0,733,369
2,22852.0,2.188882150095633,0.03467248000579825,2.1542096700898345,22522,5812,10275.0,6320.0,6298.724657638173,6431.0,111.0,693,288
3,22550.0,2.173656888508894,0.033747154356439824,2.139909734152454,22209,5662,10041.0,6130.0,6167.572808456663,6236.0,106.0,713,320
4,16942.0,1.621454546658146,0.026051460643521908,1.5954030860146242,16673,4279,7668.0,4718.0,4695.912631783384,4797.0,79.0,511,217
5,26135.0,2.5290247971273723,0.039323458438341036,2.489701338689031,25761,6652,11624.0,7194.0,7143.877118741289,7303.0,109.0,750,349
6,22034.0,2.1218259444635055,0.03328744719047002,2.0885384972730354,21697,5464,9886.0,6057.0,6066.1219013835,6175.0,118.0,687,308
7,38072.0,3.6600936506598463,0.05798302282681709,3.6021106278330293,37511,9554,16987.0,10509.0,10430.048122780194,10687.0,178.0,1111,512
8,18765.0,1.8026357710783456,0.028509147413109677,1.774126623665236,18517,4840,8494.0,5182.0,5207.311010882568,5240.0,58.0,530,257
9,16134.0,1.5538567324827643,0.024805533316147845,1.5290511991666165,15911,4017,7358.0,4572.0,4504.4482388853585,4636.0,64.0,481,238
10,15944.0,1.5241509669720221,0.024203750305102984,1.4999472166669192,15721,3987,7288.0,4436.0,4449.698368342051,4498.0,62.0,507,226
11,19817.0,1.8962221187127646,0.029967769223684625,1.86625434948908,19526,5086,8932.0,5476.0,5472.423467451321,5562.0,86.0,596,249
12,20373.0,1.9594620759486978,0.031099932647218404,1.9283621433014795,20099,5184,9278.0,5708.0,5680.4886412036285,5789.0,81.0,659,280
13,19064.0,1.8498514408783562,0.029160259163921134,1.8206911817144351,18792,4817,8673.0,5306.0,5315.20304272927,5386.0,80.0,597,262
14,16221.0,1.5733931131478573,0.024959646872985176,1.5484334662748722,15990,4138,7454.0,4594.0,4557.544230519691,4644.0,50.0,489,197
15,33657.0,3.2338612103793904,0.05071851860301918,3.1831426917763714,33165,8368,15188.0,9222.0,9311.21588553774,9366.0,144.0,1023,417
16,18387.0,1.793272428829607,0.028356687444547703,1.7649157413850591,18106,4653,8287.0,5125.0,5068.393380813688,5195.0,70.0,581,270
17,35181.0,3.3790183633918405,0.05316994248341148,3.325848420908429,34676,8774,15865.0,9719.0,9747.105504150903,9868.0,149.0,1058,465
18,16285.0,1.5717835150204953,0.024689540755180293,1.547093974265315,16062,4053,7363.0,4533.0,4500.257983243571,4592.0,59.0,519,220
19,17496.0,1.7071242134192328,0.0266585750614439,1.680465638357789,17240,4459,7936.0,4855.0,4856.898504671247,4925.0,70.0,508,265
20,21118.0,2.0197845996243924,0.03193406678782832,1.987850532836564,20822,5329,9531.0,5918.0,5836.107682134576,6006.0,88.0,653,298
21,23193.0,2.228727711264577,0.035100402325532895,2.1936273089390443,22859,6000,10322.0,6350.0,6318.778757759963,6460.0,110.0,665,309
22,20232.0,1.9300808545148531,0.030621374945317754,1.8994594795695354,19955,5112,9121.0,5588.0,5582.587707676174,5680.0,92.0,629,287
23,19946.0,1.9019310393179762,0.03082903008204807,1.871102009235928,19692,5066,9109.0,5688.0,5582.127225604657,5765.0,77.0,561,279
24,19465.0,1.8717394724751297,0.0296526343612625,1.8420868381138673,19198,4985,8829.0,5435.0,5407.222210544757,5513.0,78.0,617,233
25,33908.0,3.2696894372281453,0.05113207766358189,3.2185573595645636,33423,8601,15044.0,9249.0,9240.689649610738,9388.0,139.0,985,439
26,16560.0,1.601667867008376,0.025260323374265106,1.5764075436341107,16303,4213,7591.0,4608.0,4645.7687056819295,4679.0,71.0,495,221
27,16672.0,1.6085472001229941,0.025623180906812364,1.5829240192161818,16438,4191,7519.0,4626.0,4595.163357629959,4704.0,78.0,487,243
28,22935.0,2.21793777156283,0.03506237916680381,2.1828753923960265,22667,5775,10294.0,6349.0,6309.286255872922,6438.0,89.0,694,292
29,17073.0,1.6628968672607807,0.02623791348734149,1.6366589537734393,16815,4227,7700.0,4721.0,4715.037214845904,4806.0,85.0,533,216
30,16160.0,1.5626973017598313,0.024994972800640836,1.5377023289591905,15937,4120,7345.0,4558.0,4489.115207315742,4623.0,65.0,546,210
31,17721.0,1.7219747745121112,0.026875411570972157,1.695099362941139,17504,4520,8005.0,4954.0,4893.870090134827,5018.0,64.0,518,248
32,18756.0,1.7999531846241208,0.028617772334288773,1.771335412289832,18480,4780,8419.0,5235.0,5158.611504829289,5322.0,87.0,567,243
33,16076.0,1.5460666684684303,0.024811756405195055,1.5212549120632353,15845,4051,7399.0,4502.0,4528.460513892464,4554.0,52.0,465,200
34,17568.0,1.6977825843438203,0.026962165131001154,1.670820419212819,17355,4348,8032.0,4928.0,4913.028091713997,4989.0,61.0,565,235
35,22762.0,2.170971623668433,0.03386193569505698,2.137109687973376,22419,5722,10032.0,6036.0,6150.057342579031,6130.0,94.0,627,291
36,18250.0,1.7545058857477926,0.02779527609420359,1.7267106096535891,17991,4663,8191.0,5000.0,5018.792813859401,5073.0,73.0,579,225
37,17993.0,1.7323296685892475,0.02710391237733518,1.7052257562119124,17767,4637,8051.0,4926.0,4927.749884026552,4996.0,70.0,566,233
38,27456.0,2.6370659924600144,0.04156746423726882,2.5954985282227456,27034,6892,12285.0,7551.0,7545.3996325830585,7672.0,121.0,844,375
39,15160.0,1.459412263212262,0.02327588481038496,1.436136378401877,14961,3814,6852.0,4247.0,4190.690060864082,4301.0,54.0,492,229
40,18095.0,1.746407750408897,0.027568679799177924,1.7188390706097192,17837,4546,8217.0,5030.0,5027.471304786259,5108.0,78.0,552,256
