bin_low,bin_high,photons,probability,probability_se,uniform_probability,old_p_2mu_probability
0.0,0.05,1747751,0.008825161583427839,1.2917332993416803e-05,0.05,0.0025000000000000005
0.05,0.1,4453154,0.02248592826202818,1.50719516169025e-05,0.05,0.0075000000000000015
0.1,0.15000000000000002,6320049,0.031912700173069006,1.3167424889571975e-05,0.05,0.012500000000000004
0.15000000000000002,0.2,7847560,0.03962577337140415,1.5136250355129523e-05,0.05,0.0175
0.2,0.25,8981043,0.04534922632727059,1.729007907106194e-05,0.05,0.022499999999999992
0.25,0.30000000000000004,9831588,0.04964400118877926,1.5724481952406732e-05,0.05,0.027500000000000024
0.30000000000000004,0.35000000000000003,10217719,0.05159374601362592,1.5484576025996368e-05,0.05,0.0325
0.35000000000000003,0.4,10313165,0.05207569474230172,1.6520364211193605e-05,0.05,0.037500000000000006
0.4,0.45,10395510,0.05249149077422352,1.5916762397581764e-05,0.05,0.04249999999999998
0.45,0.5,10481513,0.05292575765300634,1.602061754584645e-05,0.05,0.04749999999999999
0.5,0.55,10561835,0.053331338670384726,1.62047481970709e-05,0.05,0.05250000000000005
0.55,0.6000000000000001,10663765,0.05384602795976221,1.6373312132719293e-05,0.05,0.05750000000000005
0.6000000000000001,0.65,10803120,0.054549692493473585,1.6772547785231612e-05,0.05,0.062499999999999944
0.65,0.7000000000000001,10925662,0.05516846081387873,1.64821638097168e-05,0.05,0.06750000000000006
0.7000000000000001,0.75,11051224,0.055802478439237475,1.6480685205957117e-05,0.05,0.0724999999999999
0.75,0.8,11239737,0.056754363281859066,1.5890851879014414e-05,0.05,0.07750000000000012
0.8,0.8500000000000001,11533615,0.05823828223588319,1.7522228669393926e-05,0.05,0.08250000000000002
0.8500000000000001,0.9,11938491,0.060282678789655396,1.6904146794895493e-05,0.05,0.08749999999999991
0.9,0.9500000000000001,12775281,0.06450799862148303,1.827362014463582e-05,0.05,0.09250000000000003
0.9500000000000001,1.0,15960031,0.08058919860524605,2.018425572910745e-05,0.05,0.09749999999999992
