event_id,produced_scint,edep_total_MeV,edep_optical_MeV,edep_nonoptical_MeV,V2_encounters,V2_escaped,V5_incident,V5_matched,V5_expected_PDE_sum,SD_detected,SD_orphan,npe_left,npe_right
0,15323.0,1.5839993525593001,0.02589168409968553,1.5581076684596147,15082,3879,6183.0,3719.0,3725.9844427188514,3773.0,54.0,244,250
1,15254.0,1.5699101824223076,0.025569417993144605,1.5443407644291631,15042,3856,6208.0,3763.0,3742.2405185235057,3806.0,43.0,240,233
2,15850.0,1.6518124590570757,0.026723088925431425,1.6250893701316442,15570,3963,6526.0,3959.0,3939.5698410625005,4030.0,71.0,267,254
3,16257.0,1.698226774963578,0.02743490725740538,1.6707918677061726,16015,4229,6620.0,4026.0,3990.1381274628675,4073.0,47.0,255,256
4,16850.0,1.7149243460379053,0.028246583461947576,1.6866777625759577,16558,4331,6885.0,4092.0,4147.9903755993555,4151.0,59.0,282,261
5,18785.0,1.9501425357866264,0.03145922653066003,1.9186833092559663,18443,4818,7724.0,4630.0,4667.562029397323,4701.0,71.0,323,341
6,16398.0,1.701288881832891,0.027601600294597222,1.673687281538294,16109,4127,6757.0,4017.0,4076.536858190009,4078.0,61.0,272,267
7,18894.0,1.9324939475920755,0.03176423155367847,1.9007297160383971,18568,4785,7761.0,4675.0,4693.878400739213,4738.0,63.0,308,293
8,19847.0,2.0216765854936827,0.032970584496128524,1.9887060009975541,19492,5008,8032.0,4786.0,4852.242558733684,4886.0,100.0,311,320
9,19226.0,2.00875712343891,0.032357852847299806,1.97639927059161,18909,4780,7900.0,4812.0,4780.417501177518,4887.0,75.0,323,294
10,15258.0,1.567476484591132,0.026019128505072407,1.5414573560860596,14983,3844,6197.0,3706.0,3738.490447918386,3764.0,58.0,254,233
11,21643.0,2.2096657896359337,0.03574042195191893,2.173925367684015,21266,5555,8756.0,5263.0,5298.944523033748,5341.0,78.0,337,377
12,17002.0,1.7230000751695744,0.028876361160702607,1.6941237140088719,16693,4170,6966.0,4212.0,4206.457120479636,4276.0,64.0,275,290
13,33268.0,3.414558794223856,0.05530704880656184,3.359251745417294,32676,8488,13483.0,8085.0,8153.079268525238,8206.0,121.0,548,503
14,17456.0,1.7838455037976886,0.029556174771488967,1.7542893290261996,17153,4361,7072.0,4301.0,4274.515978388998,4364.0,63.0,296,264
15,16499.0,1.7207469459248463,0.027420837793815545,1.6933261081310307,16199,4166,6797.0,4066.0,4104.86605659574,4141.0,75.0,250,268
16,19040.0,1.9723890465063685,0.032068141839390676,1.9403209046669778,18719,4828,7712.0,4682.0,4654.086858257726,4740.0,58.0,291,320
17,22075.0,2.27951243637174,0.03694335798648569,2.2425690783852543,21698,5574,8883.0,5376.0,5379.708205219833,5455.0,79.0,324,358
18,17809.0,1.8112540397531365,0.030060466071273845,1.7811935736818627,17518,4540,7170.0,4287.0,4330.229886159252,4341.0,54.0,277,309
19,16181.0,1.6646392388442626,0.027458184186691555,1.637181054657571,15925,4074,6653.0,4073.0,4017.6396892628677,4133.0,60.0,294,258
20,16494.0,1.6959805944490849,0.027673315870832646,1.6683072785782522,16219,4202,6816.0,4173.0,4116.017647390012,4221.0,48.0,274,272
21,24257.0,2.4965328518411054,0.04044094589673599,2.4560919059443695,23854,6237,9759.0,5933.0,5907.763693395665,6035.0,102.0,390,401
22,19754.0,2.0169348780696392,0.03309700543081139,1.983837872638828,19406,5044,7906.0,4746.0,4774.181942909667,4822.0,76.0,324,328
23,18668.0,1.9256598729766035,0.030946161482746037,1.8947137114938575,18351,4767,7484.0,4480.0,4522.348887600989,4553.0,73.0,296,279
24,17563.0,1.8113133437564757,0.028950849506834273,1.7823624942496414,17239,4463,7100.0,4283.0,4286.496895154674,4359.0,76.0,289,288
