cell_id,material,x_mm,escape,escape_se
EJ200_xm650,EJ-200,-650,0.2627308979643827,3.309902802705627e-05
EJ200_xm500,EJ-200,-500,0.25661686908740156,3.15849124726879e-05
EJ200_xm200,EJ-200,-200,0.25619167935149184,3.2859394919707645e-05
EJ200_xp0,EJ-200,0,0.25642678462877533,3.1512091869880565e-05
EJ200_xp200,EJ-200,200,0.256163013561464,3.3027370913906476e-05
EJ200_xp500,EJ-200,500,0.25659896473864685,3.1022423548653034e-05
EJ200_xp650,EJ-200,650,0.2627059775805072,3.297563225082485e-05
EJ204_xm650,EJ-204,-650,0.26305157743232066,3.3453771652165654e-05
EJ204_xm500,EJ-204,-500,0.25702876190090224,3.150651355899114e-05
EJ204_xm200,EJ-204,-200,0.25662547345124803,3.068650439907611e-05
EJ204_xp0,EJ-204,0,0.2569143528671191,3.2351924272920104e-05
EJ204_xp200,EJ-204,200,0.25658881117702614,3.170516408268457e-05
EJ204_xp500,EJ-204,500,0.2570307665154506,3.453240660977314e-05
EJ204_xp650,EJ-204,650,0.26309471456232686,3.178306593768397e-05
EJ230_xm650,EJ-230,-650,0.2632247150178266,3.3410023115220655e-05
EJ230_xm500,EJ-230,-500,0.2573075534688619,3.343900617892109e-05
EJ230_xm200,EJ-230,-200,0.2568583933564215,3.263135652685578e-05
EJ230_xp0,EJ-230,0,0.2570995020724978,3.416065181675029e-05
EJ230_xp200,EJ-230,200,0.2569033886944369,3.236176808497313e-05
EJ230_xp500,EJ-230,500,0.25725508380384177,3.399954231691278e-05
EJ230_xp650,EJ-230,650,0.26324082768920615,3.254108222037095e-05
