cell_id,material,opsc_code,x_mm,events,workers_manifest,eventModulo_manifest,seed1,seed2,PDE_path,PDE_sha256,root_path,root_sha256,root_bytes,event_rows,encounter_rows,sipm_event_rows,hit_rows,wall_s
EJ200_xm200,EJ-200,OPSC-100,-200,10000,4,1,26092601,8349041,/home/rrios/ej200_exec40_20260913/data/sipm/AFBR-S4N66P024M_pde.txt,6360bd80eabf1ade77ea0dd80f8e56ed99b6ea8dcbc2ce94bf5269108f2b28e7,/home/rrios/exec42_20260913/grid/cells/EJ200_xm200/attempts/3e6fc705cc0f4c38aa7638cb71f7b2ef/photon_hits_run000.root,02a442c96e75f769f7e82997bb7b62c18f4e915954514bb0566927a07eb7d2a9,8236528571,10000,202763400,860000,63348852,4048.352417333983
EJ200_xm500,EJ-200,OPSC-100,-500,10000,4,1,26092601,8349041,/home/rrios/ej200_exec40_20260913/data/sipm/AFBR-S4N66P024M_pde.txt,6360bd80eabf1ade77ea0dd80f8e56ed99b6ea8dcbc2ce94bf5269108f2b28e7,/home/rrios/exec42_20260913/grid/cells/EJ200_xm500/attempts/1abedbd37a404c8d9aad684ed46c5995/photon_hits_run000.root,5de792c5ced3b008be6e36bffc5a3467cb6b117cee279c49e0565c91832f70d0,8254104546,10000,201686986,860000,63997268,3823.941371002933
EJ200_xm650,EJ-200,OPSC-100,-650,10000,4,1,26092601,8349041,/home/rrios/ej200_exec40_20260913/data/sipm/AFBR-S4N66P024M_pde.txt,6360bd80eabf1ade77ea0dd80f8e56ed99b6ea8dcbc2ce94bf5269108f2b28e7,/home/rrios/exec42_20260913/grid/cells/EJ200_xm650/attempts/8b4b3f0204f2400292bde4dee8fb82b3/photon_hits_run000.root,a9bf53d9b135575fe7b1ab5354eaa4bbd29debb2d03f945214594a3e4f90724c,8483878624,10000,201279794,860000,67720057,3334.6571152489632
EJ200_xp0,EJ-200,OPSC-100,0,10000,4,1,26092601,8349041,/home/rrios/ej200_exec40_20260913/data/sipm/AFBR-S4N66P024M_pde.txt,6360bd80eabf1ade77ea0dd80f8e56ed99b6ea8dcbc2ce94bf5269108f2b28e7,/home/rrios/exec42_20260913/grid/cells/EJ200_xp0/attempts/da248c5a214145babc620a23b1328606/photon_hits_run000.root,88383333401ab1f32ba13abb69448c7d171f7e53dc07f25d75e30772689b33f7,8172941026,10000,202014290,860000,62596038,4074.3969273848925
EJ200_xp200,EJ-200,OPSC-100,200,10000,4,1,26092601,8349041,/home/rrios/ej200_exec40_20260913/data/sipm/AFBR-S4N66P024M_pde.txt,6360bd80eabf1ade77ea0dd80f8e56ed99b6ea8dcbc2ce94bf5269108f2b28e7,/home/rrios/exec42_20260913/grid/cells/EJ200_xp200/attempts/34bd901a9a924a379c53289da2d61f61/photon_hits_run000.root,45bbde0b6f3bbc77855e4af950d7436e052c9edfb50985951af6f22a0601e93e,8225068015,10000,202480330,860000,63261381,4045.256677540019
EJ200_xp500,EJ-200,OPSC-100,500,10000,4,1,26092601,8349041,/home/rrios/ej200_exec40_20260913/data/sipm/AFBR-S4N66P024M_pde.txt,6360bd80eabf1ade77ea0dd80f8e56ed99b6ea8dcbc2ce94bf5269108f2b28e7,/home/rrios/exec42_20260913/grid/cells/EJ200_xp500/attempts/cda73935717c4441a2364ad7b7f0797b/photon_hits_run000.root,ca86746528159120b06eafadf797e3938daf5ecd6722e0c7b7a429f43e9ec3fb,8247746686,10000,201497084,860000,63932058,3808.9022875389783
EJ200_xp650,EJ-200,OPSC-100,650,10000,4,1,26092601,8349041,/home/rrios/ej200_exec40_20260913/data/sipm/AFBR-S4N66P024M_pde.txt,6360bd80eabf1ade77ea0dd80f8e56ed99b6ea8dcbc2ce94bf5269108f2b28e7,/home/rrios/exec42_20260913/grid/cells/EJ200_xp650/attempts/037719d675964fce8b7fe6abf531a9ff/photon_hits_run000.root,fac9ee0630a56a11aa4a09f4f882b819f83c32c1a065e3fc71154c17e735ad54,8532146979,10000,202309773,860000,68056391,3441.5282033151016
EJ204_xm200,EJ-204,OPSC-101,-200,10000,4,1,26092601,8349041,/home/rrios/ej200_exec40_20260913/data/sipm/AFBR-S4N66P024M_pde.txt,6360bd80eabf1ade77ea0dd80f8e56ed99b6ea8dcbc2ce94bf5269108f2b28e7,/home/rrios/exec42_20260913/grid/cells/EJ204_xm200/attempts/58bcff04de5249c482e63f2881db132d/photon_hits_run000.root,95162a5f00e35d89da89f9d1c12fa821ad189eb8d560e30729ff2ee9d4765f75,7795544174,10000,209091968,860000,56379503,3623.9549718479393
EJ204_xm500,EJ-204,OPSC-101,-500,10000,4,1,26092601,8349041,/home/rrios/ej200_exec40_20260913/data/sipm/AFBR-S4N66P024M_pde.txt,6360bd80eabf1ade77ea0dd80f8e56ed99b6ea8dcbc2ce94bf5269108f2b28e7,/home/rrios/exec42_20260913/grid/cells/EJ204_xm500/attempts/89c90fe0f09f470690a6cb4aa3b69e6b/photon_hits_run000.root,19d61aa7910b5c92b87598bf7a17fc178790afa3c6677b62b16b080ae83e98bf,7916521697,10000,209184782,860000,58285995,3438.6043390471023
EJ204_xm650,EJ-204,OPSC-101,-650,10000,4,1,26092601,8349041,/home/rrios/ej200_exec40_20260913/data/sipm/AFBR-S4N66P024M_pde.txt,6360bd80eabf1ade77ea0dd80f8e56ed99b6ea8dcbc2ce94bf5269108f2b28e7,/home/rrios/exec42_20260913/grid/cells/EJ204_xm650/attempts/7d7319c8b6844419a1b58618d1e69d0d/photon_hits_run000.root,b493ab5b18e863e1026516c5940f06c4ee86c8b15789c95bd30da07bbc820d1f,8267051530,10000,209806298,860000,63710913,3042.314499979024
EJ204_xp0,EJ-204,OPSC-101,0,10000,4,1,26092601,8349041,/home/rrios/ej200_exec40_20260913/data/sipm/AFBR-S4N66P024M_pde.txt,6360bd80eabf1ade77ea0dd80f8e56ed99b6ea8dcbc2ce94bf5269108f2b28e7,/home/rrios/exec42_20260913/grid/cells/EJ204_xp0/attempts/a64237bbbbc1415dbbf2b50155884a7e/photon_hits_run000.root,a247510ef7739cc684306f9f6d942bad20113dc737cd1224966ad04f1ea8729e,7746247456,10000,208955278,860000,55640955,3651.81196002895
EJ204_xp200,EJ-204,OPSC-101,200,10000,4,1,26092601,8349041,/home/rrios/ej200_exec40_20260913/data/sipm/AFBR-S4N66P024M_pde.txt,6360bd80eabf1ade77ea0dd80f8e56ed99b6ea8dcbc2ce94bf5269108f2b28e7,/home/rrios/exec42_20260913/grid/cells/EJ204_xp200/attempts/5543a9159de548839176478a553965e5/photon_hits_run000.root,9423b050c494c9434e7bb6e268996b32d199c8fa0e2e231de08735b949262c69,7794980023,10000,209066941,860000,56378895,3618.8133828180144
EJ204_xp500,EJ-204,OPSC-101,500,10000,4,1,26092601,8349041,/home/rrios/ej200_exec40_20260913/data/sipm/AFBR-S4N66P024M_pde.txt,6360bd80eabf1ade77ea0dd80f8e56ed99b6ea8dcbc2ce94bf5269108f2b28e7,/home/rrios/exec42_20260913/grid/cells/EJ204_xp500/attempts/0adfe01a664e4b2691f2604f68be7b9f/photon_hits_run000.root,61d61159904339c980cad989920ee5daa0d4cd5d4c9d7d5fdd972a82f96dba8a,7924200873,10000,209319312,860000,58336461,3438.7030175509863
EJ204_xp650,EJ-204,OPSC-101,650,10000,4,1,26092601,8349041,/home/rrios/ej200_exec40_20260913/data/sipm/AFBR-S4N66P024M_pde.txt,6360bd80eabf1ade77ea0dd80f8e56ed99b6ea8dcbc2ce94bf5269108f2b28e7,/home/rrios/exec42_20260913/grid/cells/EJ204_xp650/attempts/e8790d8e89c643939a692412d0f38013/photon_hits_run000.root,74a9bef3932dae63aba8b22078c8c0355e901214794f833fddc57a711260e3a8,8239979344,10000,208966712,860000,63448319,3043.3804665909847
EJ230_xm200,EJ-230,OPSC-106,-200,10000,4,1,26092601,8349041,/home/rrios/ej200_exec40_20260913/data/sipm/AFBR-S4N66P024M_pde.txt,6360bd80eabf1ade77ea0dd80f8e56ed99b6ea8dcbc2ce94bf5269108f2b28e7,/home/rrios/exec42_20260913/grid/cells/EJ230_xm200/attempts/e5c24a02cdaf4532bc14b955af131fbd/photon_hits_run000.root,cf0b7c462ac2dbc5c3a31aa8c5c741d09a58c291de3282cf6e66cd6ef1fb9092,7003531570,10000,194835465,860000,47447287,3163.459990535979
EJ230_xm500,EJ-230,OPSC-106,-500,10000,4,1,26092601,8349041,/home/rrios/ej200_exec40_20260913/data/sipm/AFBR-S4N66P024M_pde.txt,6360bd80eabf1ade77ea0dd80f8e56ed99b6ea8dcbc2ce94bf5269108f2b28e7,/home/rrios/exec42_20260913/grid/cells/EJ230_xm500/attempts/9bc1c72e154b4f6e97c899e83ee58287/photon_hits_run000.root,ae43b5930fd8919da37a8dfb1064ce03a5a1b3c1853f68662a363a785a739ac5,7151895394,10000,195180606,860000,49643803,2070.200832299073
EJ230_xm650,EJ-230,OPSC-106,-650,10000,4,1,26092601,8349041,/home/rrios/ej200_exec40_20260913/data/sipm/AFBR-S4N66P024M_pde.txt,6360bd80eabf1ade77ea0dd80f8e56ed99b6ea8dcbc2ce94bf5269108f2b28e7,/home/rrios/exec42_20260913/grid/cells/EJ230_xm650/attempts/e34efc3371b24d3eac656cc5e65fe6e8/photon_hits_run000.root,fc099e3dccb06b7299031844279e6ffbaa72504f3da1a9672b2848d5314162b7,7486597901,10000,195054268,860000,54935742,1552.7008168289904
