x_mm,longer_material,shorter_material,longer_cell,shorter_cell,absent_longer,absent_shorter,difference_shorter_minus_longer,paired_se,difference_over_se,status,adjacent_pair_for_M1_decision
-650,EJ-200,EJ-204,EJ200_xm650,EJ204_xm650,0.008985253939918367,0.014346656819328544,0.005361402879410176,1.066646703884731e-05,502.6409269239692,PASS,True
-650,EJ-200,EJ-230,EJ200_xm650,EJ230_xm650,0.008985253939918367,0.016996506607815147,0.00801125266789678,1.1595471342747264e-05,690.8949564096554,PASS,False
-650,EJ-204,EJ-230,EJ204_xm650,EJ230_xm650,0.014346656819328544,0.016996506607815147,0.0026498497884866034,1.2530843951438909e-05,211.46618685506198,PASS,True
-500,EJ-200,EJ-204,EJ200_xm500,EJ204_xm500,0.00888007011895498,0.014350647469740234,0.005470577350785254,1.0911815870012062e-05,501.3443606411594,PASS,True
-500,EJ-200,EJ-230,EJ200_xm500,EJ230_xm500,0.00888007011895498,0.017101220785267022,0.008221150666312042,1.1186380568940542e-05,734.9249934459064,PASS,False
-500,EJ-204,EJ-230,EJ204_xm500,EJ230_xm500,0.014350647469740234,0.017101220785267022,0.002750573315526788,1.2225635305264031e-05,224.98408032361843,PASS,True
-200,EJ-200,EJ-204,EJ200_xm200,EJ204_xm200,0.008833059071218353,0.014268854234515028,0.005435795163296675,1.0553415296800427e-05,515.0745053067981,PASS,True
-200,EJ-200,EJ-230,EJ200_xm200,EJ230_xm200,0.008833059071218353,0.01703688344495571,0.008203824373737357,1.1455183672757928e-05,716.1669867631393,PASS,False
-200,EJ-204,EJ-230,EJ204_xm200,EJ230_xm200,0.014268854234515028,0.01703688344495571,0.002768029210440682,1.198720255288613e-05,230.91536146389973,PASS,True
0,EJ-200,EJ-204,EJ200_xp0,EJ204_xp0,0.008804589312496577,0.014219285558056767,0.00541469624556019,1.062248892587077e-05,509.7389400306035,PASS,True
0,EJ-200,EJ-230,EJ200_xp0,EJ230_xp0,0.008804589312496577,0.01699405661198961,0.008189467299493032,1.1857276609217851e-05,690.670174053841,PASS,False
0,EJ-204,EJ-230,EJ204_xp0,EJ230_xp0,0.014219285558056767,0.01699405661198961,0.0027747710539328414,1.2092803005285018e-05,229.45640086257586,PASS,True
200,EJ-200,EJ-204,EJ200_xp200,EJ204_xp200,0.008832690268358914,0.014274617161024857,0.005441926892665943,1.0806318751335801e-05,503.5874859783541,PASS,True
200,EJ-200,EJ-230,EJ200_xp200,EJ230_xp200,0.008832690268358914,0.0170159971894975,0.008183306921138585,1.1612559980382336e-05,704.6944803697932,PASS,False
200,EJ-204,EJ-230,EJ204_xp200,EJ230_xp200,0.014274617161024857,0.0170159971894975,0.0027413800284726425,1.204686766308846e-05,227.55957026673553,PASS,True
500,EJ-200,EJ-204,EJ200_xp500,EJ204_xp500,0.008881004918768413,0.014355468409531013,0.0054744634907625996,1.1357280921365871e-05,482.02237213871956,PASS,True
500,EJ-200,EJ-230,EJ200_xp500,EJ230_xp500,0.008881004918768413,0.017106018192024678,0.008225013273256265,1.1900927791210075e-05,691.1237020807058,PASS,False
500,EJ-204,EJ-230,EJ204_xp500,EJ230_xp500,0.014355468409531013,0.017106018192024678,0.002750549782493665,1.3074508098459417e-05,210.37501080578056,PASS,True
650,EJ-200,EJ-204,EJ200_xp650,EJ204_xp650,0.008979883321543388,0.014352319174741947,0.005372435853198559,1.0811710277093936e-05,496.9089732806462,PASS,True
650,EJ-200,EJ-230,EJ200_xp650,EJ230_xp650,0.008979883321543388,0.017006523459055456,0.008026640137512068,1.232112439025403e-05,651.4535429786841,PASS,False
650,EJ-204,EJ-230,EJ204_xp650,EJ230_xp650,0.014352319174741947,0.017006523459055456,0.002654204284313509,1.267449705865658e-05,209.4129867268152,PASS,True
