cell_id,material,x_mm,attenuation_mm,produced,first_encounters,absent,absent_fraction,absent_fraction_se
EJ200_xm650,EJ-200,-650,3800.0,191838429,190114712,1723717,0.008985253939918367,6.824405279666836e-06
EJ200_xm500,EJ-200,-500,3800.0,192247018,190539851,1707167,0.00888007011895498,6.698352686182701e-06
EJ200_xm200,EJ-200,-200,3800.0,193278001,191570765,1707236,0.008833059071218353,7.021719266630374e-06
EJ200_xp0,EJ-200,0,3800.0,192545267,190849985,1695282,0.008804589312496577,6.813604900258355e-06
EJ200_xp200,EJ-200,200,3800.0,193013674,191308844,1704830,0.008832690268358914,6.67305804809276e-06
EJ200_xp500,EJ-200,500,3800.0,192052140,190346524,1705616,0.008881004918768413,6.631970245930328e-06
EJ200_xp650,EJ-200,650,3800.0,192847940,191116188,1731752,0.008979883321543388,6.918867070514963e-06
EJ204_xm650,EJ-204,-650,1600.0,201524511,198633308,2891203,0.014346656819328544,8.337206567567608e-06
EJ204_xm500,EJ-204,-500,1600.0,200925220,198041813,2883407,0.014350647469740234,8.326257160770163e-06
EJ204_xm200,EJ-204,-200,1600.0,200824674,197959136,2865538,0.014268854234515028,8.297176688551767e-06
EJ204_xp0,EJ-204,0,1600.0,200703614,197849752,2853862,0.014219285558056767,8.27253334007806e-06
EJ204_xp200,EJ-204,200,1600.0,200817785,197951188,2866597,0.014274617161024857,8.424857622238886e-06
EJ204_xp500,EJ-204,500,1600.0,201066863,198180454,2886409,0.014355468409531013,8.829945635624157e-06
EJ204_xp650,EJ-204,650,1600.0,200693976,197813552,2880424,0.014352319174741947,8.303799962338433e-06
EJ230_xm650,EJ-230,-650,1200.0,187161637,183980543,3181094,0.016996506607815147,9.422810668415298e-06
EJ230_xm500,EJ-230,-500,1200.0,187326802,184123285,3203517,0.017101220785267022,9.103893581116449e-06
EJ230_xm200,EJ-230,-200,1200.0,187003275,183817322,3185953,0.01703688344495571,9.2317396830913e-06
EJ230_xp0,EJ-230,0,1200.0,187806012,184614426,3191586,0.01699405661198961,9.770529375460164e-06
EJ230_xp200,EJ-230,200,1200.0,186930273,183749468,3180805,0.0170159971894975,9.26672185146932e-06
EJ230_xp500,EJ-230,500,1200.0,187670150,184459861,3210289,0.017106018192024678,9.807480694885092e-06
EJ230_xp650,EJ-230,650,1200.0,187410849,184223642,3187207,0.017006523459055456,9.832881630580469e-06
