x_mm,baseline_cell,target_cell,target_material,observed_escape,observed_escape_se,predicted_world_y,predicted_world_y_se,predicted_low,predicted_low_scenario,predicted_high,predicted_high_scenario,envelope_width,central_residual,central_residual_paired_se,central_abs_residual_over_se,low_residual,low_residual_paired_se,high_residual,high_residual_paired_se,status
-650,EJ200_xm650,EJ204_xm650,EJ-204,0.26305157743232066,3.20945093294358e-05,0.26327070472004555,3.253402077927102e-05,0.25615775488352477,world_far_x,0.26327070472004555,world_y_30mm,0.007112949836520777,-0.0002191272877248851,4.214421359461517e-05,5.19946320110914,0.0068938225487958915,4.2226910323421826e-05,-0.0002191272877248851,4.214421359461517e-05,PASS
-650,EJ200_xm650,EJ230_xm650,EJ-230,0.2632247150178266,3.4323740081785674e-05,0.26356982193604367,3.256340243390062e-05,0.25347423433440863,world_far_x,0.26356982193604367,world_y_30mm,0.010095587601635037,-0.00034510691821704187,4.586873725456025e-05,7.52379373998859,0.009750480683417995,4.576146158729389e-05,-0.00034510691821704187,4.586873725456025e-05,PASS
-500,EJ200_xm500,EJ204_xm500,EJ-204,0.25702876190090224,3.213525539791467e-05,0.2572452103772693,3.253932612645643e-05,0.2526638547884648,world_far_x,0.2572452103772693,world_y_30mm,0.004581355588804459,-0.00021644847636703712,4.471642974200471e-05,4.840468651362715,0.004364907112437422,4.4638205517796644e-05,-0.00021644847636703712,4.471642974200471e-05,PASS
-500,EJ200_xm500,EJ230_xm500,EJ-230,0.2573075534688619,3.4434579391103856e-05,0.2575936861380741,3.256486314926062e-05,0.2508823295970744,world_far_x,0.2575936861380741,world_y_30mm,0.006711356540999691,-0.00028613266921218017,4.5075251101261005e-05,6.347888524667042,0.006425223871787511,4.4962969598817306e-05,-0.00028613266921218017,4.5075251101261005e-05,PASS
-200,EJ200_xm200,EJ204_xm200,EJ-204,0.25662547345124803,3.0014766266725108e-05,0.2568347986471443,3.137135315939053e-05,0.25346160072253543,world_far_x,0.2568347986471443,world_y_30mm,0.003373197924608884,-0.00020932519589628162,4.158484994377822e-05,5.033688859747831,0.0031638727287126023,4.1623850880037535e-05,-0.00020932519589628162,4.158484994377822e-05,PASS
-200,EJ200_xm200,EJ230_xm200,EJ-230,0.2568583933564215,3.159000595847011e-05,0.2571908585760359,3.13947028037777e-05,0.2520952522730238,world_far_x,0.2571908585760359,world_y_30mm,0.00509560630301209,-0.00033246521961438624,4.356386829925843e-05,7.631673508205093,0.004763141083397704,4.364579425759328e-05,-0.00033246521961438624,4.356386829925843e-05,PASS
0,EJ200_xp0,EJ204_xp0,EJ-204,0.2569143528671191,3.011106799328965e-05,0.257070604332436,3.130696697322878e-05,0.2544408309279516,world_near_x,0.257070604332436,world_y_30mm,0.0026297734044843923,-0.00015625146531689227,4.1350402766604243e-05,3.778716889381435,0.0024735219391675,4.126340494716262e-05,-0.00015625146531689227,4.1350402766604243e-05,PASS
0,EJ200_xp0,EJ230_xp0,EJ-230,0.2570995020724978,3.308348283676788e-05,0.2574269413622198,3.13355484641142e-05,0.2533807125537061,world_near_x,0.2574269413622198,world_y_30mm,0.0040462288085136855,-0.0003274392897219536,4.5330620330899646e-05,7.2233577950565655,0.003718789518791732,4.512907522342892e-05,-0.0003274392897219536,4.5330620330899646e-05,PASS
200,EJ200_xp200,EJ204_xp200,EJ-204,0.25658881117702614,3.0204083889895238e-05,0.25680631829912415,3.1211128391410605e-05,0.2534369951285793,world_far_x,0.25680631829912415,world_y_30mm,0.0033693231705448357,-0.00021750712209800405,4.2405833180356025e-05,5.129179308255203,0.0031518160484468316,4.219409197832549e-05,-0.00021750712209800405,4.2405833180356025e-05,PASS
200,EJ200_xp200,EJ230_xp200,EJ-230,0.2569033886944369,3.2044524549977646e-05,0.2571624544022162,3.1243020522106914e-05,0.2520721275143346,world_far_x,0.2571624544022162,world_y_30mm,0.00509032688788158,-0.0002590657077792824,4.5606519929947305e-05,5.680453325033645,0.0048312611801022975,4.559308620859054e-05,-0.0002590657077792824,4.5606519929947305e-05,PASS
500,EJ200_xp500,EJ204_xp500,EJ-204,0.2570307665154506,3.1494356931760895e-05,0.2572276287375488,3.3388587569338466e-05,0.25265176413139134,world_far_x,0.2572276287375488,world_y_30mm,0.004575864606157443,-0.00019686222209819304,4.40881711822651e-05,4.465193652155452,0.00437900238405925,4.366621628685529e-05,-0.00019686222209819304,4.40881711822651e-05,PASS
500,EJ200_xp500,EJ230_xp500,EJ-230,0.25725508380384177,3.350902525100689e-05,0.2575762743733748,3.341010618124132e-05,0.2508726465715679,world_far_x,0.2575762743733748,world_y_30mm,0.006703627801806944,-0.0003211905695330586,4.7264357813184294e-05,6.795619032899737,0.006382437232273885,4.697923406455754e-05,-0.0003211905695330586,4.7264357813184294e-05,PASS
650,EJ200_xp650,EJ204_xp650,EJ-204,0.26309471456232686,3.215911197202283e-05,0.2632451168524862,3.004863864256702e-05,0.2561324066695722,world_far_x,0.2632451168524862,world_y_30mm,0.007112710182913984,-0.00015040229015933493,4.032568283684486e-05,3.7296898546728396,0.006962307892754649,4.059795260084114e-05,-0.00015040229015933493,4.032568283684486e-05,PASS
650,EJ200_xp650,EJ230_xp650,EJ-230,0.26324082768920615,3.2937002156180846e-05,0.26354391978513547,3.007208163782036e-05,0.25344917854036025,world_far_x,0.26354391978513547,world_y_30mm,0.010094741244775218,-0.00030309209592932485,4.444701392802925e-05,6.819177918681021,0.009791649148845893,4.476484181375139e-05,-0.00030309209592932485,4.444701392802925e-05,PASS
