event_id,opsc-101_world_y_30mm_numerator,opsc-101_world_y_30mm_denominator,opsc-101_world_near_x_numerator,opsc-101_world_near_x_denominator,opsc-101_world_far_x_numerator,opsc-101_world_far_x_denominator,opsc-106_world_y_30mm_numerator,opsc-106_world_y_30mm_denominator,opsc-106_world_near_x_numerator,opsc-106_world_near_x_denominator,opsc-106_world_far_x_numerator,opsc-106_world_far_x_denominator
0,4106.025387871527,15955.484990959567,4080.8712410184744,15900.696926526023,3962.673407734978,15669.057730540688,4096.315861932762,15896.455367454471,4057.691458729234,15813.617693154025,3897.275569744368,15514.61833031607
1,6500.214795352282,25259.565372411715,6459.68432062639,25170.37868399828,6269.2972354199355,24798.167389316197,6484.89357440416,25167.587966602732,6422.661140327424,25032.9483968408,6164.325053600743,24554.59863792501
2,3879.104007971214,15078.862142532102,3856.3451898029034,15026.319836700784,3749.3700392213923,14811.129842308803,3870.0112508925117,15022.881946071224,3835.0636550463864,14943.939291026014,3689.8497205697718,14667.863308637287
3,4830.250196744943,18452.175396032922,4799.792037308916,18385.079150087528,4656.678305227888,18105.929347763467,4818.952698501857,18383.04322391487,4772.184235513975,18282.039705321084,4577.958729269968,17922.884184734543
4,3988.5710670436843,15796.336354887544,3963.055164431594,15742.412998674443,3843.2808417677506,15519.799164323327,3979.1736208909065,15736.846654768884,3939.998516183459,15655.734722066278,3777.5481039290735,15369.505487746215
5,5152.772217429901,19815.034474296244,5120.701514702196,19744.030639923658,4970.098519523373,19453.35762271572,5140.629971249028,19740.576079958526,5091.3888113480125,19633.888370659362,4887.075190849492,19261.527937208026
6,6382.773298353709,24583.22453300698,6344.469035929732,24496.148573371618,6164.468999823848,24135.89569638749,6367.77134844689,24492.934674105785,6308.954379994568,24361.9122777245,6064.654501262359,23898.735647440277
7,5246.798399443911,20259.748252174315,5211.903658639338,20182.157659192762,5048.117603169387,19861.359419643704,5234.100115381106,20183.950911769716,5180.525958424407,20066.996497175318,4958.395746005228,19656.278535673995
8,4190.7145718397915,16333.7952651499,4165.819458455709,16279.665845665922,4048.833927481225,16059.591829736552,4180.827360894205,16273.503980322628,4142.600514588148,16192.515613039974,3983.825884619757,15910.190228614343
9,3818.8787275102454,15043.023824493042,3792.453943813095,14989.92360075916,3668.423369005656,14762.376591034566,3809.658291731973,14987.594289316074,3769.088137282746,14907.079465633495,3600.8743263728866,14611.932885669976
10,4049.993715389235,15751.879312870125,4024.257190652752,15695.645523002924,3903.3885171172155,15457.80560107527,4040.2666488714153,15692.671039854611,4000.750453814825,15607.641162050044,3836.76956103996,15300.164949624132
11,6872.560308600002,26423.62801357591,6829.590859327731,26327.5976609748,6627.540435594112,25932.52740453202,6856.292811326162,26325.43928578584,6790.307486884887,26181.14080456971,6515.968408590369,25673.990225269823
12,3928.89203256378,15294.393904058807,3903.644685919001,15239.06120599538,3785.037651558012,15009.09769478578,3919.677916924625,15238.058425077932,3880.9114902501265,15154.63127002812,3719.965875108328,14858.874609051323
13,3918.029292531883,15479.343415585236,3893.722393528696,15425.915832473165,3779.549584670534,15200.341432587324,3908.8935069015115,15421.924516846635,3871.5717038219545,15341.115721393062,3716.658148881704,15050.207394354577
14,5774.1524548304205,22003.460419599953,5736.973550583777,21922.841725010956,5562.2254667608395,21588.817149349026,5760.511391092909,21923.493712712632,5703.421077842604,21802.246495870655,5466.216071129206,21372.204926512717
15,4541.10990242755,17924.135112902688,4512.158478809182,17857.80848585609,4376.070989755002,17583.919738347522,4530.305090148493,17858.110456081027,4485.848097787132,17758.135782029924,4301.114801953829,17407.698744035162
16,4646.634196904754,18091.983859091,4616.4779392387845,18023.885386598646,4474.947526138713,17745.06715719105,4635.5573434599155,18024.326028487165,4589.258804846819,17921.941830458076,4397.323443720858,17565.46980312385
17,5231.218308868267,20409.516781351136,5197.723340396337,20338.30811670124,5040.656211536941,20039.404883424268,5218.759720598295,20333.729360131667,5167.340343201608,20226.11656531041,4954.452014312642,19841.197038844595
18,4010.301977755912,15468.769706207842,3983.538361230747,15408.68104416831,3857.8675568399935,15162.29247733836,4000.751033152096,15412.046903864888,3959.6587549843953,15321.68333745722,3789.1771440540274,15006.647523992624
19,4464.8806044427565,17338.87286716221,4437.997462270834,17279.062053699756,4311.752429279189,17029.1353142521,4454.51556745168,17275.006503428267,4413.239252082649,17184.822175934347,4241.9683210044,16862.631620706812
20,3946.682446625253,15046.455927865523,3921.47750368582,14992.311285954158,3802.9461480864934,14765.404190038513,3937.348796124207,14990.311101789117,3898.642698325688,14908.52920808105,3737.694484154185,14616.150294863684
21,5587.125053353286,21302.37809476315,5552.475495975158,21227.62434502113,5389.7834851029575,20914.72808740881,5574.0401369405345,21223.461079349952,5520.840242277531,21110.65533117279,5300.144215556099,20706.999824432525
22,4752.98072839797,18243.183975932337,4722.466130679325,18176.782826732015,4578.9360722124975,17897.69192243611,4741.530358344532,18175.262710097322,4694.669408523055,18075.018018883133,4499.749039487206,17714.558723326696
23,5862.248989561719,23041.418070566673,5828.248800263347,22959.08121388703,5668.523740920354,22626.425808267548,5848.662328733733,22955.791620889253,5796.456286792369,22832.296224736758,5579.714638250427,22408.59682189893
24,5891.6323153720805,22884.620987475966,5852.5927630033975,22799.28212454983,5669.054759013815,22443.711925048607,5877.69410476362,22800.946000159427,5817.7450217931555,22672.246616593504,5568.566984767002,22214.791184332593
25,5911.2420519412335,22868.883009717163,5874.204147568555,22786.170859330356,5700.465931565059,22444.930258218465,5897.0816004356775,22783.03159327221,5840.221195234364,22658.49188303468,5604.68446449078,22221.06269468785
26,4180.786361412842,16221.023080461478,4154.941509846426,16156.712292850681,4033.696398474038,15902.89059297102,4170.94008303287,16161.261252392731,4131.2627176783835,16065.486016089308,3966.8824175855316,15743.208506794206
27,4337.318041169091,17073.607445640544,4309.8265862197595,17013.941075722967,4180.759898489531,16767.456712829135,4327.203354415453,17010.70490565328,4284.994377779035,16920.853870924442,4109.925908313838,16604.47527051583
28,4170.829928895326,16254.370768047684,4143.816147058976,16199.720287628881,4016.952932125837,15971.35006848498,4161.008365976901,16194.686010953385,4119.5312454401,16112.228746173905,3947.4193550097652,15817.628904762863
29,4824.137565541072,18972.393754837318,4793.906536870933,18903.130228734426,4651.959850315115,18618.77274717007,4812.77620811101,18901.84449670298,4766.360326721994,18797.613073339297,4573.805456103778,18433.69812176645
30,4314.3658314861805,17004.501982610876,4287.405087748781,16945.046074855614,4160.669099399376,16703.325663437878,4304.2785192085685,16941.364682639043,4262.878184264974,16852.138381150333,4090.83213039678,16542.8904493302
31,4983.666928067401,19045.135186810185,4954.40499473319,18977.59072376914,4816.998423855381,18700.15872061704,4972.035893415289,18973.34798604277,4927.107539053683,18871.710224641443,4740.702860495847,18517.245288889826
32,4333.559000449549,16480.573027112936,4304.61649071586,16420.172522780405,4168.556420966354,16168.35528794047,4323.012080596787,16418.422945459697,4278.568195606546,16327.410675709352,4093.8606484102975,16003.155195630832
33,5085.77027313834,19405.661126101553,5053.066810747805,19333.736672178733,4899.41880170398,19036.0454840811,5073.627237224113,19334.747712127155,5023.411736460831,19226.41047831381,4814.902532172197,18844.32477194012
34,3911.784237233134,15503.143523318782,3886.8360381414473,15448.095079371873,3769.7289997725848,15222.898020077451,3902.508943940544,15446.138548847295,3864.2054979189165,15363.290037281427,3705.3766122920174,15075.821902330663
35,6238.503424345092,24423.39876084985,6200.26632600729,24332.760536194368,6020.8681144160555,23962.45966043451,6223.918784090311,24328.35925309392,6165.215989800411,24192.01609949897,5921.978269583485,23720.0509462979
36,3958.270456378673,15625.472159893226,3932.4942404568756,15569.128134101034,3811.2781782878,15336.771991205303,3948.7018726664364,15567.366031461579,3909.1185825565112,15482.553978444392,3744.5257993085224,15184.390309384913
37,4952.4674017609095,18872.30695249791,4922.619516882103,18806.67448331409,4782.539615620007,18535.90326276587,4940.723091175208,18801.059191027147,4894.8980607572885,18702.31007054322,4704.935051939861,18354.51959838834
38,4909.108598154499,19033.593223147025,4879.768671659095,18968.064660874188,4742.005872677878,18694.758583700113,4897.7297478484,18963.395095885182,4852.682001676044,18864.542798541304,4665.803873234549,18512.99248609882
39,5806.774181881198,22879.906616136937,5770.174594523351,22799.453373355303,5598.216638828938,22463.24810021315,5792.917611434287,22794.39190674715,5736.719470279528,22672.980826520532,5503.359238599207,22240.02061361939
40,7421.648087249792,28732.55784080662,7376.8001735182315,28635.186057830924,7166.010011517028,28228.97633436456,7404.2858265874775,28626.684952739804,7335.419378233213,28479.811753720158,7049.297132968256,27956.857839124477
41,3808.665778859711,14940.301971410778,3783.029974300369,14883.769917833897,3662.7426049748883,14656.864719589003,3799.893733397248,14885.210160554756,3760.536390616327,14800.837369842118,3597.43587185597,14510.493001824376
42,4506.817239045889,17397.948134794075,4478.013114198629,17336.235621017036,4342.600537265129,17082.358756648864,4495.846042226268,17332.668481158165,4451.614590684161,17240.137889715337,4267.78133604034,16913.337384660423
43,5578.024630820135,21176.051288545397,5544.252702635738,21099.436771136483,5385.693924306047,20782.908043843017,5564.882652269238,21098.587070603167,5513.03066987954,20983.287783123415,5297.954416243601,20576.97060733697
44,4255.501527262069,16665.271116607048,4229.158010042282,16604.79636698836,4105.416947636762,16356.708106770555,4245.492328250207,16602.908754644082,4205.043396596018,16512.053753562523,4037.143312081773,16193.657571646489
45,3867.1251560523137,15179.46697009415,3843.8238438249973,15121.56319592533,3734.4008572129146,14885.78395519028,3858.0444522897133,15122.307284681909,3822.26772090786,15035.24468626407,3673.8201779729097,14735.052031234294
46,4379.012784474668,16863.016964947703,4353.554066591228,16806.341172412052,4234.182188368535,16567.296777176525,4368.723908291728,16800.40124913964,4329.641671937141,16714.663430420544,4167.856325727213,16406.775523584238
47,4562.182035585841,17533.604486568067,4532.74340272727,17471.51588275164,4394.554423786545,17212.558413239305,4551.417998123624,17469.004512613028,4506.220128435502,17375.471197056857,4318.796329421845,17041.971969316146
48,4636.687129665851,18180.64535537214,4607.332763873284,18118.598182716967,4469.59208145426,17863.379524788874,4625.640683507459,18114.00518805495,4580.574240914012,18020.744467681674,4393.803069988376,17692.921309097146
49,5224.436834710004,20325.135196819072,5191.740705861835,20253.68481514316,5038.108836090641,19955.15700025494,5212.102621992876,20251.144568858068,5161.897624819938,20143.275552833347,4953.396777768053,19759.493422233285
50,3777.477717078939,14833.728368133137,3753.3001317114085,14779.921492521182,3639.7386738635055,14559.47634698102,3768.5987680934054,14776.942852657285,3731.475700842894,14696.080555754326,3577.3937566898862,14413.497237321853
51,4064.2363572041545,15500.036658859577,4038.3672650133367,15443.416557038954,3916.8997751926627,15211.135250514923,4054.6476385047868,15443.141155591498,4014.9289097105593,15358.148000696106,3850.1519355679693,15060.180029549883
52,4330.589533451799,16552.66578811304,4305.0669938985875,16494.14969407976,4185.047961142113,16253.749517372938,4320.629445509691,16491.23660529025,4281.435890541937,16403.22748321039,4118.4711937934235,16095.287459930396
53,4597.7792877326665,17413.86072880142,4567.562661470704,17348.370698199364,4425.945209804992,17081.022966879817,4586.785687991576,17349.955881531165,4540.401953770524,17251.612200383104,4348.5207007138115,16909.199585463914
54,4534.929668163125,17401.187195136987,4505.668268887727,17332.34414405584,4368.114089623882,17053.56598765218,4524.022035118635,17335.33847631458,4479.088683295903,17232.330378985258,4292.356060028665,16875.803788214464
55,4608.079491760123,17677.164371129085,4578.673522070791,17611.38684225894,4440.540553370476,17341.719975686843,4597.25655495908,17610.767959833054,4552.105142158074,17511.92804233072,4364.671109234369,17166.126048195238
56,4127.482477923553,16263.634549029153,4102.825023783758,16207.645341876212,3986.981664908456,15973.442159568714,4118.033247849143,16203.274298276227,4080.1723399218095,16118.690255257548,3922.968388494288,15817.923027451976
57,4724.240404177761,18163.150646644437,4693.155102981392,18094.00094164433,4547.000971948343,17813.573372270384,4712.938393497013,18097.77134709303,4665.203293290393,17994.107468447026,4466.773291109741,17635.810105613924
58,4515.541567496954,17629.98062336943,4487.453866410842,17568.264156192683,4355.535389075892,17314.45795546167,4504.983051591748,17564.653414859382,4461.85659435854,17472.03791710856,4282.875174975762,17145.52362066073
59,4060.037962199245,15702.968669838272,4032.2208616687903,15645.338934798174,3901.415421912374,15404.705575654283,4050.3359829320416,15645.4263580604,4007.618937757548,15558.428957407428,3830.0114604943815,15248.75663588508
60,4285.542931212343,16683.29643672002,4259.280208497752,16625.673803395694,4135.972332988366,16384.87098811411,4275.556938327681,16621.967124862946,4235.234135584952,16535.00374300342,4067.9677569762175,16224.975075657394
