event_id,opsc-101_world_y_30mm_numerator,opsc-101_world_y_30mm_denominator,opsc-101_world_near_x_numerator,opsc-101_world_near_x_denominator,opsc-101_world_far_x_numerator,opsc-101_world_far_x_denominator,opsc-106_world_y_30mm_numerator,opsc-106_world_y_30mm_denominator,opsc-106_world_near_x_numerator,opsc-106_world_near_x_denominator,opsc-106_world_far_x_numerator,opsc-106_world_far_x_denominator
0,4092.928758553751,15675.298804476048,4000.219324792375,15476.64330617941,4000.219324792375,15476.64330617941,4083.1641571610658,15617.327752207804,3948.1069907265587,15339.93957643502,3948.1069907265587,15339.93957643502
1,3938.767712963249,15626.831903630926,3852.856576721395,15432.049827549074,3852.856576721395,15432.049827549074,3929.482742695912,15568.245035309666,3804.33966449275,15296.368789483118,3804.33966449275,15296.368789483118
2,4176.477046775449,16320.276497977624,4076.607945410754,16112.463855908483,4076.607945410754,16112.463855908483,4166.454597466569,16259.556342477572,4020.9527662762594,15968.105024902039,4020.9527662762594,15968.105024902039
3,4801.325532251432,18560.540998854663,4700.609263564518,18344.498036635432,4700.609263564518,18344.498036635432,4790.071298214929,18493.030255422243,4643.385828624959,18190.80904027712,4643.385828624959,18190.80904027712
4,3905.582850802219,15378.205017359875,3811.3710881962047,15186.894379148061,3811.3710881962047,15186.894379148061,3896.192765572968,15320.266118464757,3758.9100923977167,15053.151953027718,3758.9100923977167,15053.151953027718
5,4029.926845817185,15736.647839889727,3946.503204434405,15552.244477751869,3946.503204434405,15552.244477751869,4020.73172915131,15677.788284757531,3899.2454668060545,15421.070447988204,3899.2454668060545,15421.070447988204
6,4680.646232664836,18252.615471368754,4578.814442778144,18037.95154560855,4578.814442778144,18037.95154560855,4669.575962983356,18184.227859220497,4521.236010165039,17884.22423266751,4521.236010165039,17884.22423266751
7,6684.139815385908,26214.98097152539,6532.96265868395,25911.89249914107,6532.96265868395,25911.89249914107,6668.204572533281,26118.538145334012,6448.00727778768,25692.71821808608,6448.00727778768,25692.71821808608
8,4876.663729675619,18729.2836503526,4778.932838582593,18511.015487439952,4778.932838582593,18511.015487439952,4865.6014061848955,18660.0855711266,4723.201248087991,18355.620148785296,4723.201248087991,18355.620148785296
9,3912.663845481106,15488.02583495653,3824.84959159972,15308.07440007168,3824.84959159972,15308.07440007168,3903.3198585738073,15430.379207592643,3775.415015029333,15177.089738409511,3775.415015029333,15177.089738409511
10,7606.284178567095,29722.358134966416,7431.648395438411,29359.126340073697,7431.648395438411,29359.126340073697,7588.143302775642,29608.945254148595,7333.678876749027,29097.640057703447,7333.678876749027,29097.640057703447
11,4634.879010942761,17914.01154924585,4530.06683758398,17700.632737476513,4530.06683758398,17700.632737476513,4623.941591690259,17847.587610634324,4471.256782587812,17548.01409794638,4471.256782587812,17548.01409794638
12,4445.806096170146,16987.717849239656,4344.2445508703895,16776.699441933284,4344.2445508703895,16776.699441933284,4435.398682073884,16925.465782132836,4287.471371182078,16629.11325906246,4287.471371182078,16629.11325906246
13,3962.0214831691137,15293.577636790056,3877.7892534174093,15117.463732323044,3877.7892534174093,15117.463732323044,3952.880644038329,15237.141213631261,3830.1443358993974,14988.879828874216,3830.1443358993974,14988.879828874216
