x_mm,END_L,END_R,TOP
-690,902.8038,0.065,85.8606
-670,229.7802,0.0702,107.9994
-650,98.4026,0.0716,116.2932
-600,26.2236,0.0762,122.187
-550,11.4794,0.08,123.3186
-500,6.2746,0.0928,124.3106
-450,3.8458,0.1076,123.4828
-400,2.6522,0.1222,124.5644
-350,1.8744,0.1182,124.5912
-300,1.4556,0.1602,125.6208
-250,1.0438,0.1732,124.6884
-200,0.8324,0.199,124.726
-150,0.6606,0.2354,125.052
-100,0.5396,0.2698,125.3152
-50,0.4368,0.3126,124.0486
0,0.374,0.378,116.9366
50,0.3264,0.4328,124.1086
100,0.2646,0.5454,125.3332
150,0.2202,0.6738,124.2208
200,0.1976,0.8442,124.8378
250,0.1706,1.0482,124.5136
300,0.1512,1.3896,125.105
350,0.1382,1.846,124.2044
400,0.1234,2.616,125.3794
450,0.1102,3.887,124.817
500,0.0944,6.289,124.2822
550,0.0828,11.5188,123.9062
600,0.074,26.0192,121.6958
650,0.063,97.2374,115.5938
670,0.0632,227.6448,107.07
690,0.0652,905.1952,86.1144
