x_mm,mean_dt_ns,std_dt_ns,sigma_x_mm,n
-690,-9.52721226787722,1.7589826614398036,132.10250068202194,176
-670,-9.249184070505848,1.7563892974159194,131.9077347640603,187
-650,-9.003050198303296,1.804220619199688,135.4999459649315,189
-600,-8.0813289474181,1.5804999561868704,118.69815497169805,200
-550,-7.269754066313666,1.832171003161612,137.5990659263361,202
-500,-6.234410260076031,2.382153196177216,178.90363624454108,227
-450,-5.6977485918929975,2.351633332578068,176.6115441220289,248
-400,-4.766414151293288,2.149820815923372,161.45509107479126,224
-350,-4.246105003580461,2.4788351000692663,186.16460677871586,197
-300,-3.747161525666257,2.4727100457333298,185.70460509005332,210
-250,-3.0874863861399198,2.7210157113700246,204.35277035239403,171
-200,-1.9132276265101906,2.4151195415206943,181.379463183424,158
-150,-1.8112969379111161,2.518396148653076,189.135706814032,181
-100,-1.333317460458693,2.8760532002184633,215.99634161964883,153
-50,-0.6201834425068662,2.7072480074495138,203.31879306744432,152
0,-0.07228771171258204,2.5950860007161207,194.89524126343352,160
50,0.6092192277012651,2.5292348015126302,189.9497075305595,145
100,1.4282317019154505,2.842497950038321,213.4762869556766,140
150,1.904084401508297,2.269098364925089,170.41303184576594,172
200,2.4029476059432544,2.215343047981891,166.37591883219113,190
250,2.9042988750182874,2.9786723925382654,223.7032123129158,172
300,3.5673943275422353,2.3583440060372647,177.11552677328186,204
350,4.144407914001996,2.2380222293648395,168.07916278097247,218
400,4.859678105682859,2.388827044981844,179.40485330346505,238
450,5.700902894195871,2.503552560970458,188.02092888304225,236
500,6.696645163261684,2.4541337527241156,184.30949482904,231
550,7.575974449816009,2.0965069815134783,157.45113412803585,224
600,8.51026109996976,2.3273282033683462,174.7861888081933,206
650,8.917585837880814,2.085899318018009,156.65448109394748,163
670,9.273946014691678,1.7803211210954788,133.7050542165234,168
690,9.527637100295454,1.8419263118831501,138.33170571028114,168
