x_mm,sigma_end_ps,sigma_endtop_nonpond_ps,ratio_nonpond,sigma_endtop_pond_ps,ratio_pond
-690,608.6607940720421,294.7232348626753,0.48421590109480817,81.25266610333301,0.13349416767874786
-670,541.1702189323933,272.02414628347145,0.5026591204891387,78.41672807561888,0.1449021496975894
-650,695.3907244050592,308.9094047977452,0.4442242238160889,70.54518199420079,0.10144682624945227
-600,669.1685000833395,296.3019809264328,0.4427912863345044,82.62781414063545,0.12347833786310149
-550,611.4431345356775,310.98698973797786,0.5086114671548936,75.92008312297007,0.12416540285569297
-500,519.8635511356654,289.34711783846126,0.5565828133293234,62.85174880691358,0.12090047219046439
-450,549.7800051485643,306.89354894576525,0.5582115502051315,74.01326845836226,0.13462342712584105
-400,758.3310337333361,371.42057922930655,0.4897868644525433,74.6420198883167,0.0984293356963738
-350,729.7136259821731,369.9484549367745,0.5069775892410324,68.95497800848477,0.09449594409817057
-300,808.9492888054453,388.69357808662676,0.48049189666833203,63.50471322658357,0.07850271222854939
-250,759.9130441813164,360.6651642783756,0.474613729873441,70.49013844626134,0.0927607954436459
-200,810.497393964301,385.94864151298884,0.4761873935525427,79.37701781318866,0.09793617894925012
-150,744.6964556340869,358.2584003945512,0.4810797710719663,70.35333977008713,0.09447250519029711
-100,1025.8620055451127,509.18402592257905,0.49634748452547844,65.60740493282586,0.06395344069494417
-50,773.3566756701101,417.4372373274509,0.539773238481123,71.83053771043546,0.09288151246408344
0,882.4754392154288,520.1551903357789,0.589427384855296,74.14643331196483,0.08402095969705996
50,791.6348874466828,372.33043297914236,0.4703310059768167,64.92714167727648,0.08201652391380916
100,908.166781396745,475.73329514214504,0.5238391283267103,73.48729765210875,0.08091828412737861
150,785.3812328237929,406.71541885019906,0.5178573180159618,78.30158845811006,0.09969882801576659
200,825.7649203511249,461.97960522355334,0.5594565642569488,68.63032709655182,0.08311121652802762
250,898.7108458561803,457.25321792894994,0.508787915531759,69.56213562885956,0.07740213212024763
300,703.5364764382533,356.15044784973674,0.5062288307392327,74.95077358647052,0.10653431072389984
350,685.3956928821002,364.8856018457252,0.5323721838860341,67.27129193590837,0.09814956912412372
400,520.8183873950547,273.9300897946737,0.525960865484748,78.41675206224858,0.150564484588305
450,641.5189456120705,337.41373151910074,0.5259606654284789,64.14905584866834,0.09999557501371062
500,738.031630768688,342.9660858480173,0.4647037763013017,77.70045367398667,0.10528065523839228
550,586.9529726986269,308.7770955197501,0.5260678621322747,68.31959447779977,0.11639704994369064
600,693.2466326185876,310.12174189640956,0.44734691422155565,79.73988173628042,0.1150238284390657
650,518.3361200752987,280.6443505560345,0.5414331351542031,79.01710429469249,0.1524437546108376
670,581.0865816816763,320.10696776572377,0.5508765438006291,80.59804702052365,0.13870230282597695
690,660.1285017361881,263.99753323696916,0.39991839852791633,72.17728582778489,0.10933823587067236
