estimator,x_mm,sigma_ps,boot_ps,flag
END_L_SUM4,-690,31.64004670192519,20.707237156727064,ok
END_L_SUM4,-670,59.176774859090244,1.323955526712749,ok
END_L_SUM4,-650,98.59707987914138,2.370447661421726,ok
END_L_SUM4,-600,214.91844702792122,5.545065918038504,ok
END_L_SUM4,-550,340.611496450543,8.754341469582688,ok
END_L_SUM4,-500,338.5793126157601,14.821752564009396,ok
END_L_SUM4,-450,670.4239681837805,27.985291394078114,ok
END_L_SUM4,-400,756.2083328779604,32.946152120255825,ok
END_L_SUM4,-350,842.2132973718406,41.28750129361104,ok
END_L_SUM4,-300,694.8748779708578,54.45543087898273,ok
END_L_SUM4,-250,825.3169571321145,50.21573367444778,ok
END_L_SUM4,-200,1053.0583138380225,68.64317163265444,ok
END_L_SUM4,-150,955.3953873905941,70.4418249900387,ok
END_L_SUM4,-100,933.4861444304023,70.47628937306285,ok
END_L_SUM4,-50,1073.8587334077574,90.05441378021007,ok
END_L_SUM4,0,944.1772631926475,94.5665491554007,ok
END_L_SUM4,50,1066.3720502848441,167.29583571296445,ok
END_L_SUM4,100,906.8127930065144,86.26281256492813,ok
END_L_SUM4,150,1091.289646629132,105.3609492852433,ok
END_L_SUM4,200,1272.1892577677722,263.7323909157691,ok
END_L_SUM4,250,1020.1110201131864,202.58418620547596,ok
END_L_SUM4,300,1065.5820046255146,127.7821991678536,ok
END_L_SUM4,350,1062.1131821507374,130.83657861982337,ok
END_L_SUM4,400,1048.8930442572912,142.88027019549403,ok
END_L_SUM4,450,1227.4785427632767,258.35455870906185,ok
END_L_SUM4,500,1603.1878725803497,314.03660565813965,ok
END_L_SUM4,550,1161.7937145929454,220.66209895613974,ok
END_L_SUM4,600,2143.9443400023642,535.5051080119788,ok|sigma_out_of_full_band
END_L_SUM4,650,1250.7655898300734,643.7439853207397,ok
END_L_SUM4,670,1215.0912623788954,216.94990260144488,ok
END_L_SUM4,690,1395.469618886803,423.8511078023173,ok
END_R_SUM4,-690,1188.0542584482002,163.4804719963892,ok
END_R_SUM4,-670,1190.9299665006317,207.01352159752307,ok
END_R_SUM4,-650,1514.6509395170367,265.18504235956544,ok
END_R_SUM4,-600,1846.1199081666293,956.3142026186625,ok
END_R_SUM4,-550,1569.2919529766373,261.217895552296,ok
END_R_SUM4,-500,1089.176952364979,204.31702737738485,ok
END_R_SUM4,-450,1111.5010125327997,196.64579681575887,ok
END_R_SUM4,-400,1122.5693243637204,134.7911817977307,ok
END_R_SUM4,-350,1100.7069758539376,211.73805199280073,ok
END_R_SUM4,-300,1220.5112313659706,163.57008733900483,ok
END_R_SUM4,-250,1195.632867142501,114.66743450784834,ok
END_R_SUM4,-200,1110.0351956924248,126.06034148372291,ok
END_R_SUM4,-150,1025.8290188545202,106.04925682603377,ok
