x_mm,npe_endl,npe_endr
-690,902.8038,0.065
-670,229.7802,0.0702
-650,98.4026,0.0716
-600,26.2236,0.0762
-550,11.4794,0.08
-500,6.2746,0.0928
-450,3.8458,0.1076
-400,2.6522,0.1222
-350,1.8744,0.1182
-300,1.4556,0.1602
-250,1.0438,0.1732
-200,0.8324,0.199
-150,0.6606,0.2354
-100,0.5396,0.2698
-50,0.4368,0.3126
0,0.374,0.378
50,0.3264,0.4328
100,0.2646,0.5454
150,0.2202,0.6738
200,0.1976,0.8442
250,0.1706,1.0482
300,0.1512,1.3896
350,0.1382,1.846
400,0.1234,2.616
450,0.1102,3.887
500,0.0944,6.289
550,0.0828,11.5188
600,0.074,26.0192
650,0.063,97.2374
670,0.0632,227.6448
690,0.0652,905.1952
