x_mm,sig_raw_nearest_ps,sig_corr_nearest_ps,sig_raw_sum4_ps,sig_corr_sum4_ps
-690,95.7,98.8,91.1,73.0
-670,120.3,99.0,78.2,62.8
-650,89.3,92.7,68.5,69.4
-600,125.3,103.4,84.7,65.9
-550,118.5,98.8,76.4,70.9
-500,119.9,101.9,68.4,62.5
-450,113.8,96.0,74.0,65.8
-400,125.9,102.9,75.1,63.6
-350,89.9,93.3,68.0,63.0
-300,112.4,100.5,81.6,61.9
-250,117.4,104.9,73.9,67.1
-200,97.8,99.0,71.0,64.1
-150,93.5,97.3,66.0,68.1
-100,98.8,114.2,67.7,64.7
-50,117.7,95.3,74.0,68.0
0,116.8,107.8,85.0,69.2
50,105.9,98.5,72.2,64.8
100,101.9,105.7,81.7,66.2
150,113.3,92.4,67.8,70.0
200,92.8,101.5,65.2,66.0
250,100.3,100.1,67.5,69.1
300,111.4,101.2,76.1,67.2
350,109.2,91.8,75.8,72.0
400,114.9,101.5,75.1,60.6
450,112.0,101.6,62.0,65.2
500,110.4,105.2,68.8,67.6
550,107.7,101.8,72.6,65.8
600,105.5,100.3,78.1,61.4
650,92.3,101.4,65.6,64.2
670,88.7,95.2,65.5,67.4
690,111.3,94.2,84.1,78.2
