x_mm,sig_top_nearest_ps,sig_endl_sum4_ps,sig_endr_sum4_ps
-690,98.8,30.2,1188.1
-670,99.0,51.2,1190.9
-650,92.7,83.2,1514.7
-600,103.4,186.9,1846.1
-550,98.8,355.5,1569.3
-500,101.9,519.8,1089.2
-450,96.0,647.8,1111.5
-400,102.9,818.6,1122.6
-350,93.3,842.2,1100.7
-300,100.5,694.9,1220.5
-250,104.9,825.3,1195.6
-200,99.0,1053.1,1110.0
-150,97.3,955.4,1025.8
-100,114.2,933.5,1319.1
-50,95.3,1073.9,1069.2
0,107.8,944.2,1061.3
50,98.5,1066.4,933.7
100,105.7,906.8,916.8
150,92.4,1091.3,865.1
200,101.5,1272.2,969.0
250,100.1,1020.1,904.8
300,101.2,1065.6,856.0
350,91.8,1062.1,661.7
400,101.5,1048.9,738.5
450,101.6,1227.5,657.0
500,105.2,1603.2,516.2
550,101.8,1161.8,342.6
600,100.3,2143.9,196.9
650,101.4,1250.8,86.1
670,95.2,1215.1,50.0
690,94.2,1395.5,28.3
