x_mm,sig_invvar_ps,sig_gls_ps,diff_ps
-690,0.1,0.1,0.0
-670,0.1,0.1,0.0
-650,0.1,0.1,0.0
-600,0.1,0.1,0.0
-550,0.1,0.1,0.0
-500,0.1,0.1,0.0
-450,0.1,0.1,0.0
-400,0.1,0.1,0.0
-350,0.1,0.1,0.0
-300,0.1,0.1,0.0
-250,0.1,0.1,0.0
-200,0.1,0.1,0.0
-150,0.1,0.1,0.0
-100,0.1,0.1,0.0
-50,0.1,0.1,0.0
0,0.1,0.1,0.0
50,0.1,0.1,0.0
100,0.1,0.1,0.0
150,0.1,0.1,0.0
200,0.1,0.1,0.0
250,0.1,0.1,0.0
300,0.1,0.1,0.0
350,0.1,0.1,0.0
400,0.1,0.1,0.0
450,0.1,0.1,0.0
500,0.1,0.1,0.0
550,0.1,0.1,0.0
600,0.1,0.1,0.0
650,0.1,0.1,0.0
670,0.1,0.1,0.0
690,0.1,0.1,0.0
