x_mm,sigma_END_avg_ps,boot_ps,sigma_dt_ps,dt_mean_ns,npe_L,npe_R,n_valid,sigma_x_mm
-690,609.3712016947497,76.47825634544954,1969.4028174170962,-9.559958315640635,902.8038,0.065,310,144.75234007000626
-670,541.8566996796953,84.61126116069137,1791.9614499122233,-9.222037819568339,229.7802,0.0702,330,131.71028846715606
-650,696.187346514416,103.95995827166361,1783.7860179262564,-9.006399484032984,98.4026,0.0716,341,131.1093890977706
-600,673.7886898468987,85.39197609868891,1561.5786615681893,-8.164993168014615,26.2236,0.0762,350,114.77700928743553
-550,596.0245905643891,71.60719329187575,1763.844725900506,-7.548605488789926,11.4794,0.08,370,129.64369164917426
-500,466.4552888831644,57.56596031584093,2047.0910213177206,-6.858289174625308,6.2746,0.0928,438,150.46247169518585
-450,637.8085537556102,52.42563346739085,1986.3793503792854,-6.12771558486164,3.8458,0.1076,491,146.0001258712754
-400,680.6050101357478,46.19412375349831,2001.8741459567755,-5.1315096730100915,2.6522,0.1222,507,147.13900304709344
-350,619.0332267354548,58.70478351575803,2145.6657501495283,-4.57015044737355,1.8744,0.1182,451,157.70777597929592
-300,782.4490753471798,59.801791733011534,2424.1939873961937,-4.04215175463037,1.4556,0.1602,552,178.1797757959235
-250,759.9130441813164,79.60639802729611,2550.0191516561367,-3.234714135121962,1.0438,0.1732,500,187.42800414476227
-200,810.497393964301,72.75426694166401,2520.476068493916,-2.2532748034531407,0.8324,0.199,507,185.25656903621356
-150,744.6964556340869,67.28919462053274,2535.8668661146494,-1.6831225458156294,0.6606,0.2354,512,186.38780229709963
-100,1025.8620055451127,95.96399983441012,2553.4080646452203,-1.0972706084951058,0.5396,0.2698,465,187.67709137116668
-50,773.3566756701101,77.71744776452341,2302.6554596409956,-0.4828820293557141,0.4368,0.3126,481,169.24661791393072
0,882.4754392154288,101.03180839958543,2692.708503179351,-0.07451030095256386,0.374,0.378,507,197.91576081566302
50,791.6348874466828,61.410924915736906,2451.2126396120407,0.7677231279142703,0.3264,0.4328,504,180.1656636494358
100,908.166781396745,87.23126757363882,2600.8957469768898,1.1365112852261987,0.2646,0.5454,482,191.1674657532982
150,785.3812328237929,72.00340702828447,2239.368933644056,1.8597978641549375,0.2202,0.6738,497,164.59501863117308
200,825.7649203511249,80.26554200520185,2411.679734058237,2.362784470991055,0.1976,0.8442,518,177.25997034074808
250,898.7108458561803,135.8715716788141,2533.680778233574,2.9135975762087893,0.1706,1.0482,494,186.2271234691901
300,644.6468930697022,50.16065700707714,2128.934091437249,3.6963084598090936,0.1512,1.3896,509,156.4779885887043
350,660.531120174669,38.46053676180329,2161.7188296240406,4.460340566147056,0.1382,1.846,512,158.88768737107154
400,526.5603676737235,52.08571300672407,2078.777767467302,5.3874362301901515,0.1234,2.616,513,152.79146737539503
450,605.4252449150583,43.020816706173086,2070.4991597670555,6.008978549426103,0.1102,3.887,503,152.1829845264145
500,546.2195731711927,73.18905731408157,2029.2290896880925,7.033770635092267,0.0944,6.289,441,149.1496085375358
550,598.9072180435647,65.13777725643435,1954.5222649267896,7.776546499007003,0.0828,11.5188,389,143.6586101456572
600,728.5645456203348,84.41215295870511,2121.852319983939,8.543739497809574,0.074,26.0192,346,155.95747395318043
650,512.7878346469402,86.02704724847472,1825.9827083080393,8.781706214327892,0.063,97.2374,301,134.21087225903847
670,699.9101158751889,150.95420870322488,1804.00163818632,9.264303602360554,0.0632,227.6448,298,132.59524984333848
690,655.9724267415094,124.30185452574848,1760.3300702466177,9.43497978289565,0.0652,905.1952,307,129.38536225818257
