x_mm,sigma_ps,npe_L,npe_R
-100,749.3316000269004,0.9847908745247148,0.5019011406844106
-150,971.7444917511588,1.1812297734627832,0.37216828478964403
-200,916.1673560641972,1.3245901639344262,0.32131147540983607
-250,750.4055472142671,1.5028409090909092,0.21306818181818182
-300,1187.7488987149359,1.751958224543081,0.195822454308094
-350,944.1536249371494,2.2423529411764704,0.18352941176470589
-400,736.660860299903,2.857451403887689,0.14038876889848811
-450,436.4106369011906,3.959349593495935,0.11382113821138211
-500,682.1727451110949,6.370445344129554,0.08502024291497975
-50,1412.7058751960212,0.841897233201581,0.5533596837944664
-550,963.1387693076657,11.302,0.058
-600,647.6810441979734,26.084,0.056
-650,nan,98.5,0.038
-670,1009.8920153378266,231.192,0.094
-690,533.4498672554399,909.426,0.052
0,1678.3174898559112,0.7379032258064516,0.7137096774193549
100,929.820887104026,0.5035460992907801,1.0425531914893618
150,1013.5493951479307,0.39590443686006827,1.1706484641638226
200,896.2005806696494,0.31962025316455694,1.3734177215189873
250,951.4846122298935,0.3041095890410959,1.5452054794520549
300,737.6015287777457,0.17346938775510204,1.8724489795918366
350,913.7319007733785,0.19951923076923078,2.1538461538461537
400,1007.4800323603171,0.11135371179039301,2.873362445414847
450,617.6416366796395,0.11958762886597939,3.8268041237113404
500,767.9158768649683,0.10441767068273092,6.136546184738956
50,954.2977018446559,0.5826446280991735,0.8966942148760331
550,521.6311268500358,0.068,11.648
600,622.8089894933661,0.084,25.88
650,640.7096386607665,0.08,98.692
670,370.9893603621777,0.05,230.328
690,786.6999457730419,0.05,909.048
