x_mm,sigma_END_ps,sigma_TOP_ps,sigma_EndTop_ps,improvement_pct
-690,609.4,118.2,100.6,83.5
-670,541.9,99.4,102.1,81.2
-650,696.2,93.8,99.3,85.7
-600,673.8,98.7,123.6,81.7
-550,596.0,100.1,99.2,83.4
-500,466.5,101.9,89.6,80.8
-450,637.8,98.8,99.9,84.3
-400,680.6,103.0,100.3,85.3
-350,619.0,97.3,107.5,82.6
-300,782.4,101.2,90.6,88.4
-250,759.9,99.7,109.5,85.6
-200,810.5,103.4,108.4,86.6
-150,744.7,92.0,95.7,87.1
-100,1025.9,116.6,114.9,88.8
-50,773.4,97.3,100.2,87.0
0,882.5,105.7,122.2,86.2
50,791.6,106.6,96.0,87.9
100,908.2,103.9,134.8,85.2
150,785.4,91.8,89.2,88.6
200,825.8,101.4,116.1,85.9
250,898.7,97.3,113.6,87.4
300,644.6,108.5,93.7,85.5
350,660.5,92.9,108.4,83.6
400,526.6,101.7,107.2,79.6
450,605.4,104.2,104.4,82.7
500,546.2,107.3,111.0,79.7
550,598.9,103.4,92.8,84.5
600,728.6,105.8,94.4,87.0
650,512.8,107.3,127.0,75.2
670,699.9,98.5,120.1,82.8
690,656.0,95.4,99.1,84.9
