x_mm,sigma_END_ps,broken_vs_single,broken_vs_hist
-690,609.4,True,True
-670,541.9,True,True
-650,696.2,True,True
-600,673.8,True,True
-550,596.0,True,True
-500,466.5,True,True
-450,637.8,True,True
-400,680.6,True,True
-350,619.0,True,True
-300,782.4,True,True
-250,759.9,True,True
-200,810.5,True,True
-150,744.7,True,True
-100,1025.9,True,True
-50,773.4,True,True
0,882.5,True,True
50,791.6,True,True
100,908.2,True,True
150,785.4,True,True
200,825.8,True,True
250,898.7,True,True
300,644.6,True,True
350,660.5,True,True
400,526.6,True,True
450,605.4,True,True
500,546.2,True,True
550,598.9,True,True
600,728.6,True,True
650,512.8,True,True
670,699.9,True,True
690,656.0,True,True
