x_mm,npe_L_obs,npe_R_obs,npe_expected_metallic,npe_expected_tir
-690,902.804,0.065,0.042,749
-670,229.780,0.070,0.042,749
-650,98.403,0.072,0.042,749
-600,26.224,0.076,0.042,749
-550,11.479,0.080,0.042,749
-500,6.275,0.093,0.042,749
-450,3.846,0.108,0.042,749
-400,2.652,0.122,0.042,749
-350,1.874,0.118,0.042,749
-300,1.456,0.160,0.042,749
-250,1.044,0.173,0.042,749
-200,0.832,0.199,0.042,749
-150,0.661,0.235,0.042,749
-100,0.540,0.270,0.042,749
-50,0.437,0.313,0.042,749
0,0.374,0.378,0.042,749
50,0.326,0.433,0.042,749
100,0.265,0.545,0.042,749
150,0.220,0.674,0.042,749
200,0.198,0.844,0.042,749
250,0.171,1.048,0.042,749
300,0.151,1.390,0.042,749
350,0.138,1.846,0.042,749
400,0.123,2.616,0.042,749
450,0.110,3.887,0.042,749
500,0.094,6.289,0.042,749
550,0.083,11.519,0.042,749
600,0.074,26.019,0.042,749
650,0.063,97.237,0.042,749
670,0.063,227.645,0.042,749
690,0.065,905.195,0.042,749
