x_mm,npe_L,npe_R,sigma_END_ps,broken,frac_prompt_pct
-150,0.716,0.226,582.4325182452823,True,0.0
-300,1.368,0.166,1413.1183533618448,True,0.0
-450,3.934,0.09,1113.0504370832068,True,6.659888154550077
-600,26.134,0.062,4149.924012863478,True,34.0322950945129
-690,895.616,0.052,456.14864939127796,True,47.51411319136773
0,0.38,0.418,985.1021870742765,True,0.0
150,0.226,0.664,776.2423954619218,True,0.0
300,0.144,1.456,713.2241691044485,True,0.0
450,0.124,3.902,908.3699981180351,True,0.0
600,0.086,25.952,521.7068963547429,True,0.0
690,0.086,879.04,730.9991888568244,True,0.0
