scint,x,k_opt,sig_k_opt,m_opt,sig_m_opt,npe_L,npe_R,n_ev
ej200,-600,7,54.78566119154982,13,47.574509513311234,1765.3212,1016.0834,5000
ej200,-500,14,56.5541244934768,13,50.09287423658813,1668.3812,1065.7662,5000
ej200,-400,19,56.952339489275,26,50.93431216446503,1582.58,1109.1446,5000
ej200,-300,24,62.44656704169529,11,54.03045219160648,1504.9206,1155.9046,5000
ej200,-200,4,61.254599481785405,9,55.48495206492007,1434.172,1204.331,5000
ej200,-100,8,62.49106512611667,12,55.444505584025634,1370.1244,1255.782,5000
ej200,0,58,59.941894455771475,5,54.86183300844386,1310.9194,1310.621,5000
ej200,100,5,61.77596097762234,9,55.13330579292004,1247.5942,1361.0902,5000
ej200,200,5,60.88330008685217,11,53.258124891921426,1202.249,1433.461,5000
ej200,300,26,61.159997813701516,26,55.20210028269786,1155.2768,1503.89,5000
ej200,400,20,59.06824540092994,23,54.15118915148816,1109.4992,1580.716,5000
ej200,500,13,55.13115813531701,13,49.71014145742277,1064.0786,1666.8934,5000
ej200,600,9,55.65217277696934,11,49.4508525412939,1020.0584,1771.3172,5000
ej204,-600,8,59.787316005264586,15,52.16146131991538,1749.7116,553.8024,5000
ej204,-500,11,61.09090430332133,16,53.24309106903061,1536.5292,598.6282,5000
ej204,-400,7,61.324509883519916,6,53.98969807529865,1391.5164,658.8072,5000
ej204,-300,4,59.72737113919798,9,52.07021980861047,1254.7986,718.81,5000
ej204,-200,3,61.16167524995434,7,54.16130724220876,1139.583,786.4214,5000
ej204,-100,2,61.066462406774264,10,54.42312255657675,1037.2002,861.7386,5000
ej204,0,3,59.73664006890576,10,53.3550267716838,940.7898,941.1356,5000
ej204,100,5,60.9834811433559,8,53.37562944077338,859.998,1034.3172,5000
ej204,200,6,59.58342133450763,9,53.30182156577489,782.6442,1134.2652,5000
ej204,300,4,61.284133166626496,12,54.29740101015416,714.4072,1247.6866,5000
ej204,400,4,62.363795862039034,8,54.606524085872834,657.2456,1385.7842,5000
ej204,500,10,60.54720120381919,15,53.667217153945984,597.9458,1532.7968,5000
ej204,600,6,61.377855427759854,15,53.772429234283805,554.1288,1749.7884,5000
ej230,-600,2,61.9580902880421,8,54.504527830515016,1543.2072,351.2434,5000
ej230,-500,2,61.61506382388625,9,54.08051995577649,1324.5022,393.7888,5000
ej230,-400,3,59.935071539052096,7,53.449426120277145,1157.3142,441.5504,5000
ej230,-300,3,58.28727911150683,7,51.09403748528971,1010.657,492.6638,5000
ej230,-200,2,57.886574225948806,12,51.419194048055935,895.327,555.4084,5000
ej230,-100,3,57.507606684340814,5,50.57458418874478,795.5438,626.6438,5000
ej230,0,2,56.03808515730893,7,50.494414534490346,701.3726,701.1906,5000
ej230,100,4,56.346883344710214,6,49.554646621191814,621.9874,789.272,5000
ej230,200,3,57.083543973750764,7,50.34732848096223,555.5258,894.6128,5000
ej230,300,4,58.78386731610575,12,51.26735628067847,492.2594,1009.8138,5000
ej230,400,4,59.391891487666264,8,52.21128224894349,438.8618,1151.4706,5000
ej230,500,2,62.08661744625321,3,54.634841317445854,396.0908,1330.7026,5000
ej230,600,4,60.35449481412786,9,51.73903817774606,353.2714,1549.0234,5000
