x,npe_end_per_face,npe_top_mean,npe_top_median,npe_top_iqr_sigma,d_nearest,d_second,npe_end_hybrid,npe_end_endonly,delta_pe,delta_pct
-600,947.2253,1100.9982,1021.5,160.11860637509267,5.7000000000000455,64.29999999999995,845.786,947.2253,-101.4393,-10.709099514128265
-500,859.1455,1182.203,1093.0,173.46182357301706,24.299999999999955,45.69999999999999,708.8535,859.1455,-150.29199999999992,-17.493195273675987
-400,799.4323,1257.984,1169.0,181.6160118606375,15.600000000000023,54.30000000000001,641.6651,799.4323,-157.7672,-19.734904381521737
-300,751.6604,1320.8418,1223.0,186.80504077094145,14.399999999999977,55.599999999999994,583.9828,751.6604,-167.67759999999998,-22.3076272210163
-200,725.3677,1344.3184,1251.0,197.92438843587843,25.599999999999994,44.400000000000006,544.9388,725.3677,-180.4289,-24.874129355360047
-100,711.0938,1419.3478,1317.0,203.11341734618236,4.5,65.5,526.2917,711.0938,-184.8021,-25.988427968293355
0,701.2816,1341.0518,1242.0,192.92068198665677,34.5,34.5,514.9445,701.2816,-186.33710000000008,-26.570938122431855
100,705.6297,1412.9896,1314.0,200.88954781319495,4.5,65.5,524.1913,705.6297,-181.4384,-25.71297665050097
200,725.0693,1345.911,1247.0,199.4069681245367,25.599999999999994,44.400000000000006,546.3303,725.0693,-178.73900000000003,-24.651298848261817
300,751.0366,1319.781,1225.0,190.51148999258712,14.399999999999977,55.599999999999994,583.7262,751.0366,-167.31040000000007,-22.277263185309486
400,795.1662,1253.4762,1166.0,177.90956263899184,15.600000000000023,54.30000000000001,639.0931,795.1662,-156.07309999999995,-19.627733170750965
500,863.3967,1174.5826,1086.0,167.53150481838398,24.299999999999955,45.69999999999999,703.596,863.3967,-159.8007,-18.508375118876412
600,951.1474,1097.0892,1020.0,163.82505559673834,5.7000000000000455,64.29999999999995,843.1679,951.1474,-107.97949999999992,-11.352551665493689
