abs_x_low_mm,abs_x_high_mm,count,mean_t_creation_ns,se_event_ns,late_cut_ns,late_count,late_fraction
0.0,0.1,53908590,2.9310145596104538,0.00030047943424457555,10.5,572488,0.01061960626312059
0.1,0.5,2191848,2.934240640980632,0.001493060898215909,10.5,23358,0.010656760870279326
0.5,1.0,1299021,2.941279786868299,0.0019727705998217795,10.5,13883,0.010687279112500876
1.0,2.0,941115,2.9498035429984615,0.0023421758087953937,10.5,10359,0.011007156404902695
2.0,5.0,579354,2.9796541725321037,0.003580094396218803,10.5,6838,0.011802801050825575
5.0,10.0,121487,3.970544766743658,0.14009496271344346,10.5,5517,0.04541226633302329
10.0,20.0,124098,5.933240894070259,0.20045314274079978,10.5,12283,0.09897822688520364
20.0,50.0,135539,6.166753901457736,0.12268797868823011,10.5,14456,0.10665564892761493
50.0,100.0,170226,6.778096532592034,0.06441179702167729,10.5,23366,0.13726457767908545
100.0,200.0,201708,7.542725038924616,0.00956489191515253,10.5,35767,0.1773206813810062
200.0,400.0,262309,8.651661206063624,0.007964904603445176,10.5,65610,0.25012485275000096
400.0,700.0,432869,10.505832136161864,0.04219785572188734,10.5,177965,0.4111290020768408
