scope,cut_ns,count,events_with_tail,tau_fit_ns,se_event_ns,status
abs_x_lt_0p1mm,6.300000000000001,4218664,10000,2.1024035769383387,0.0010284890713668855,MEASURED
abs_x_lt_0p1mm,8.4,1553310,10000,2.1038000380406294,0.0016757557559022504,MEASURED
abs_x_lt_0p1mm,10.5,572488,10000,2.1058808881194833,0.0027779347353088213,MEASURED
abs_x_lt_0p1mm,16.8,28815,9428,2.1103314243912448,0.01235777281941801,MEASURED
abs_x_lt_0p1mm,25.200000000000003,547,534,2.01845113515267,0.08683745924099077,MEASURED
abs_x_lt_0p1mm,42.0,1,1,0.9964020613372497,,INSUFFICIENT_STATISTICS
abs_x_ge_5mm,6.300000000000001,888068,10000,4.109632933204541,0.005717365481627877,MEASURED
abs_x_ge_5mm,8.4,576137,10000,3.6777178405514626,0.005206831051887757,MEASURED
abs_x_ge_5mm,10.5,334964,10000,3.518911147681148,0.006572006452186514,MEASURED
abs_x_ge_5mm,16.8,53569,9932,3.8208084819095594,0.020154170444951002,MEASURED
abs_x_ge_5mm,25.200000000000003,5706,4275,5.465255618291861,0.09096746974808739,MEASURED
abs_x_ge_5mm,42.0,291,282,9.949439866568882,0.7289708847544486,MEASURED
