material,opsc_code,tau_rise_ns,tau_decay_ns,N,exact_geant4_mean_min_ns,N_minus_half_geant4_ns,N_minus_half_standard_biexponential_ns,N_minus_one_ns_using_tau_decay,exact_times_sqrt_N_ns
EJ-200,OPSC-100,0.9,2.1,10,0.5578562378577145,0.45586879037170863,0.5448674203549295,0.21000000000000002,1.7640963185630285
EJ-200,OPSC-100,0.9,2.1,100,0.1535842027277157,0.14415836917604363,0.17230220711419672,0.021,1.535842027277157
EJ-200,OPSC-100,0.9,2.1,1000,0.04650697557362311,0.04558687903717087,0.054486742035492954,0.0021000000000000003,1.4706796989846487
EJ-200,OPSC-100,0.9,2.1,10000,0.014507154185980309,0.014415836917604364,0.017230220711419674,0.00021,1.4507154185980309
EJ-200,OPSC-100,0.9,2.1,100000,0.00456779791694808,0.004558687903717086,0.005448674203549294,2.1000000000000002e-05,1.4444645308928574
EJ-204,OPSC-101,0.7,1.8,10,0.4642473594732764,0.3774952221774906,0.44488238577871003,0.18,1.468079053654501
EJ-204,OPSC-101,0.7,1.8,100,0.127347658923605,0.11937447079121774,0.14068416299504255,0.018000000000000002,1.27347658923605
EJ-204,OPSC-101,0.7,1.8,1000,0.03852658552134397,0.03774952221774906,0.04448823857787101,0.0018,1.2183176071671258
EJ-204,OPSC-101,0.7,1.8,10000,0.012014531662061734,0.011937447079121775,0.014068416299504257,0.00018,1.2014531662061734
EJ-204,OPSC-101,0.7,1.8,100000,0.003782641201217595,0.0037749522217749056,0.0044488238577871,1.8e-05,1.1961761767042884
EJ-230,OPSC-106,0.5,1.5,10,0.3688237252140627,0.2972495473204508,0.3432342123239133,0.15,1.1663230267845115
EJ-230,OPSC-106,0.5,1.5,100,0.10051316905828343,0.09399856029866252,0.10854018818374014,0.015,1.0051316905828342
EJ-230,OPSC-106,0.5,1.5,1000,0.03035810352202527,0.029724954732045082,0.034323421232391335,0.0015,0.9600075257277951
EJ-230,OPSC-106,0.5,1.5,10000,0.009462611585362723,0.009399856029866252,0.010854018818374014,0.00015,0.9462611585362722
EJ-230,OPSC-106,0.5,1.5,100000,0.0029787535335877493,0.002972495473204508,0.003432342123239133,1.5e-05,0.941964575441216
