cell_id,material,x_mm,scope,face_type,source_type,source_label,count,denominator,fraction
EJ200_xp0,EJ-200,0,all_hits,all,0,primary,0,62596038,0.0
EJ200_xp0,EJ-200,0,first_photon_end,0,0,primary,0,10000,0.0
EJ200_xp0,EJ-200,0,first_photon_end,1,0,primary,0,10000,0.0
EJ200_xp0,EJ-200,0,all_hits,all,1,scintillation,60368164,62596038,0.9644087058672947
EJ200_xp0,EJ-200,0,first_photon_end,0,1,scintillation,9509,10000,0.9509
EJ200_xp0,EJ-200,0,first_photon_end,1,1,scintillation,9485,10000,0.9485
EJ200_xp0,EJ-200,0,all_hits,all,2,Cherenkov,2227874,62596038,0.035591294132705335
EJ200_xp0,EJ-200,0,first_photon_end,0,2,Cherenkov,491,10000,0.0491
EJ200_xp0,EJ-200,0,first_photon_end,1,2,Cherenkov,515,10000,0.0515
EJ200_xp0,EJ-200,0,all_hits,all,3,other,0,62596038,0.0
EJ200_xp0,EJ-200,0,first_photon_end,0,3,other,0,10000,0.0
EJ200_xp0,EJ-200,0,first_photon_end,1,3,other,0,10000,0.0
