cell_id,material,opsc_code,x_mm,scope,coordinate_definition,local_half_width_mm,tau_config_ns,tau_rise_config_ns,cut_multiplier,cut_ns,tail_photons,contributing_events,tau_fit_ns,se_event_ns,se_iid_photon_ns,relative_difference,is_gate_cut,gate_tolerance_relative,minimum_contributing_events,cut_pass
EJ200_xm650,EJ-200,OPSC-100,-650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,3.0,6.300000000000001,5802016,10000,2.39163445059256,0.0010631703704627748,0.0010509503388052522,0.13887354790121897,False,,,
EJ200_xm650,EJ-200,OPSC-100,-650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,4.0,8.4,2354040,10000,2.49383668700109,0.0017634290351887412,0.0017388776895074717,0.1875412795243286,False,,,
EJ200_xm650,EJ-200,OPSC-100,-650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,5.0,10.5,988890,10000,2.602402651227185,0.002880878286936929,0.002852196100623351,0.23923935772723098,False,,,
EJ200_xm650,EJ-200,OPSC-100,-650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,8.0,16.8,87610,9996,3.112849457964026,0.012816987162337111,0.012802002493504099,0.48230926569715515,False,,,
EJ200_xm650,EJ-200,OPSC-100,-650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,12.0,25.200000000000003,6194,4540,4.8581620078686605,0.08102723600077887,0.08006760129717873,1.3134104799374573,False,,,
EJ200_xm650,EJ-200,OPSC-100,-650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,20.0,42.0,271,264,9.873308129227082,0.6486432873986853,0.6491862541373115,3.7015752996319438,False,,,
EJ200_xm650,EJ-200,OPSC-100,-650,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,3.0,6.300000000000001,4580597,10000,2.100167350696068,0.0009762677723740494,0.0009812725368926198,7.969080765142456e-05,True,0.03,200,True
EJ200_xm650,EJ-200,OPSC-100,-650,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,4.0,8.4,1684760,10000,2.100495947064998,0.0016163520481366378,0.0016182973571616944,0.00023616526904661548,True,0.03,200,True
EJ200_xm650,EJ-200,OPSC-100,-650,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,5.0,10.5,619527,10000,2.101505123138922,0.002654497378877984,0.0026694301830957144,0.0007167253042485893,True,0.03,200,True
EJ200_xm650,EJ-200,OPSC-100,-650,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,8.0,16.8,30853,9517,2.1061412942922906,0.011922210403040688,0.011918714522306365,0.0029244258534716614,False,,,
