scenario,wavelength_nm_created,folded_exit_angle_deg,finite_beta_edge_deg,d_axial_mm,group_velocity_mm_ns,propagation_time_ns,predicted_angular_penalty_ps,observed_edge_excess_ps,is_upper_5pct_angle_tail
visible_lower_764mm,415.160071836,44.6196979806,38.0880366227,49.499034328,164.481643014,0.379308619257,40.4385833073,-3.04863093659,0
visible_lower_764mm,584.893062991,39.7444618579,39.7241705376,49.6418633814,175.800574146,0.346316323788,0.108093585891,-20.820565499,0
visible_lower_764mm,479.294207097,39.4423950823,38.8278826238,49.4996544006,169.075637679,0.345963053441,3.29411968055,-29.8443325401,0
visible_lower_764mm,485.788081942,44.5041667881,38.8937218471,49.499901286,169.521253724,0.375378126961,34.2515073529,0.209531606956,0
visible_lower_764mm,479.367951903,41.2355483776,38.8286390817,49.4998416579,169.080729076,0.355379838304,13.5020445678,-20.4216461462,0
visible_lower_764mm,580.969886507,40.0978533758,39.6968680239,49.5004777223,175.57154119,0.347196659396,2.15028853263,-19.2271031,0
visible_lower_764mm,622.435144118,45.3855609236,39.965570486,49.4999932093,177.90774244,0.37687296277,33.1314041202,13.8471747596,0
visible_lower_764mm,411.684015809,38.0765922229,38.0429479596,49.5000969398,164.223752627,0.339681503759,0.17600465325,-43.0484647519,0
visible_lower_764mm,375.855913785,42.3796074063,37.5454199046,49.5002484061,161.521678638,0.36596955562,28.3471657291,-20.5525121132,0
visible_lower_764mm,560.942111149,39.7029324329,39.5509219322,49.6348254919,174.376580552,0.346598111635,0.811901069225,-22.5585871235,0
visible_lower_764mm,729.727721709,40.4436237235,40.4883635661,49.5005335754,192.515394531,0.341847206113,-0.225127061816,3.76401063566,0
visible_lower_764mm,382.518127455,38.7966121244,37.642587371,49.5005964346,162.029481434,0.344066715684,6.16856250292,-41.750139339,0
visible_lower_764mm,505.377348832,39.4222256911,39.0830980402,49.4996784967,170.841222144,0.344665948579,1.80964216342,-28.5996205671,0
visible_lower_764mm,585.026119401,40.3529072599,39.7250893275,49.5008235006,175.808305939,0.348287002819,3.38619694319,-17.7955739442,0
visible_lower_764mm,436.467033169,38.5922742475,38.352757409,49.4997384602,166.044327574,0.340145420022,1.26491865134,-39.9993842048,0
visible_lower_764mm,650.107026147,42.4394724445,40.1222517734,49.4998055238,179.362658081,0.357675788459,13.0479087596,-3.23239953358,0
visible_lower_764mm,518.380173383,39.2940308488,39.201445934,49.5003733827,171.696788714,0.343256359904,0.49146702834,-28.7793668069,0
visible_lower_764mm,495.155615697,40.2385761818,38.9859832185,49.9561727354,170.156993128,0.354423841767,6.89668195,-23.2794304856,0
visible_lower_764mm,538.9080266,43.2954348562,39.3769901506,49.5000588897,173.012704522,0.366000570796,22.9662484843,-4.12981007718,0
visible_lower_764mm,438.546051293,39.8150903988,38.377540168,49.499122568,166.194974661,0.345863995907,7.82587897272,-34.0615652746,0
visible_lower_764mm,555.241305267,41.1329597727,39.5073026522,49.5076008601,174.028630965,0.353768162394,8.98718740635,-14.9467963235,0
visible_lower_764mm,445.704072228,38.5988977129,38.4614825077,49.7444732276,166.711108057,0.348247366163,0.728460452548,-32.8218395244,0
visible_lower_764mm,464.056078488,39.1504448777,38.6671486804,49.4996316348,168.015117035,0.344980866466,2.57780197962,-32.3480162737,0
visible_lower_764mm,457.604762866,56.6745401217,38.5963878385,49.5007262613,167.559939201,0.484938127097,159.732419029,106.949126548,1
visible_lower_764mm,662.196816518,43.4645121053,40.1855450985,49.4998581893,180.502735866,0.36255371341,18.8721524842,3.59028620032,0
visible_lower_764mm,502.067864239,39.0821041883,39.0520550843,49.5005789927,170.62083982,0.343063805593,0.159076255753,-30.5263493884,0
