scenario,population,wavelength_region,n,fraction_of_population,fraction_below_370,fraction_below_370_binomial_se,wavelength_q01_nm,wavelength_q05_nm,wavelength_q10_nm,wavelength_median_nm,angle_q05_deg,angle_median_deg,angle_q95_deg,angle_central90_width_deg
visible_lower_764mm,overall_cherenkov_winner,all,8225,1,0.0555623100304,0.0025258575175,308.296190401,360.789328402,389.988940626,508.639811981,17.5945706432,39.2475306549,40.9639673967,23.3693967535
visible_lower_764mm,overall_cherenkov_winner,clamped_lt370,457,0.0555623100304,0.0555623100304,0.0025258575175,300.128591163,301.66765632,304.318398506,329.771430303,11.1456720388,37.5817190553,38.6475946553,27.5019226165
visible_lower_764mm,overall_cherenkov_winner,measured_ge370,7768,0.94443768997,0.0555623100304,0.0025258575175,377.189766387,390.941613635,403.320083994,519.171076504,18.0620851261,39.3507286454,41.0385157714,22.9764306452
visible_lower_764mm,source_specific_first_cherenkov,all,10000,1,0.0539,0.00225820260384,308.254411505,363.772228086,390.435260528,508.231765903,20.1513849954,39.2775135132,41.0273555475,20.875970552
visible_lower_764mm,source_specific_first_cherenkov,clamped_lt370,539,0.0539,0.0539,0.00225820260384,300.199162481,301.671484188,303.201375562,328.258193804,12.6188074467,37.6007372833,38.6672832793,26.0484758326
visible_lower_764mm,source_specific_first_cherenkov,measured_ge370,9461,0.9461,0.0539,0.00225820260384,377.245471501,390.914723672,403.361203031,517.653227943,20.6306815124,39.3762891568,41.069958365,20.4392768526
visible_lower_764mm,primary_like_first_cherenkov,all,7343,1,0.0192019610513,0.00160149586819,326.845391204,391.265354643,411.693814957,528.564177557,38.3701263196,40.2615000783,46.569200047,8.19907372737
visible_lower_764mm,primary_like_first_cherenkov,clamped_lt370,141,0.0192019610513,0.0192019610513,0.00160149586819,300.221507186,302.23445259,303.164677794,326.183962987,37.4850260733,39.0201705335,47.9050470255,10.4200209523
visible_lower_764mm,primary_like_first_cherenkov,measured_ge370,7202,0.980798038949,0.0192019610513,0.00160149586819,379.873013853,399.685790791,416.658021587,531.549554565,38.4403184341,40.2637663558,46.5365998368,8.09628140263
visible_current_3800mm,overall_cherenkov_winner,all,8202,1,0.0455986344794,0.00230346470518,311.753794114,374.017060943,387.487170113,512.042369824,15.837994904,39.2369146227,40.820548453,24.982553549
visible_current_3800mm,overall_cherenkov_winner,clamped_lt370,374,0.0455986344794,0.0455986344794,0.00230346470518,258.474763526,301.722205712,304.439303639,328.766980293,11.7897602125,37.5955566586,38.1786176455,26.388857433
visible_current_3800mm,overall_cherenkov_winner,measured_ge370,7828,0.954401365521,0.0455986344794,0.00230346470518,375.971312129,385.544939613,399.346341039,520.050207415,16.1370605123,39.3325892454,40.8578634544,24.7208029421
visible_current_3800mm,source_specific_first_cherenkov,all,10000,1,0.0468,0.00211210227025,310.149902835,373.75030831,387.62317903,509.988038974,17.9891884727,39.2545888618,40.8512882834,22.8620998107
visible_current_3800mm,source_specific_first_cherenkov,clamped_lt370,468,0.0468,0.0468,0.00211210227025,271.51627352,301.679414316,304.443760498,327.911372978,14.3012901952,37.5999345023,38.1871422639,23.8858520687
visible_current_3800mm,source_specific_first_cherenkov,measured_ge370,9532,0.9532,0.0468,0.00211210227025,375.96503082,385.987038889,398.990553497,517.777508705,18.2049485538,39.3519023718,40.9031307788,22.6981822251
visible_current_3800mm,primary_like_first_cherenkov,all,7359,1,0.0131811387417,0.00132949217343,355.523656637,391.394869457,411.324818488,529.23069895,38.351224894,40.2410187727,46.1006998102,7.74947491616
visible_current_3800mm,primary_like_first_cherenkov,clamped_lt370,97,0.0131811387417,0.0131811387417,0.00132949217343,301.284516201,304.384247595,306.98905839,334.60653453,37.4894024064,38.771464325,45.9047283367,8.41532593023
visible_current_3800mm,primary_like_first_cherenkov,measured_ge370,7262,0.986818861258,0.0131811387417,0.00132949217343,378.36895158,396.73686116,414.549513092,531.114060098,38.4051280941,40.2426032957,46.1003101354,7.69518204128
