record_type,material,x_mm,sigma_IQR_tL_over_T0,first_left_Cherenkov_fraction,ratio_threshold,ratio_boundary_x_mm,cherenkov_threshold,cherenkov_boundary_x_mm,boundary_difference_mm,boundary_Pearson_r_three_materials,point_Pearson_r_21_cells
point,EJ-200,-650,0.12991805529722553,0.741,,,,,,,
point,EJ-200,-500,0.751498029492696,0.0844,,,,,,,
point,EJ-200,-200,1.162563113650579,0.0587,,,,,,,
point,EJ-200,0,1.3783744076610782,0.0491,,,,,,,
point,EJ-200,200,1.540799025246942,0.0457,,,,,,,
point,EJ-200,500,1.8108525249930725,0.0333,,,,,,,
point,EJ-200,650,1.9651663863687234,0.0316,,,,,,,
boundary,EJ-200,,,,0.5,-560.6916342064151,0.5,-594.9436491014317,-34.2520148950166,,
point,EJ-204,-650,0.18844866665192028,0.629,,,,,,,
point,EJ-204,-500,0.672746847045107,0.0744,,,,,,,
point,EJ-204,-200,1.0880804734498624,0.0489,,,,,,,
point,EJ-204,0,1.379309717287877,0.0437,,,,,,,
point,EJ-204,200,1.6268386029228292,0.0365,,,,,,,
point,EJ-204,500,1.861565666452334,0.0286,,,,,,,
point,EJ-204,650,1.977284944295631,0.022,,,,,,,
boundary,EJ-204,,,,0.5,-553.5042833234039,0.5,-615.1099891813919,-61.60570585798803,,
point,EJ-230,-650,0.2312661521512906,0.5177,,,,,,,
point,EJ-230,-500,0.632796373797955,0.0718,,,,,,,
point,EJ-230,-200,1.0752312920281704,0.0428,,,,,,,
point,EJ-230,0,1.3948957291374604,0.0376,,,,,,,
point,EJ-230,200,1.6151652610548337,0.0307,,,,,,,
point,EJ-230,500,1.8806567805202505,0.0191,,,,,,,
point,EJ-230,650,1.9654823294778616,0.0184,,,,,,,
boundary,EJ-230,,,,0.5,-549.608858800227,0.5,-644.0457501681991,-94.43689136797207,,
correlation,,,,,,,,,,-0.9630773980891155,-0.7750561540995399
