material,scope,selection,source,exit_angle_N_deg,exit_angle_mean_deg,exit_angle_median_deg,exit_angle_q16_deg,exit_angle_q84_deg,boundary_N,boundary_mean,boundary_median,boundary_q16,boundary_q84,fraction_exit_angle_above_TIR_critical
EJ-200,all_end,first,scintillation,119118,11.240520964750225,10.47696737097074,5.056095919252769,16.927974202311294,119118,10.696007320472138,8.0,3.0,19.0,0.001040984569922262
EJ-200,all_end,first,Cherenkov,20882,34.85235348287781,39.52377476776517,9.622330037109684,39.94199589828836,20882,5.341155061775692,4.0,3.0,6.0,0.6049707882386745
EJ-200,all_end,random,scintillation,135574,41.80044904867367,38.17625608943795,18.8277583577024,58.59171018291494,135574,46.54778939914733,30.0,7.0,87.0,0.47844719488987564
EJ-200,all_end,random,Cherenkov,4426,56.18802700123247,44.90287856744546,39.63558223316848,69.79021002920437,4426,80.39787618617261,74.0,18.0,127.0,0.9855399909624943
EJ-200,near_end_650,first,scintillation,5234,17.685420276134863,17.168025323384903,9.252770445518518,26.001181293977375,5234,1.0288498280473826,1.0,0.0,2.0,0.0015284677111196026
EJ-200,near_end_650,first,Cherenkov,14766,44.35899753952084,39.62468721777006,39.44978330237412,40.08443314104708,14766,3.6237301909792765,4.0,4.0,4.0,0.8487742110253285
EJ-200,near_end_650,random,scintillation,19362,55.8254499470162,52.788315063806394,28.98157251663431,78.41848513376705,19362,9.097768825534553,5.0,2.0,15.0,0.7151637227559137
EJ-200,near_end_650,random,Cherenkov,638,63.95044755054598,57.72458277020025,41.32398419618982,81.58955778895923,638,11.940438871473354,7.0,4.0,16.0,0.9984326018808778
EJ-204,all_end,first,scintillation,122310,11.174901843173146,10.403815681884637,5.060861788578405,16.83623409315445,122310,10.477319924781293,8.0,2.0,19.0,0.0009974654566266045
EJ-204,all_end,first,Cherenkov,17690,34.53949540912622,39.51955949292312,9.831493152764555,39.94878776828609,17690,5.191351045788581,4.0,2.0,6.0,0.5918032786885246
EJ-204,all_end,random,scintillation,136077,40.47243027573927,36.70721257665198,17.864673759190453,56.78040823385279,136077,42.031004504802425,28.0,6.0,79.0,0.44918685744100767
EJ-204,all_end,random,Cherenkov,3923,54.32600806848636,44.42232937775965,39.615377383294735,66.88620411725337,3923,71.38822329849604,66.0,17.0,120.0,0.9859801172572011
EJ-204,near_end_650,first,scintillation,7368,17.700911722230728,17.401781774891546,8.973506086111232,26.136266170615897,7368,1.0082790445168295,1.0,0.0,2.0,0.0009500542888165038
EJ-204,near_end_650,first,Cherenkov,12632,43.765665089882695,39.61936735862367,31.383120559189457,40.08744670212529,12632,3.5551773274224194,4.0,3.0,4.0,0.827580747308423
EJ-204,near_end_650,random,scintillation,19393,55.5534539943988,52.28147573635353,28.80122023777914,77.90178256792102,19393,8.312638580931264,5.0,2.0,14.0,0.7105656680245449
EJ-204,near_end_650,random,Cherenkov,607,62.098683961076176,56.47169988316171,41.37769789982954,80.2324232830707,607,9.967051070840197,7.0,4.0,16.0,0.9868204283360791
EJ-230,all_end,first,scintillation,125137,11.022527620300249,10.262772489550015,4.984581099723993,16.607979580796687,125137,10.176134956088127,8.0,2.0,19.0,0.0008710453343135923
EJ-230,all_end,first,Cherenkov,14863,33.06782370285529,39.50220296831874,8.971251832623992,39.901473028290674,14863,5.020991724416336,4.0,2.0,5.0,0.558568256744937
EJ-230,all_end,random,scintillation,135863,39.759997676269705,35.88929826377926,17.46544102793926,55.97885063491369,135863,40.15004084997387,27.0,6.0,76.0,0.43312012836460256
EJ-230,all_end,random,Cherenkov,4137,55.552277852555086,44.48062136833211,39.670568855799345,67.7174358843676,4137,69.18370800096689,65.0,17.0,119.0,0.9852550157118685
EJ-230,near_end_650,first,scintillation,9590,17.73120077939176,17.392603476814088,9.110881472380745,26.05003430188027,9590,1.0062565172054223,1.0,0.0,2.0,0.0015641293013555788
EJ-230,near_end_650,first,Cherenkov,10410,42.52049656027828,39.60342342680846,24.587524933886815,40.05450969478873,10410,3.4538904899135447,4.0,2.0,4.0,0.7974063400576369
EJ-230,near_end_650,random,scintillation,19365,55.26159986097503,52.385050029553035,28.92483994818763,77.36661470505571,19365,7.97722695584818,5.0,1.0,14.0,0.7136070229796023
EJ-230,near_end_650,random,Cherenkov,635,64.03966433461802,58.35783129120972,41.645986233297805,81.39070700403063,635,9.922834645669292,7.0,4.0,15.0,0.9921259842519685
