material_code,material,selection_code,selection,angle_low_deg,angle_high_deg,angle_center_deg,count,fraction_total
0,EJ-200,0,all_source_type_2,30,30.02,30.01,0,0
0,EJ-200,0,all_source_type_2,30.02,30.04,30.03,0,0
0,EJ-200,0,all_source_type_2,30.04,30.06,30.05,1,5e-05
0,EJ-200,0,all_source_type_2,30.06,30.08,30.07,1,5e-05
0,EJ-200,0,all_source_type_2,30.08,30.1,30.09,2,0.0001
0,EJ-200,0,all_source_type_2,30.1,30.12,30.11,1,5e-05
0,EJ-200,0,all_source_type_2,30.12,30.14,30.13,0,0
0,EJ-200,0,all_source_type_2,30.14,30.16,30.15,3,0.00015
0,EJ-200,0,all_source_type_2,30.16,30.18,30.17,1,5e-05
0,EJ-200,0,all_source_type_2,30.18,30.2,30.19,1,5e-05
0,EJ-200,0,all_source_type_2,30.2,30.22,30.21,0,0
0,EJ-200,0,all_source_type_2,30.22,30.24,30.23,1,5e-05
0,EJ-200,0,all_source_type_2,30.24,30.26,30.25,2,0.0001
0,EJ-200,0,all_source_type_2,30.26,30.28,30.27,1,5e-05
0,EJ-200,0,all_source_type_2,30.28,30.3,30.29,2,0.0001
0,EJ-200,0,all_source_type_2,30.3,30.32,30.31,0,0
0,EJ-200,0,all_source_type_2,30.32,30.34,30.33,0,0
0,EJ-200,0,all_source_type_2,30.34,30.36,30.35,1,5e-05
0,EJ-200,0,all_source_type_2,30.36,30.38,30.37,2,0.0001
0,EJ-200,0,all_source_type_2,30.38,30.4,30.39,2,0.0001
0,EJ-200,0,all_source_type_2,30.4,30.42,30.41,1,5e-05
0,EJ-200,0,all_source_type_2,30.42,30.44,30.43,0,0
0,EJ-200,0,all_source_type_2,30.44,30.46,30.45,1,5e-05
0,EJ-200,0,all_source_type_2,30.46,30.48,30.47,0,0
0,EJ-200,0,all_source_type_2,30.48,30.5,30.49,2,0.0001
0,EJ-200,0,all_source_type_2,30.5,30.52,30.51,0,0
0,EJ-200,0,all_source_type_2,30.52,30.54,30.53,1,5e-05
0,EJ-200,0,all_source_type_2,30.54,30.56,30.55,0,0
0,EJ-200,0,all_source_type_2,30.56,30.58,30.57,1,5e-05
0,EJ-200,0,all_source_type_2,30.58,30.6,30.59,0,0
0,EJ-200,0,all_source_type_2,30.6,30.62,30.61,1,5e-05
0,EJ-200,0,all_source_type_2,30.62,30.64,30.63,0,0
0,EJ-200,0,all_source_type_2,30.64,30.66,30.65,1,5e-05
0,EJ-200,0,all_source_type_2,30.66,30.68,30.67,1,5e-05
0,EJ-200,0,all_source_type_2,30.68,30.7,30.69,2,0.0001
0,EJ-200,0,all_source_type_2,30.7,30.72,30.71,4,0.0002
0,EJ-200,0,all_source_type_2,30.72,30.74,30.73,0,0
0,EJ-200,0,all_source_type_2,30.74,30.76,30.75,2,0.0001
0,EJ-200,0,all_source_type_2,30.76,30.78,30.77,2,0.0001
0,EJ-200,0,all_source_type_2,30.78,30.8,30.79,0,0
0,EJ-200,0,all_source_type_2,30.8,30.82,30.81,1,5e-05
0,EJ-200,0,all_source_type_2,30.82,30.84,30.83,2,0.0001
0,EJ-200,0,all_source_type_2,30.84,30.86,30.85,0,0
0,EJ-200,0,all_source_type_2,30.86,30.88,30.87,0,0
0,EJ-200,0,all_source_type_2,30.88,30.9,30.89,3,0.00015
0,EJ-200,0,all_source_type_2,30.9,30.92,30.91,0,0
0,EJ-200,0,all_source_type_2,30.92,30.94,30.93,3,0.00015
0,EJ-200,0,all_source_type_2,30.94,30.96,30.95,1,5e-05
0,EJ-200,0,all_source_type_2,30.96,30.98,30.97,2,0.0001
0,EJ-200,0,all_source_type_2,30.98,31,30.99,1,5e-05
0,EJ-200,0,all_source_type_2,31,31.02,31.01,2,0.0001
0,EJ-200,0,all_source_type_2,31.02,31.04,31.03,0,0
0,EJ-200,0,all_source_type_2,31.04,31.06,31.05,1,5e-05
0,EJ-200,0,all_source_type_2,31.06,31.08,31.07,2,0.0001
0,EJ-200,0,all_source_type_2,31.08,31.1,31.09,1,5e-05
0,EJ-200,0,all_source_type_2,31.1,31.12,31.11,2,0.0001
0,EJ-200,0,all_source_type_2,31.12,31.14,31.13,0,0
0,EJ-200,0,all_source_type_2,31.14,31.16,31.15,2,0.0001
0,EJ-200,0,all_source_type_2,31.16,31.18,31.17,0,0
0,EJ-200,0,all_source_type_2,31.18,31.2,31.19,2,0.0001
0,EJ-200,0,all_source_type_2,31.2,31.22,31.21,0,0
0,EJ-200,0,all_source_type_2,31.22,31.24,31.23,2,0.0001
0,EJ-200,0,all_source_type_2,31.24,31.26,31.25,2,0.0001
0,EJ-200,0,all_source_type_2,31.26,31.28,31.27,0,0
0,EJ-200,0,all_source_type_2,31.28,31.3,31.29,2,0.0001
0,EJ-200,0,all_source_type_2,31.3,31.32,31.31,0,0
0,EJ-200,0,all_source_type_2,31.32,31.34,31.33,0,0
0,EJ-200,0,all_source_type_2,31.34,31.36,31.35,0,0
0,EJ-200,0,all_source_type_2,31.36,31.38,31.37,1,5e-05
0,EJ-200,0,all_source_type_2,31.38,31.4,31.39,1,5e-05
