material_code,material,gun_x_mm,face_type,face,source_type,source,nominal_d_mm,n_events,mean_d_direct_mm,sd_d_direct_mm,mean_tprop_ns,se_tprop_cluster_ns,var_tprop_ns2,mean_path_length_mm,mean_rho_detour,mean_v_apparent_mm_per_ns
0,EJ-200,-650,0,left,1,scintillation,50,10000,51.7224900416,2.34452850717,0.287958694938,0.000246350461641,0.00060682481096,54.6379516813,1.05645436639,180.453994191
0,EJ-200,-650,0,left,2,Cherenkov,50,10000,49.8957176682,0.945514517292,0.332977895547,0.000217501140104,0.00047302015272,63.1799125099,1.26660207394,150.62390343
0,EJ-200,-650,1,right,1,scintillation,1350,10000,1349.60284174,0.917694875093,7.2258842937,0.00105824754214,0.0111977587166,1371.05418584,1.01589458649,186.812561801
0,EJ-200,-650,1,right,2,Cherenkov,1350,9996,1349.59369735,0.783319615429,9.16700090886,0.00474276288799,0.224825529118,1739.36565503,1.28879793296,147.67064181
0,EJ-200,-500,0,left,1,scintillation,200,10000,200.259939294,0.748566704526,1.09710248741,0.00040053392127,0.00160411379346,208.166488214,1.03949039031,182.76717545
0,EJ-200,-500,0,left,2,Cherenkov,200,10000,199.898952178,1.02707772019,1.338435115,0.000787816684699,0.00620593063177,253.957438608,1.27041977376,149.971134381
0,EJ-200,-500,1,right,1,scintillation,1200,10000,1199.62144174,0.759559515106,6.42824635937,0.000971591577831,0.00943895795094,1219.70871943,1.01674485571,186.658966254
0,EJ-200,-500,1,right,2,Cherenkov,1200,9998,1199.60617928,1.15503157429,8.14965545,0.00487078180281,0.23717398016,1546.33242988,1.28902025997,147.750791058
0,EJ-200,-200,0,left,1,scintillation,500,10000,499.804840845,0.434816407577,2.69960357641,0.000589776497577,0.00347801533462,512.228349238,1.02485681601,185.226008131
0,EJ-200,-200,0,left,2,Cherenkov,500,10000,499.778962405,0.712994372168,3.35494871691,0.00188253794504,0.0354359471961,636.574887535,1.2736907967,149.531582971
0,EJ-200,-200,1,right,1,scintillation,900,10000,899.619597266,4.06031837366,4.83046567745,0.00084236692346,0.00709511075537,916.542518181,1.01881061386,186.290368759
0,EJ-200,-200,1,right,2,Cherenkov,900,10000,899.603157814,4.15020390968,6.05480761623,0.00331012966041,0.109558626729,1148.85168227,1.27705471359,149.106654849
0,EJ-200,0,0,left,1,scintillation,700,10000,699.674009168,4.29021544699,3.76462924204,0.000735029630627,0.00540214531044,714.308515145,1.02091925252,185.916879342
0,EJ-200,0,0,left,2,Cherenkov,700,10000,699.656996126,4.36610126311,4.70695815736,0.00257833231692,0.0664713275672,893.107946645,1.27646186118,149.174100096
0,EJ-200,0,1,right,1,scintillation,700,10000,699.63860829,7.0463761459,3.76450871107,0.000804131741927,0.00646563195589,714.285719076,1.02103313456,185.915908548
0,EJ-200,0,1,right,2,Cherenkov,700,10000,699.687315494,0.929804697193,4.70319087305,0.00260448934797,0.0678268642723,892.393134352,1.275395969,149.317062375
0,EJ-200,200,0,left,1,scintillation,900,10000,899.664006551,0.824469959767,4.83011079046,0.000810927277279,0.0065753728873,916.475181193,1.01868631586,186.312829644
0,EJ-200,200,0,left,2,Cherenkov,900,10000,899.645127509,1.47065163169,6.05678585986,0.00339301630094,0.115114083625,1149.2270383,1.27740521658,149.079138199
0,EJ-200,200,1,right,1,scintillation,500,10000,499.793640784,1.12670407263,2.6995032379,0.000601515916149,0.00361785215241,512.209310804,1.02484225524,185.231331918
0,EJ-200,200,1,right,2,Cherenkov,500,10000,499.755877498,1.0182834909,3.35354153266,0.00190316305787,0.0362166742188,636.307885495,1.27320814931,149.598447097
0,EJ-200,500,0,left,1,scintillation,1200,10000,1199.53943779,8.82254581184,6.42743352287,0.00107736867047,0.0116060717979,1219.55449016,1.01668698174,186.669393276
0,EJ-200,500,0,left,2,Cherenkov,1200,9997,1199.63209455,0.568539230812,8.15509882058,0.00514390765275,0.264492020257,1547.36526624,1.28985757667,147.678148741
0,EJ-200,500,1,right,1,scintillation,200,10000,200.231281992,1.21640590186,1.09675631589,0.000397983061855,0.00158374678472,208.100804916,1.03930977745,182.792033299
0,EJ-200,500,1,right,2,Cherenkov,200,10000,199.895836839,1.0980629454,1.33716870416,0.000807349535654,0.00651748091394,253.717147203,1.26920703901,150.139639337
0,EJ-200,650,0,left,1,scintillation,1350,10000,1349.60482804,0.796654667939,7.2281001218,0.00107427863394,0.0115395917589,1371.47462164,1.01620455587,186.756743088
0,EJ-200,650,0,left,2,Cherenkov,1350,9996,1349.59632346,0.817435146691,9.16352988578,0.00555790448566,0.308748571206,1738.70705596,1.28830846306,147.792310379
0,EJ-200,650,1,right,1,scintillation,50,10000,51.6915156913,2.35953269948,0.287628674351,0.000240262914969,0.000577204956827,54.5752577689,1.05580956162,180.497988694
0,EJ-200,650,1,right,2,Cherenkov,50,10000,49.9070873699,1.23898405442,0.332358897736,0.000228030810541,0.000519928507508,63.0624625888,1.26402680044,150.991967879
