sample,material,material_code,source_type,source,model,n_points,b1_ns_per_mm,b1_error,b2_ns_per_mm2,b2_error,b3_ns_per_mm3,b3_error,v_linear_mm_per_ns,v_linear_error,chi2,ndf,chi2_ndf,p_value,delta_chi2_from_linear,quadratic_significance
all_photons,EJ-200,0,1,scintillation,linear_origin,7,0.0074191622882,4.80294530171e-07,,,,,134.786106727,0.00872565220831,3459432.1633,6,576572.027217,,0,
all_photons,EJ-200,0,1,scintillation,quadratic_origin,7,0.00913236397805,1.26009080826e-06,-1.93632400574e-06,1.31668783348e-09,,,109.500672816,0.0151089894846,1296761.37485,5,259352.27497,,2162670.78845,1470.60218565
all_photons,EJ-200,0,1,scintillation,cubic_origin,7,0.0108572904521,2.32280539832e-06,-7.31630330782e-06,6.22684997213e-09,3.31388650533e-09,3.74880178376e-12,92.1040110705,0.0197047039558,515330.970026,4,128832.742507,,2944101.19327,1174.96058851
all_photons,EJ-200,0,2,Cherenkov,linear_origin,7,0.00903890610619,3.75119916093e-06,,,,,110.632856261,0.0459132856012,127834.947113,6,21305.8245189,,0,
all_photons,EJ-200,0,2,Cherenkov,quadratic_origin,7,0.0120035294318,1.03702840034e-05,-3.10265398598e-06,1.01181928768e-08,,,83.3088305972,0.0719735173054,33806.1712523,5,6761.23425047,,94028.7758608,306.641118999
all_photons,EJ-200,0,2,Cherenkov,cubic_origin,7,0.0142095643821,1.91451853489e-05,-9.76956258728e-06,4.9677367465e-08,3.9642787389e-09,2.89199649763e-11,70.3751341778,0.0948195842996,15015.9090126,4,3753.97725316,,112819.038101,196.660231526
all_photons,EJ-204,1,1,scintillation,linear_origin,7,0.00722360989139,4.05841325206e-07,,,,,138.434939737,0.0077776375306,5431304.75303,6,905217.458838,,0,
all_photons,EJ-204,1,1,scintillation,quadratic_origin,7,0.00871902529586,9.25540597899e-07,-1.92294546107e-06,1.06962735045e-09,,,114.691719093,0.0121747372742,2199322.74043,5,439864.548085,,3231982.0126,1797.77140165
all_photons,EJ-204,1,1,scintillation,cubic_origin,7,0.0102182063356,1.56619559203e-06,-7.17465673209e-06,4.55339898692e-09,3.45239094171e-09,2.90957144198e-12,97.8645338681,0.0150001865813,791390.071668,4,197847.517917,,4639914.68136,1575.6705601
all_photons,EJ-204,1,2,Cherenkov,linear_origin,7,0.00846374245578,2.95708725895e-06,,,,,118.151043138,0.0412799593229,157486.701418,6,26247.7835697,,0,
all_photons,EJ-204,1,2,Cherenkov,quadratic_origin,7,0.0106011596829,7.24177811865e-06,-2.38196794483e-06,7.36685774168e-09,,,94.3293026338,0.0644374672387,52940.7405578,5,10588.1481116,,104545.96086,323.335678298
all_photons,EJ-204,1,2,Cherenkov,cubic_origin,7,0.0123980807952,1.24499846745e-05,-8.34035192998e-06,3.43789747448e-08,3.67341090865e-09,2.07026956595e-11,80.6576450438,0.0809953138126,21457.0795882,4,5364.26989704,,136029.62183,242.600368158
all_photons,EJ-230,2,1,scintillation,linear_origin,7,0.00721919214489,4.10311929584e-07,,,,,138.519654267,0.00787294000313,6025468.8028,6,1004244.80047,,0,
all_photons,EJ-230,2,1,scintillation,quadratic_origin,7,0.00866265837972,8.64017280423e-07,-2.03971529738e-06,1.07446109104e-09,,,115.438004844,0.0115138363572,2421693.37612,5,484338.675224,,3603775.42668,1898.36124768
all_photons,EJ-230,2,1,scintillation,cubic_origin,7,0.0100344559709,1.3985708331e-06,-7.24817924044e-06,4.31161565562e-09,3.57869086562e-09,2.86901295697e-12,99.6566234279,0.0138898259413,865787.394652,4,216446.848663,,5159681.40815,1681.08194686
all_photons,EJ-230,2,2,Cherenkov,linear_origin,7,0.00835844911729,2.76413804347e-06,,,,,119.639419463,0.039564740563,184914.455546,6,30819.0759243,,0,
all_photons,EJ-230,2,2,Cherenkov,quadratic_origin,7,0.0102687213537,6.25613996815e-06,-2.2660111693e-06,6.65754301508e-09,,,97.3831079405,0.059329913903,69064.4310101,5,13812.886202,,115850.024536,340.367484546
all_photons,EJ-230,2,2,Cherenkov,cubic_origin,7,0.0119866115739,1.03814393454e-05,-8.30835753603e-06,2.98904154028e-08,3.82297335974e-09,1.84365081367e-11,83.426412363,0.0722544677791,26066.7330619,4,6516.68326547,,158847.722484,277.960591182
first_by_source,EJ-200,0,1,scintillation,linear_origin,7,0.00537429317858,2.89183239258e-07,,,,,186.070980271,0.0100122205876,11765.7988416,6,1960.9664736,,0,
first_by_source,EJ-200,0,1,scintillation,quadratic_origin,7,0.00544950831418,8.69640525648e-07,-7.68834028668e-08,8.38341922677e-10,,,183.50279371,0.0292836448317,3355.27927786,5,671.055855573,,8410.51956374,91.708884868
first_by_source,EJ-200,0,1,scintillation,cubic_origin,7,0.00553067183793,1.7646074293e-06,-3.02115938332e-07,4.34259655133e-09,1.29343667839e-10,2.44689927189e-12,180.809859869,0.0576889085749,561.074950038,4,140.268737509,,11204.7238916,69.5703445533
first_by_source,EJ-200,0,2,Cherenkov,linear_origin,7,0.00673185156815,1.05037617725e-06,,,,,148.547541472,0.0231779915484,1636.47932874,6,272.74655479,,0,
first_by_source,EJ-200,0,2,Cherenkov,quadratic_origin,7,0.00666352346116,2.03494511071e-06,9.48120818947e-08,2.41845246691e-09,,,150.070755484,0.0458294702364,99.5558190675,5,19.9111638135,,1536.92350967,39.203616028
first_by_source,EJ-200,0,2,Cherenkov,cubic_origin,7,0.00667189396435,2.8738580029e-06,5.76370794826e-08,9.33135676686e-09,2.60176360241e-11,6.30757624004e-12,149.88247795,0.0645605222525,82.5416536652,4,20.6354134163,,1553.93767508,6.17670944565
first_by_source,EJ-204,1,1,scintillation,linear_origin,7,0.00537461999738,2.86273450718e-07,,,,,186.059665704,0.00991027134317,7826.3723199,6,1304.39538665,,0,
first_by_source,EJ-204,1,1,scintillation,quadratic_origin,7,0.00542983671649,8.18734961661e-07,-5.96776380718e-08,8.29025578909e-10,,,184.167600651,0.0277696110087,2644.49184454,5,528.898368909,,5181.88047536,71.9852795741
first_by_source,EJ-204,1,1,scintillation,cubic_origin,7,0.00549635516146,1.61933682463e-06,-2.48920269789e-07,4.06027342035e-09,1.11324827265e-10,2.33819907597e-12,181.93875225,0.0536028172656,377.650678945,4,94.4126697363,,7448.72164096,61.3062826119
first_by_source,EJ-204,1,2,Cherenkov,linear_origin,7,0.00675414568193,1.17813611057e-06,,,,,148.057215093,0.025825849744,4879.92467919,6,813.320779866,,0,
first_by_source,EJ-204,1,2,Cherenkov,quadratic_origin,7,0.00663818816443,2.12392261829e-06,2.00421545573e-07,3.05446006564e-09,,,150.643515253,0.0481991714335,574.461188598,5,114.89223772,,4305.46349059,65.616030744
first_by_source,EJ-204,1,2,Cherenkov,cubic_origin,7,0.00667536450603,2.90633735798e-06,2.15400783854e-08,1.00225776919e-08,1.37160167519e-10,7.3193932977e-12,149.804553609,0.06522229163,223.300537411,4,55.8251343527,,4656.62414178,2.14915554137
first_by_source,EJ-230,2,1,scintillation,linear_origin,7,0.00537185726708,2.93367071577e-07,,,,,186.15535564,0.0101662886461,5571.43042823,6,928.571738039,,0,
first_by_source,EJ-230,2,1,scintillation,quadratic_origin,7,0.00541452772321,7.82747294464e-07,-4.70282677095e-08,7.9980500623e-10,,,184.688314682,0.0266993329846,2114.02963623,5,422.805927246,,3457.400792,58.7996665977
first_by_source,EJ-230,2,1,scintillation,cubic_origin,7,0.0054704601867,1.48743013391e-06,-2.12406589436e-07,3.8243092811e-09,9.82681974137e-11,2.2221623766e-12,182.799977675,0.0497037152255,158.454987193,4,39.6137467982,,5412.97544104,55.5411641223
first_by_source,EJ-230,2,2,Cherenkov,linear_origin,7,0.00676302873704,1.26231216096e-06,,,,,147.86274595,0.0275984251469,6938.2619877,6,1156.37699795,,0,
