material,source_type,nominal_d_mm,boundary_category,material_code,source,n_photons,mean_tprop_ns,var_tprop_ns2
EJ-200,1,50,0,0,scintillation,2515819,0.20365363218,0.0144051873791
EJ-200,1,50,1-2,0,scintillation,9835068,0.315634848524,0.00452476715557
EJ-200,1,50,3-5,0,scintillation,12205916,0.378291422704,0.00806690779353
EJ-200,1,50,6-10,0,scintillation,9602725,0.51687493061,0.0209145191113
EJ-200,1,50,>10,0,scintillation,11388729,1.50390949808,6.2062275922
EJ-200,1,200,0,0,scintillation,516839,0.262179482257,0.20312102384
EJ-200,1,200,1-2,0,scintillation,1190614,1.08690335047,0.0189284426631
EJ-200,1,200,3-5,0,scintillation,3052770,1.18243304673,0.0341124058589
EJ-200,1,200,6-10,0,scintillation,4955330,1.2598390032,0.0452984855602
EJ-200,1,200,>10,0,scintillation,16973294,2.1880681599,4.61726728686
EJ-200,1,500,0,0,scintillation,229056,0.221719053708,0.517803147677
EJ-200,1,500,1-2,0,scintillation,184475,2.57682842188,0.224003616097
EJ-200,1,500,3-5,0,scintillation,582165,2.70514948271,0.110446738157
EJ-200,1,500,6-10,0,scintillation,1356566,2.86476659164,0.137466314971
EJ-200,1,500,>10,0,scintillation,12035883,4.06477871072,5.90686249586
EJ-200,1,700,0,0,scintillation,158501,0.217937736951,0.730724554512
EJ-200,1,700,1-2,0,scintillation,88795,3.54368073782,0.578547232639
EJ-200,1,700,3-5,0,scintillation,279022,3.71649253577,0.239751147001
EJ-200,1,700,6-10,0,scintillation,686740,3.87156983963,0.192797036697
EJ-200,1,700,>10,0,scintillation,9033965,5.34503847731,6.89671235988
EJ-200,1,900,0,0,scintillation,117176,0.217277722992,0.949479413579
EJ-200,1,900,1-2,0,scintillation,49944,4.48550769467,1.17035530715
EJ-200,1,900,3-5,0,scintillation,156008,4.72817317424,0.425605975487
EJ-200,1,900,6-10,0,scintillation,395364,4.88242229513,0.275720959048
EJ-200,1,900,>10,0,scintillation,6974394,6.60230368877,7.27784087456
EJ-200,1,1200,0,0,scintillation,81095,0.223436912608,1.31647741881
EJ-200,1,1200,1-2,0,scintillation,25481,5.87346141293,2.58350211687
EJ-200,1,1200,3-5,0,scintillation,77358,6.22202406327,0.883439930802
EJ-200,1,1200,6-10,0,scintillation,198549,6.39710535147,0.449022416187
EJ-200,1,1200,>10,0,scintillation,5000085,8.46392729962,7.6156931009
EJ-200,1,1350,0,0,scintillation,71238,0.215098095216,1.43037866356
EJ-200,1,1350,1-2,0,scintillation,19810,6.51672616454,3.69467576197
EJ-200,1,1350,3-5,0,scintillation,58433,6.94232183369,1.24450976515
EJ-200,1,1350,6-10,0,scintillation,149492,7.13617329226,0.571094103098
EJ-200,1,1350,>10,0,scintillation,4427758,9.28660237749,7.88458917076
EJ-200,2,50,0,0,Cherenkov,3266,0.266370669512,0.000670922876045
EJ-200,2,50,1-2,0,Cherenkov,12367,0.308805658753,0.00331220383743
EJ-200,2,50,3-5,0,Cherenkov,497536,0.356655639311,0.000809305153357
EJ-200,2,50,6-10,0,Cherenkov,523036,0.504491473054,0.00866216218645
EJ-200,2,50,>10,0,Cherenkov,444636,1.90384581276,11.3281356048
EJ-200,2,200,0,0,Cherenkov,213,1.04584395809,0.000611600290603
EJ-200,2,200,1-2,0,Cherenkov,1587,1.08868642806,0.00319090627179
EJ-200,2,200,3-5,0,Cherenkov,3855,1.18862088465,0.0603560411853
EJ-200,2,200,6-10,0,Cherenkov,6240,1.2519330804,0.0241393089652
EJ-200,2,200,>10,0,Cherenkov,885473,2.42709301301,7.69657563006
EJ-200,2,500,0,0,Cherenkov,27,2.62742092169,5.92956838412e-05
EJ-200,2,500,1-2,0,Cherenkov,283,2.64643976881,0.000688153996544
EJ-200,2,500,3-5,0,Cherenkov,843,2.72897283027,0.263275627609
EJ-200,2,500,6-10,0,Cherenkov,1738,2.89018526659,0.162263218814
EJ-200,2,500,>10,0,Cherenkov,459962,4.88694021414,12.185611876
EJ-200,2,700,0,0,Cherenkov,17,3.68270822703,4.03420392807e-05
EJ-200,2,700,1-2,0,Cherenkov,127,3.73788433109,0.460107751486
EJ-200,2,700,3-5,0,Cherenkov,388,3.74019211034,0.17756066794
EJ-200,2,700,6-10,0,Cherenkov,970,3.91098014609,0.223359278045
EJ-200,2,700,>10,0,Cherenkov,319569,6.55235126817,15.0870604543
EJ-200,2,900,0,0,Cherenkov,15,4.73233461989,0.00025367360945
EJ-200,2,900,1-2,0,Cherenkov,70,4.74476040192,0.000235214033996
EJ-200,2,900,3-5,0,Cherenkov,206,4.80653493044,0.134610701327
EJ-200,2,900,6-10,0,Cherenkov,616,4.92297773449,0.119897395809
EJ-200,2,900,>10,0,Cherenkov,240086,8.01864618378,14.5458823651
EJ-200,2,1200,0,0,Cherenkov,7,6.30866399106,0.000255213707185
EJ-200,2,1200,1-2,0,Cherenkov,43,6.3205032632,8.29122558841e-05
EJ-200,2,1200,3-5,0,Cherenkov,118,6.36407710121,0.030751168444
EJ-200,2,1200,6-10,0,Cherenkov,288,6.48247404075,0.119944183712
EJ-200,2,1200,>10,0,Cherenkov,168651,10.1840389911,14.3808017302
EJ-200,2,1350,0,0,Cherenkov,5,7.11003083025,7.53370220963e-06
EJ-200,2,1350,1-2,0,Cherenkov,20,7.11761839282,0.000149350885934
EJ-200,2,1350,3-5,0,Cherenkov,86,7.13701738068,0.0011668420381
EJ-200,2,1350,6-10,0,Cherenkov,189,7.22747632619,0.0179397880716
EJ-200,2,1350,>10,0,Cherenkov,159423,10.826735944,14.3128855618
EJ-204,1,50,0,1,scintillation,2679236,0.200189412804,0.0148572929446
EJ-204,1,50,1-2,1,scintillation,10267049,0.315316888468,0.00379121504942
EJ-204,1,50,3-5,1,scintillation,12674867,0.378067315396,0.00641604343227
EJ-204,1,50,6-10,1,scintillation,9892738,0.516156262753,0.0145615663283
EJ-204,1,50,>10,1,scintillation,11089575,1.26751087355,1.83934543627
EJ-204,1,200,0,1,scintillation,529799,0.253886889931,0.198220687167
EJ-204,1,200,1-2,1,scintillation,1183154,1.08190061029,0.0190469952027
EJ-204,1,200,3-5,1,scintillation,3005422,1.17925269471,0.0268923394103
EJ-204,1,200,6-10,1,scintillation,4852408,1.25693534447,0.0355325554889
EJ-204,1,200,>10,1,scintillation,15744581,1.99459997181,1.74197858149
EJ-204,1,500,0,1,scintillation,204956,0.221458173289,0.515455349885
EJ-204,1,500,1-2,1,scintillation,165348,2.53709409839,0.274404395619
EJ-204,1,500,3-5,1,scintillation,516291,2.6872000671,0.11460100446
EJ-204,1,500,6-10,1,scintillation,1183321,2.85097807582,0.124850792126
EJ-204,1,500,>10,1,scintillation,9770619,3.80170896872,2.48069445941
EJ-204,1,700,0,1,scintillation,130985,0.215687576971,0.72049210276
EJ-204,1,700,1-2,1,scintillation,75008,3.46150935313,0.790282795556
EJ-204,1,700,3-5,1,scintillation,232173,3.68132832129,0.284519306712
EJ-204,1,700,6-10,1,scintillation,562101,3.84834045821,0.197462407858
EJ-204,1,700,>10,1,scintillation,6751432,5.02796755124,3.08875548259
EJ-204,1,900,0,1,scintillation,88738,0.21878110842,0.95171255976
EJ-204,1,900,1-2,1,scintillation,39901,4.37358201675,1.56421509405
EJ-204,1,900,3-5,1,scintillation,119831,4.66511467777,0.587751287589
EJ-204,1,900,6-10,1,scintillation,301763,4.84705226853,0.332088544647
EJ-204,1,900,>10,1,scintillation,4777291,6.25273738169,3.67126113191
EJ-204,1,1200,0,1,scintillation,53849,0.224176934983,1.31381934002
EJ-204,1,1200,1-2,1,scintillation,18468,5.66210714365,3.54884554569
EJ-204,1,1200,3-5,1,scintillation,54425,6.12528890506,1.34444721257
EJ-204,1,1200,6-10,1,scintillation,137241,6.34201095256,0.669236881466
EJ-204,1,1200,>10,1,scintillation,3037929,8.08798860953,4.08332445732
EJ-204,1,1350,0,1,scintillation,44779,0.225297027222,1.48999133805
EJ-204,1,1350,1-2,1,scintillation,13191,6.28571953606,4.86491976422
EJ-204,1,1350,3-5,1,scintillation,39020,6.82354902282,1.88957135055
EJ-204,1,1350,6-10,1,scintillation,98376,7.06307526845,0.950635335833
EJ-204,1,1350,>10,1,scintillation,2537465,8.91619338471,3.85554405788
EJ-204,2,50,0,1,Cherenkov,3129,0.266948621781,0.000584292362328
EJ-204,2,50,1-2,1,Cherenkov,12154,0.310550514457,0.00345351283688
EJ-204,2,50,3-5,1,Cherenkov,487537,0.356640855744,0.000413526027339
EJ-204,2,50,6-10,1,Cherenkov,505886,0.503832303603,0.00828030231059
EJ-204,2,50,>10,1,Cherenkov,397277,1.4719769358,3.26795396799
EJ-204,2,200,0,1,Cherenkov,194,1.04690898289,0.000804238727953
EJ-204,2,200,1-2,1,Cherenkov,1516,1.08938965283,0.002873157947
EJ-204,2,200,3-5,1,Cherenkov,3514,1.18491213766,0.0195920850959
EJ-204,2,200,6-10,1,Cherenkov,5639,1.24544918548,0.0232157127554
EJ-204,2,200,>10,1,Cherenkov,759791,2.09984546671,2.94976872263
EJ-204,2,500,0,1,Cherenkov,24,2.62848603675,3.46917517513e-05
EJ-204,2,500,1-2,1,Cherenkov,204,2.64258190938,0.00135409449765
EJ-204,2,500,3-5,1,Cherenkov,648,2.71008823457,0.00722291552242
EJ-204,2,500,6-10,1,Cherenkov,1415,2.86690820995,0.120033382467
EJ-204,2,500,>10,1,Cherenkov,335833,4.35721159314,4.63602342027
EJ-204,2,700,0,1,Cherenkov,10,3.68134802912,6.98339531233e-05
EJ-204,2,700,1-2,1,Cherenkov,88,3.68883534992,0.000215070374512
EJ-204,2,700,3-5,1,Cherenkov,296,3.74654398091,0.00463994383045
EJ-204,2,700,6-10,1,Cherenkov,745,3.90789932366,0.254390355476
EJ-204,2,700,>10,1,Cherenkov,210004,5.90114767766,5.90038544432
EJ-204,2,900,0,1,Cherenkov,5,4.73556838896,1.31308104869e-05
EJ-204,2,900,1-2,1,Cherenkov,44,4.74296747105,0.000191333938915
EJ-204,2,900,3-5,1,Cherenkov,162,4.781781604,0.0030123842004
EJ-204,2,900,6-10,1,Cherenkov,394,4.90075379928,0.032493988788
EJ-204,2,900,>10,1,Cherenkov,141356,7.39123488591,6.06479726691
EJ-204,2,1200,0,1,Cherenkov,2,6.3116089283,4.52988147259e-06
EJ-204,2,1200,1-2,1,Cherenkov,21,6.31944269295,0.000252223448932
EJ-204,2,1200,3-5,1,Cherenkov,74,6.34404130419,0.0196520755969
EJ-204,2,1200,6-10,1,Cherenkov,182,6.43608710805,0.0815850304033
EJ-204,2,1200,>10,1,Cherenkov,85976,9.58967303282,5.36196578854
EJ-204,2,1350,1-2,1,Cherenkov,14,7.11563332955,0.000125078447354
EJ-204,2,1350,3-5,1,Cherenkov,56,7.1406012995,0.00629370557946
EJ-204,2,1350,6-10,1,Cherenkov,132,7.23240025039,0.019911999585
EJ-204,2,1350,>10,1,Cherenkov,78023,10.2781300171,4.58272646515
EJ-230,1,50,0,2,scintillation,2413846,0.202015805415,0.0145691474876
EJ-230,1,50,1-2,2,scintillation,9309378,0.315174226578,0.00375820780529
EJ-230,1,50,3-5,2,scintillation,11474844,0.37788592015,0.00587739822592
EJ-230,1,50,6-10,2,scintillation,8905665,0.515693345864,0.013319403331
EJ-230,1,50,>10,2,scintillation,9717764,1.21173484029,1.07273334315
EJ-230,1,200,0,2,scintillation,450704,0.262259322059,0.20243631132
EJ-230,1,200,1-2,2,scintillation,1044142,1.08014145785,0.0191071435843
EJ-230,1,200,3-5,2,scintillation,2644023,1.17745534734,0.0246808437106
EJ-230,1,200,6-10,2,scintillation,4251907,1.25524282314,0.0321753061521
EJ-230,1,200,>10,2,scintillation,13406021,1.93803333201,1.17600843788
EJ-230,1,500,0,2,scintillation,161544,0.234095311275,0.541780776983
EJ-230,1,500,1-2,2,scintillation,137477,2.52610912703,0.292263665251
EJ-230,1,500,3-5,2,scintillation,425881,2.68183152469,0.114377192219
EJ-230,1,500,6-10,2,scintillation,972561,2.84478715817,0.118511569383
EJ-230,1,500,>10,2,scintillation,7746363,3.7195897006,1.7336471162
EJ-230,1,700,0,2,scintillation,97971,0.234730277533,0.781675311177
EJ-230,1,700,1-2,2,scintillation,60407,3.43171096,0.852451607745
EJ-230,1,700,3-5,2,scintillation,185826,3.67143496021,0.29562543474
EJ-230,1,700,6-10,2,scintillation,447377,3.84005195646,0.201432583479
